Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HINDZINC,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,122.99,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,122.99,SUCCESS,138.23,112.01,2002-01-16,2002-01-20,3.0,139.65,2002-01-16,131.1,2002-01-17,13.55,6.59,6.95,134.81,9.61,134.24,9.15
HINDZINC,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,206.152,SUCCESS,219.45,182.4,2002-04-12,2002-07-20,70.0,218.03,2002-06-05,111.15,2002-07-18,5.76,-46.08,51.85,217.17,5.34,123.12,-40.28
HINDZINC,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,97.7773,SUCCESS,108.3,91.2,2002-10-12,2003-01-20,67.0,116.28,2002-11-25,84.36,2002-10-28,18.92,-13.72,32.65,106.02,8.43,86.93,-11.09
HINDZINC,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2006-11-28,15.0,88.3373,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2003,20-September,2003-09-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2004,20-March,2004-03-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2004,20-September,2004-09-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2005,20-March,2005-03-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2005,20-September,2005-09-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2006,20-March,2006-03-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2006,20-September,2006-09-20,2006-11-21,2006-11-21,2006-12-11,15.0,93.436,SUCCESS,98.39,85.99,2006-12-12,2007-01-20,27.0,92.5,2006-12-12,72.51,2006-12-12,-1.0,-22.4,21.39,89.51,-4.2,77.27,-17.3
HINDZINC,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,59.5173,SUCCESS,70.8,54.5,2007-04-12,2007-07-20,45.0,76.73,2007-05-07,62.72,2007-05-15,28.92,5.38,23.54,74.22,24.7,63.96,7.46
HINDZINC,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,36.294,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,36.294,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HINDZINC,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,36.294,SUCCESS,44.6,32.11,2009-01-17,2009-01-20,2.0,36.5,2009-01-19,34.2,2009-01-20,0.57,-5.77,6.34,36.02,-0.75,34.88,-3.9
HINDZINC,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,45.276,SUCCESS,50.5,40.14,2009-04-16,2009-07-20,66.0,71.0,2009-07-20,45.63,2009-04-29,56.82,0.78,56.03,67.13,48.27,46.53,2.77
HINDZINC,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,82.6747,SUCCESS,88.09,79.01,2009-10-16,2010-01-20,65.0,138.42,2009-12-03,84.52,2009-11-04,67.43,2.23,65.2,130.37,57.69,85.82,3.8
HINDZINC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,123.0553,SUCCESS,127.47,119.0,2010-04-14,2010-07-20,69.0,126.27,2010-04-15,89.63,2010-05-21,2.61,-27.16,29.78,124.67,1.31,92.3,-24.99
HINDZINC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,112.1027,SUCCESS,123.9,105.1,2010-10-09,2011-01-20,72.0,144.3,2011-01-12,108.7,2010-11-26,28.72,-3.04,31.76,141.76,26.46,110.01,-1.87
HINDZINC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,136.4067,SUCCESS,146.65,125.1,2011-04-09,2011-07-20,70.0,155.2,2011-04-21,125.1,2011-06-20,13.78,-8.29,22.07,151.9,11.36,129.0,-5.43
