Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HITECH,2018,20-March,2018-03-20,2018-05-07,2018-05-07,2018-05-25,15.0,39.956,SUCCESS,44.68,36.01,2018-05-26,2018-07-20,40.0,40.38,2018-05-28,24.04,2018-07-18,1.06,-39.83,40.89,38.87,-2.72,25.73,-35.6
HITECH,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,25.648,SUCCESS,31.9,22.83,2018-10-13,2019-01-20,66.0,26.33,2018-11-02,17.1,2018-12-11,2.66,-33.33,35.99,25.84,0.75,17.32,-32.47
HITECH,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,22.502,SUCCESS,26.9,19.2,2019-04-11,2019-07-20,67.0,32.9,2019-05-31,22.1,2019-07-19,46.21,-1.79,48.0,32.18,43.01,22.49,-0.05
HITECH,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,17.178,SUCCESS,19.5,14.95,2019-10-15,2020-01-20,67.0,18.8,2020-01-17,12.81,2019-12-11,9.44,-25.43,34.87,17.99,4.73,12.99,-24.38
HITECH,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,7.762,SUCCESS,10.46,6.53,2020-04-16,2020-07-20,66.0,11.99,2020-07-06,6.87,2020-05-12,54.47,-11.49,65.96,11.54,48.67,7.24,-6.73
HITECH,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,11.274,SUCCESS,13.47,10.11,2020-10-13,2021-01-20,70.0,27.7,2021-01-12,10.5,2020-10-19,145.7,-6.87,152.56,26.86,138.25,10.9,-3.32
HITECH,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,38.9693,SUCCESS,41.13,34.41,2021-04-14,2021-07-20,66.0,56.67,2021-07-19,33.49,2021-05-10,45.42,-14.06,59.48,53.7,37.8,36.0,-7.62
HITECH,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,59.0867,SUCCESS,62.2,56.36,2021-10-09,2022-01-20,71.0,65.0,2021-10-19,49.51,2021-12-27,10.01,-16.21,26.22,63.2,6.96,50.23,-14.99
HITECH,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,52.076,SUCCESS,55.11,50.11,2022-04-09,2022-07-20,70.0,66.97,2022-04-29,39.32,2022-06-20,28.6,-24.49,53.1,64.63,24.11,39.86,-23.46
HITECH,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,59.93,SUCCESS,62.74,57.04,2022-10-12,2023-01-20,71.0,97.6,2023-01-20,58.4,2022-11-17,62.86,-2.55,65.41,96.53,61.07,60.34,0.68
HITECH,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,79.4567,SUCCESS,90.5,69.3,2023-04-13,2023-07-20,68.0,85.5,2023-07-18,71.0,2023-05-05,7.61,-10.64,18.25,84.3,6.1,71.75,-9.7
HITECH,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,84.42,SUCCESS,90.15,79.45,2023-10-12,2024-01-20,70.0,154.0,2024-01-20,86.3,2023-10-12,82.42,2.23,80.19,151.6,79.58,88.2,4.48
HITECH,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,135.55,SUCCESS,146.8,114.7,2024-04-13,2024-07-20,66.0,159.07,2024-07-18,102.8,2024-06-04,17.35,-24.16,41.51,150.95,11.36,112.0,-17.37
HITECH,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,197.8473,SUCCESS,210.85,183.52,2024-10-12,2025-01-20,68.0,201.0,2024-10-14,134.1,2025-01-13,1.59,-32.22,33.81,198.38,0.27,135.96,-31.28
HITECH,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,103.5733,SUCCESS,117.58,88.5,2025-04-12,2025-07-20,67.0,108.36,2025-06-12,84.8,2025-05-09,4.62,-18.13,22.75,106.71,3.03,86.79,-16.2
HITECH,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,118.418,SUCCESS,127.5,112.58,2025-10-14,2026-01-20,67.0,120.5,2025-10-15,80.05,2026-01-20,1.76,-32.4,34.16,118.9,0.41,80.67,-31.88
HITECH,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,79.1773,SUCCESS,88.93,70.14,2026-04-16,2026-07-20,65.0,97.17,2026-06-23,81.11,2026-05-18,22.72,2.44,20.28,95.48,20.59,83.69,5.7
HITECH,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
