Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HMT,2022,20-March,2022-03-20,2022-11-21,2022-11-21,2023-01-27,15.0,33.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HMT,2022,20-September,2022-09-20,2022-11-21,2022-11-21,2023-01-27,15.0,33.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HMT,2023,20-March,2023-03-20,2023-04-21,2023-04-21,2023-05-12,15.0,25.73,SUCCESS,27.0,24.35,2023-05-13,2023-07-20,48.0,34.8,2023-06-06,24.25,2023-05-18,35.25,-5.75,41.0,33.4,29.81,25.05,-2.64
HMT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,47.7733,SUCCESS,65.1,35.0,2023-10-12,2024-01-20,70.0,70.4,2023-10-16,45.9,2023-11-24,47.36,-3.92,51.28,69.7,45.9,46.8,-2.04
HMT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,51.02,SUCCESS,62.3,41.05,2024-04-16,2024-07-20,65.0,105.0,2024-07-19,49.25,2024-06-05,105.8,-3.47,109.27,101.1,98.16,50.1,-1.8
HMT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,82.2807,SUCCESS,87.0,75.2,2024-10-12,2025-01-20,68.0,83.0,2024-10-14,60.5,2024-11-28,0.87,-26.47,27.35,79.85,-2.95,61.94,-24.72
HMT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,48.4387,SUCCESS,51.25,46.0,2025-04-12,2025-07-20,67.0,75.49,2025-06-06,45.0,2025-05-09,55.85,-7.1,62.95,71.9,48.44,47.19,-2.58
HMT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,59.252,SUCCESS,65.99,55.86,2025-10-14,2026-01-20,67.0,58.5,2025-10-21,43.0,2026-01-20,-1.27,-27.43,26.16,57.94,-2.21,43.1,-27.26
HMT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,60.8713,SUCCESS,65.5,55.01,2026-04-16,2026-07-20,65.0,72.95,2026-06-24,53.0,2026-06-09,19.84,-12.93,32.77,71.36,17.23,53.38,-12.31
HMT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
