Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HPL,2016,20-March,2016-03-20,2016-10-04,2016-10-04,2016-10-26,15.0,180.21,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HPL,2016,20-September,2016-09-20,2016-10-04,2016-10-04,2016-10-26,15.0,180.21,SUCCESS,198.0,168.1,2016-10-27,2017-01-20,61.0,180.4,2016-10-27,74.0,2016-11-23,0.11,-58.94,59.04,177.25,-1.64,81.65,-54.69
HPL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,118.48,SUCCESS,141.5,103.25,2017-04-11,2017-07-20,70.0,149.7,2017-05-19,116.8,2017-06-06,26.35,-1.42,27.77,141.9,19.77,118.05,-0.36
HPL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,150.4167,SUCCESS,164.4,141.2,2017-10-12,2018-01-20,70.0,162.4,2018-01-15,122.3,2017-12-05,7.97,-18.69,26.66,158.65,5.47,124.4,-17.3
HPL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,124.22,SUCCESS,130.8,112.5,2018-04-12,2018-07-20,71.0,126.9,2018-04-12,66.2,2018-07-20,2.16,-46.71,48.86,125.45,0.99,66.85,-46.18
HPL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,60.32,SUCCESS,74.3,52.1,2018-10-13,2019-01-20,66.0,74.5,2018-11-06,55.0,2018-10-25,23.51,-8.82,32.33,72.25,19.78,56.1,-7.0
HPL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,58.6767,SUCCESS,67.0,54.75,2019-04-11,2019-07-20,67.0,69.0,2019-05-29,48.9,2019-07-19,17.59,-16.66,34.26,67.05,14.27,49.15,-16.24
HPL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,42.5667,SUCCESS,47.8,39.05,2019-10-15,2020-01-20,67.0,49.5,2020-01-15,34.85,2019-12-11,16.29,-18.13,34.42,47.6,11.82,36.0,-15.43
HPL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,21.6867,SUCCESS,26.45,18.5,2020-04-16,2020-07-20,66.0,41.05,2020-07-09,22.2,2020-05-11,89.29,2.37,86.92,39.95,84.21,22.95,5.83
HPL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,31.8,SUCCESS,34.75,29.4,2020-10-13,2021-01-20,69.0,48.3,2021-01-12,24.8,2020-11-10,51.89,-22.01,73.9,46.2,45.28,27.45,-13.68
HPL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,50.7467,SUCCESS,62.45,45.25,2021-04-14,2021-07-20,66.0,91.4,2021-07-13,43.65,2021-04-22,80.11,-13.98,94.09,88.0,73.41,44.35,-12.61
HPL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,70.0967,SUCCESS,75.45,66.5,2021-10-09,2022-01-20,71.0,86.0,2022-01-05,56.2,2021-11-30,22.69,-19.83,42.51,81.6,16.41,57.35,-18.18
HPL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,66.0833,SUCCESS,71.0,62.25,2022-04-09,2022-07-20,70.0,76.5,2022-04-19,50.8,2022-06-20,15.76,-23.13,38.89,73.15,10.69,53.2,-19.5
