Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HUDCO,2017,20-March,2017-03-20,2017-05-19,2017-05-19,2017-06-08,15.0,71.48,SUCCESS,77.85,66.4,2017-06-09,2017-07-20,29.0,102.3,2017-07-14,66.0,2017-06-28,43.12,-7.67,50.78,97.7,36.68,66.1,-7.53
HUDCO,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,84.4833,SUCCESS,92.6,81.0,2017-10-12,2018-01-20,70.0,89.8,2017-10-30,76.05,2017-12-18,6.29,-9.98,16.28,88.05,4.22,78.0,-7.67
HUDCO,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,68.58,SUCCESS,72.25,64.5,2018-04-12,2018-07-20,71.0,71.15,2018-04-12,51.0,2018-07-20,3.75,-25.63,29.38,70.2,2.36,51.15,-25.42
HUDCO,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,46.03,SUCCESS,55.75,40.05,2018-10-13,2019-01-20,66.0,46.7,2018-11-12,40.0,2018-12-11,1.46,-13.1,14.56,46.05,0.04,40.3,-12.45
HUDCO,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,44.8433,SUCCESS,46.75,43.2,2019-04-11,2019-07-20,67.0,46.5,2019-05-28,35.95,2019-07-19,3.69,-19.83,23.53,45.6,1.69,36.25,-19.16
HUDCO,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,34.75,SUCCESS,39.75,32.1,2019-10-15,2020-01-20,67.0,45.8,2019-11-14,32.7,2019-10-17,31.8,-5.9,37.7,43.2,24.32,33.0,-5.04
HUDCO,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,20.26,SUCCESS,23.15,18.0,2020-04-16,2020-07-20,66.0,38.9,2020-07-09,20.65,2020-05-12,92.0,1.92,90.08,37.45,84.85,21.2,4.64
HUDCO,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,32.2667,SUCCESS,33.9,29.85,2020-10-13,2021-01-20,69.0,51.2,2021-01-13,30.5,2020-11-04,58.68,-5.48,64.15,46.65,44.58,30.8,-4.55
HUDCO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,44.7067,SUCCESS,48.85,39.85,2021-04-14,2021-07-20,66.0,58.25,2021-06-22,39.5,2021-04-19,30.29,-11.65,41.94,55.45,24.03,39.95,-10.64
HUDCO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,44.6633,SUCCESS,47.2,42.4,2021-10-09,2022-01-20,71.0,46.75,2021-10-19,37.85,2021-12-20,4.67,-15.25,19.93,45.7,2.32,38.55,-13.69
HUDCO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,35.0067,SUCCESS,38.8,32.55,2022-04-09,2022-07-20,70.0,37.8,2022-04-11,30.6,2022-05-12,7.98,-12.59,20.57,37.45,6.98,31.4,-10.3
HUDCO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,35.83,SUCCESS,37.4,34.35,2022-10-12,2023-01-20,71.0,58.85,2022-12-15,34.8,2022-10-20,64.25,-2.87,67.12,57.9,61.6,35.05,-2.18
HUDCO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,43.68,SUCCESS,45.9,40.4,2023-04-13,2023-07-20,68.0,62.75,2023-06-21,44.2,2023-04-21,43.66,1.19,42.47,61.8,41.48,44.3,1.42
HUDCO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,86.2933,SUCCESS,95.9,71.75,2023-10-12,2024-01-20,70.0,178.3,2024-01-20,70.5,2023-10-25,106.62,-18.3,124.92,167.8,94.45,73.15,-15.23
HUDCO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,196.7267,SUCCESS,218.45,170.8,2024-04-13,2024-07-20,66.0,353.7,2024-07-12,188.9,2024-04-19,79.79,-3.98,83.77,342.2,73.95,193.2,-1.79
HUDCO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,232.6187,SUCCESS,252.85,206.56,2024-10-12,2025-01-20,68.0,262.7,2024-12-17,192.11,2024-10-28,12.93,-17.41,30.35,258.37,11.07,193.99,-16.61
HUDCO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,204.5013,SUCCESS,217.7,184.0,2025-04-12,2025-07-20,67.0,253.73,2025-06-03,204.52,2025-05-09,24.07,0.01,24.06,247.66,21.1,208.47,1.94
HUDCO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,229.8207,SUCCESS,240.6,219.15,2025-10-14,2026-01-20,67.0,246.85,2025-11-18,204.05,2025-12-18,7.41,-11.21,18.62,243.93,6.14,205.81,-10.45
HUDCO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,174.2987,SUCCESS,192.72,159.0,2026-04-16,2026-07-20,65.0,235.5,2026-05-08,189.5,2026-04-16,35.11,8.72,26.39,231.98,33.09,193.67,11.11
HUDCO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
