Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ICICIPRULI,2016,20-March,2016-03-20,2016-09-29,2016-09-29,2016-10-21,15.0,318.2033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ICICIPRULI,2016,20-September,2016-09-20,2016-09-29,2016-09-29,2016-10-21,15.0,318.2033,SUCCESS,333.9,293.05,2016-10-22,2017-01-20,64.0,362.0,2017-01-20,271.0,2016-11-09,13.76,-14.83,28.6,359.4,12.95,284.15,-10.7
ICICIPRULI,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,379.2667,SUCCESS,402.85,361.25,2017-04-11,2017-07-20,70.0,509.4,2017-07-04,383.15,2017-04-12,34.31,1.02,33.29,494.45,30.37,391.95,3.34
ICICIPRULI,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,400.5833,SUCCESS,428.3,378.5,2017-10-12,2018-01-20,70.0,437.35,2018-01-19,363.2,2017-12-05,9.18,-9.33,18.51,429.7,7.27,367.3,-8.31
ICICIPRULI,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,388.9533,SUCCESS,404.8,368.2,2018-04-12,2018-07-20,71.0,462.2,2018-05-11,347.25,2018-07-19,18.83,-10.72,29.55,455.45,17.1,349.2,-10.22
ICICIPRULI,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,330.11,SUCCESS,354.0,309.5,2018-10-13,2019-01-20,66.0,363.9,2018-11-09,301.2,2018-12-11,10.24,-8.76,18.99,359.85,9.01,306.6,-7.12
ICICIPRULI,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,351.9767,SUCCESS,374.0,312.15,2019-04-11,2019-07-20,67.0,405.5,2019-07-05,322.65,2019-05-14,15.21,-8.33,23.54,398.45,13.2,334.15,-5.06
ICICIPRULI,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,447.9967,SUCCESS,474.0,415.25,2019-10-15,2020-01-20,67.0,537.3,2019-11-13,448.75,2019-10-15,19.93,0.17,19.77,529.2,18.13,455.0,1.56
ICICIPRULI,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,323.22,SUCCESS,368.55,226.1,2020-04-16,2020-07-20,66.0,450.0,2020-07-20,317.0,2020-04-16,39.22,-1.92,41.15,440.35,36.24,334.85,3.6
ICICIPRULI,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,420.5733,SUCCESS,442.55,397.55,2020-10-13,2021-01-20,69.0,537.9,2021-01-11,398.2,2020-10-30,27.9,-5.32,33.22,526.15,25.1,403.35,-4.1
ICICIPRULI,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,442.7167,SUCCESS,461.0,425.65,2021-04-14,2021-07-20,66.0,635.4,2021-07-07,432.85,2021-04-19,43.52,-2.23,45.75,632.05,42.77,451.05,1.88
ICICIPRULI,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,675.6067,SUCCESS,702.0,658.0,2021-10-09,2022-01-20,71.0,682.45,2021-10-19,533.65,2021-12-20,1.01,-21.01,22.02,673.5,-0.31,541.45,-19.86
ICICIPRULI,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,498.7,SUCCESS,536.1,466.6,2022-04-09,2022-07-20,70.0,568.9,2022-04-18,474.55,2022-06-28,14.08,-4.84,18.92,565.05,13.3,482.65,-3.22
ICICIPRULI,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,531.99,SUCCESS,570.95,507.9,2022-10-12,2023-01-20,71.0,524.75,2022-11-03,437.7,2022-12-26,-1.36,-17.72,16.36,520.25,-2.21,439.65,-17.36
ICICIPRULI,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,428.05,SUCCESS,445.75,391.0,2023-04-13,2023-07-20,68.0,615.4,2023-07-13,420.0,2023-05-17,43.77,-1.88,45.65,601.75,40.58,424.25,-0.89
ICICIPRULI,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,562.32,SUCCESS,600.95,522.0,2023-10-12,2024-01-20,70.0,572.5,2023-11-17,463.45,2024-01-18,1.81,-17.58,19.39,563.3,0.17,486.2,-13.54
ICICIPRULI,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,608.42,SUCCESS,640.85,550.0,2024-04-13,2024-07-20,66.0,673.7,2024-07-10,515.45,2024-06-04,10.73,-15.28,26.01,660.75,8.6,542.9,-10.77
ICICIPRULI,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,764.6067,SUCCESS,796.8,726.2,2024-10-12,2025-01-20,68.0,776.85,2024-10-24,628.65,2025-01-15,1.6,-17.78,19.38,768.4,0.5,633.05,-17.21
ICICIPRULI,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,570.73,SUCCESS,606.25,525.8,2025-04-12,2025-07-20,67.0,693.5,2025-07-15,545.3,2025-04-15,21.51,-4.46,25.97,680.35,19.21,567.15,-0.63
