Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
IFBIND,2001,20-March,2001-03-20,2001-12-27,2001-12-27,2002-01-21,15.0,1.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IFBIND,2001,20-September,2001-09-20,2001-12-27,2001-12-27,2002-01-21,15.0,1.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IFBIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,1.24,SUCCESS,1.4,1.1,2002-04-12,2002-07-20,70.0,8.7,2002-07-02,1.25,2002-04-17,601.61,0.81,600.81,7.9,537.1,1.5,20.97
IFBIND,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,3.57,SUCCESS,4.8,3.0,2002-10-12,2003-01-20,63.0,4.75,2002-12-02,2.75,2002-10-16,33.05,-22.97,56.02,4.45,24.65,2.75,-22.97
IFBIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-10,15.0,2.2833,SUCCESS,2.8,1.8,2003-04-11,2003-07-20,67.0,6.0,2003-06-16,2.05,2003-04-22,162.77,-10.22,172.99,5.4,136.5,2.1,-8.03
IFBIND,2003,20-September,2003-09-20,2003-09-24,2003-09-24,2003-10-15,15.0,4.11,SUCCESS,5.25,3.35,2003-10-16,2004-01-20,69.0,7.55,2003-12-19,2.7,2003-11-03,83.7,-34.31,118.0,7.05,71.53,2.9,-29.44
IFBIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,3.4467,SUCCESS,4.25,2.8,2004-04-13,2004-07-20,68.0,4.75,2004-07-16,2.95,2004-06-09,37.81,-14.41,52.22,4.2,21.86,3.2,-7.16
IFBIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,6.6367,SUCCESS,8.9,5.5,2004-10-09,2005-01-20,71.0,16.65,2004-12-31,6.0,2004-10-29,150.88,-9.59,160.47,16.1,142.59,6.3,-5.07
IFBIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,12.07,SUCCESS,14.0,11.45,2005-04-12,2005-07-20,72.0,20.05,2005-05-23,10.75,2005-04-18,66.11,-10.94,77.05,18.15,50.37,10.9,-9.69
IFBIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,34.4933,SUCCESS,47.15,27.25,2005-10-11,2006-01-20,70.0,30.0,2005-10-11,20.8,2005-10-21,-13.03,-39.7,26.67,29.0,-15.93,21.15,-38.68
