Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
IGPL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,54.1967,SUCCESS,57.1,50.55,2007-04-12,2007-07-20,45.0,70.55,2007-05-30,52.25,2007-04-12,30.17,-3.59,33.77,69.85,28.88,53.6,-1.1
IGPL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,20.0567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IGPL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,20.0567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IGPL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,20.0567,SUCCESS,25.0,16.75,2009-01-17,2009-01-20,2.0,21.25,2009-01-19,18.55,2009-01-19,5.95,-7.51,13.46,21.25,5.95,20.15,0.47
IGPL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,17.45,SUCCESS,22.9,15.0,2009-04-16,2009-07-20,64.0,39.0,2009-06-01,19.0,2009-04-20,123.5,8.88,114.61,36.75,110.6,19.95,14.33
IGPL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,41.67,SUCCESS,45.2,38.05,2009-10-16,2010-01-20,65.0,47.7,2010-01-18,34.0,2009-11-06,14.47,-18.41,32.88,47.05,12.91,35.75,-14.21
IGPL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,45.2967,SUCCESS,50.5,41.5,2010-04-14,2010-07-20,69.0,49.8,2010-04-21,38.8,2010-06-28,9.94,-14.34,24.28,47.8,5.53,40.3,-11.03
IGPL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,42.9133,SUCCESS,45.3,41.0,2010-10-09,2011-01-20,72.0,54.4,2010-11-11,31.7,2011-01-18,26.77,-26.13,52.9,50.85,18.49,32.2,-24.97
IGPL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,29.7633,SUCCESS,34.45,27.0,2011-04-09,2011-07-20,69.0,35.9,2011-04-15,23.0,2011-07-11,20.62,-22.72,43.34,32.15,8.02,24.05,-19.2
IGPL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,22.1433,SUCCESS,24.95,20.2,2011-10-12,2012-01-20,67.0,26.3,2011-10-31,12.65,2011-12-20,18.77,-42.87,61.64,24.6,11.09,13.05,-41.07
