Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
IITL,2010,20-March,2010-03-20,2010-08-17,2010-08-17,2010-09-06,15.0,209.7167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-11,15.0,201.9233,SUCCESS,214.8,190.0,2010-10-12,2011-01-20,38.0,288.75,2010-11-12,182.0,2011-01-18,43.0,-9.87,52.87,287.9,42.58,182.0,-9.87
IITL,2011,20-March,2011-03-20,2011-03-23,2011-03-23,2011-05-10,15.0,135.4267,SUCCESS,143.1,122.65,2011-05-11,2011-07-20,37.0,233.75,2011-07-04,109.6,2011-05-20,72.6,-19.07,91.67,222.6,64.37,110.6,-18.33
IITL,2011,20-September,2011-09-20,2011-09-21,2011-09-21,2011-11-11,15.0,144.0833,SUCCESS,165.35,120.95,2011-11-12,2012-01-20,43.0,273.0,2012-01-20,162.7,2011-11-14,89.47,12.92,76.55,273.0,89.47,162.7,12.92
IITL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-27,15.0,243.6567,SUCCESS,262.0,228.0,2012-04-28,2012-07-20,30.0,255.0,2012-05-11,196.55,2012-07-18,4.66,-19.33,23.99,255.0,4.66,197.15,-19.09
IITL,2012,20-September,2012-09-20,2012-09-21,2012-09-21,2012-10-18,15.0,152.2433,SUCCESS,170.85,138.1,2012-10-19,2013-01-20,38.0,154.5,2012-10-25,118.2,2012-11-22,1.48,-22.36,23.84,154.5,1.48,124.0,-18.55
IITL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-10-01,15.0,84.5167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2013,20-September,2013-09-20,2013-10-01,2013-10-01,2014-01-22,15.0,75.7267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,57.0333,SUCCESS,67.95,50.0,2014-04-10,2014-07-20,38.0,80.9,2014-06-09,54.2,2014-05-16,41.85,-4.97,46.81,79.0,38.52,54.2,-4.97
IITL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-25,15.0,69.5667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-25,15.0,69.5667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-25,15.0,69.5667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
IITL,2016,20-March,2016-03-20,2016-03-23,2016-03-23,2016-05-05,15.0,66.1433,SUCCESS,70.9,59.85,2016-05-06,2016-07-20,35.0,69.9,2016-07-05,60.0,2016-06-09,5.68,-9.29,14.97,68.85,4.09,60.0,-9.29
