Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
INCREDIBLE,2016,20-March,2016-03-20,2016-07-01,2016-07-01,2016-07-22,15.0,94.4867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INCREDIBLE,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,102.9,SUCCESS,114.0,93.0,2016-10-11,2017-01-20,71.0,143.0,2016-11-10,91.25,2016-11-23,38.97,-11.32,50.29,128.55,24.93,103.35,0.44
INCREDIBLE,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,105.6233,SUCCESS,122.0,100.0,2017-04-11,2017-07-20,70.0,117.0,2017-05-19,95.1,2017-06-28,10.77,-9.96,20.73,114.1,8.03,96.95,-8.21
INCREDIBLE,2017,20-September,2017-09-20,2017-09-22,2017-09-22,2017-10-13,15.0,46.91,SUCCESS,79.1,34.15,2017-10-14,2018-01-20,68.0,104.5,2018-01-04,44.65,2017-11-06,122.77,-4.82,127.58,101.45,116.27,47.0,0.19
INCREDIBLE,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,74.2567,SUCCESS,81.0,66.1,2018-04-12,2018-07-20,70.0,91.75,2018-04-18,51.8,2018-05-28,23.56,-30.24,53.8,89.9,21.07,54.5,-26.61
INCREDIBLE,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,59.0267,SUCCESS,66.0,43.8,2018-10-13,2019-01-20,66.0,59.95,2018-10-15,38.35,2018-11-15,1.56,-35.03,36.59,54.0,-8.52,40.55,-31.3
INCREDIBLE,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,55.6633,SUCCESS,58.0,54.0,2019-04-11,2019-07-20,67.0,93.8,2019-05-30,57.5,2019-04-11,68.51,3.3,65.21,88.0,58.09,59.5,6.89
INCREDIBLE,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,103.8167,SUCCESS,117.0,88.8,2019-10-15,2020-01-20,67.0,127.5,2019-11-01,34.0,2019-12-20,22.81,-67.25,90.06,122.7,18.19,35.75,-65.56
INCREDIBLE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,13.9233,SUCCESS,17.15,11.7,2020-04-16,2020-07-20,66.0,28.05,2020-06-29,13.5,2020-04-17,101.46,-3.04,104.5,26.75,92.12,14.05,0.91
INCREDIBLE,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,18.7833,SUCCESS,20.2,17.6,2020-10-13,2021-01-20,69.0,36.4,2020-12-10,15.1,2020-11-13,93.79,-19.61,113.4,33.1,76.22,15.2,-19.08
INCREDIBLE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,20.9,SUCCESS,26.25,17.7,2021-04-14,2021-07-20,23.0,35.0,2021-05-12,20.1,2021-05-07,67.46,-3.83,71.29,32.3,54.55,20.75,-0.72
INCREDIBLE,2021,20-September,2021-09-20,2021-11-01,2021-11-01,2021-12-14,15.0,25.1333,SUCCESS,28.55,21.05,2021-12-15,2022-01-20,27.0,37.9,2022-01-11,22.6,2021-12-20,50.8,-10.08,60.88,36.3,44.43,23.1,-8.09
INCREDIBLE,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,23.1667,SUCCESS,26.0,20.7,2022-04-09,2022-07-20,70.0,25.9,2022-04-22,18.25,2022-06-21,11.8,-21.22,33.02,25.05,8.13,19.1,-17.55
INCREDIBLE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,23.7767,SUCCESS,26.35,20.8,2022-10-12,2023-01-20,71.0,32.7,2023-01-06,19.3,2022-10-14,37.53,-18.83,56.36,28.9,21.55,20.65,-13.15
INCREDIBLE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,19.49,SUCCESS,20.85,18.2,2023-04-13,2023-07-20,68.0,27.3,2023-07-06,19.3,2023-04-17,40.07,-0.97,41.05,26.7,36.99,19.85,1.85
INCREDIBLE,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,30.55,SUCCESS,43.6,27.3,2023-10-12,2024-01-20,70.0,51.55,2024-01-19,30.0,2023-11-15,68.74,-1.8,70.54,51.55,68.74,30.8,0.82
INCREDIBLE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,40.04,SUCCESS,45.2,35.0,2024-04-16,2024-07-20,65.0,48.7,2024-06-13,35.5,2024-05-08,21.63,-11.34,32.97,46.8,16.88,37.05,-7.47
INCREDIBLE,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,44.8573,SUCCESS,48.69,42.01,2024-10-12,2025-01-20,68.0,55.15,2024-12-26,35.14,2024-10-28,22.95,-21.66,44.61,51.65,15.14,36.7,-18.19
INCREDIBLE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,35.932,SUCCESS,40.74,31.7,2025-04-12,2025-07-20,67.0,50.86,2025-05-29,35.11,2025-05-09,41.55,-2.29,43.83,46.72,30.02,35.71,-0.62
INCREDIBLE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,45.7827,SUCCESS,48.79,43.5,2025-10-14,2026-01-20,67.0,48.85,2025-10-15,34.3,2026-01-14,6.7,-25.08,31.78,46.28,1.09,36.1,-21.15
INCREDIBLE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,32.372,SUCCESS,37.6,28.1,2026-04-16,2026-07-20,65.0,38.6,2026-05-08,31.61,2026-05-04,19.24,-2.35,21.59,37.34,15.35,32.01,-1.12
INCREDIBLE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
