Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
INDHOTEL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,12.6807,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDHOTEL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,12.6807,SUCCESS,13.35,12.14,2002-01-16,2002-01-20,3.0,13.33,2002-01-17,12.58,2002-01-16,5.12,-0.79,5.91,13.11,3.39,12.97,2.28
INDHOTEL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,14.362,SUCCESS,15.13,13.78,2002-04-12,2002-07-20,70.0,15.5,2002-05-06,12.3,2002-06-07,7.92,-14.36,22.28,15.26,6.25,12.5,-12.96
INDHOTEL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,12.224,SUCCESS,13.03,11.1,2002-10-12,2003-01-20,67.0,16.39,2002-12-20,11.36,2002-11-13,34.08,-7.07,41.15,15.62,27.78,11.49,-6.0
INDHOTEL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,15.4913,SUCCESS,16.4,14.27,2003-04-09,2003-07-20,70.0,22.78,2003-07-08,13.88,2003-04-29,47.05,-10.4,57.45,22.06,42.4,14.02,-9.5
INDHOTEL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,22.8093,SUCCESS,28.7,20.18,2003-10-14,2004-01-20,71.0,40.35,2004-01-15,25.01,2003-10-15,76.9,9.65,67.25,39.14,71.6,26.35,15.52
INDHOTEL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,33.1393,SUCCESS,35.43,31.17,2004-04-13,2004-07-20,70.0,34.94,2004-04-27,26.35,2004-06-25,5.43,-20.49,25.92,34.36,3.68,27.14,-18.1
INDHOTEL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,35.9487,SUCCESS,37.72,34.85,2004-10-09,2005-01-20,71.0,47.15,2004-12-16,34.44,2004-10-12,31.16,-4.2,35.36,46.93,30.55,35.1,-2.36
INDHOTEL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,51.9507,SUCCESS,54.13,49.86,2005-04-12,2005-07-20,72.0,56.86,2005-05-27,49.62,2005-07-07,9.45,-4.49,13.94,56.18,8.14,50.53,-2.73
INDHOTEL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,62.57,SUCCESS,66.02,59.87,2005-10-11,2006-01-20,70.0,95.87,2006-01-20,57.9,2005-10-21,53.22,-7.46,60.68,95.42,52.5,59.03,-5.66
INDHOTEL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,110.7673,SUCCESS,123.42,104.15,2006-04-11,2006-07-20,72.0,129.82,2006-05-10,68.97,2006-06-08,17.2,-37.73,54.93,126.06,13.81,72.0,-35.0
INDHOTEL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,112.266,SUCCESS,118.08,108.25,2006-10-12,2007-01-20,69.0,134.33,2006-12-07,111.53,2006-11-03,19.65,-0.66,20.31,132.03,17.6,112.96,0.62
INDHOTEL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,117.502,SUCCESS,124.45,111.65,2007-04-12,2007-07-20,45.0,125.27,2007-04-16,109.11,2007-05-11,6.61,-7.14,13.75,122.85,4.55,111.41,-5.18
INDHOTEL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,40.9767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDHOTEL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,40.9767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDHOTEL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,40.9767,SUCCESS,43.65,38.32,2009-01-17,2009-01-20,2.0,41.46,2009-01-19,39.96,2009-01-20,1.18,-2.48,3.66,40.82,-0.38,40.41,-1.38
INDHOTEL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,39.0567,SUCCESS,50.75,32.89,2009-04-16,2009-07-20,66.0,74.67,2009-06-05,43.74,2009-04-29,91.18,11.99,79.19,72.08,84.55,44.1,12.91
INDHOTEL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,69.484,SUCCESS,76.77,64.7,2009-10-16,2010-01-20,65.0,99.23,2010-01-15,65.2,2009-11-03,42.81,-6.17,48.98,97.82,40.78,66.97,-3.62
INDHOTEL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,94.412,SUCCESS,99.14,91.17,2010-04-14,2010-07-20,69.0,107.52,2010-05-13,86.25,2010-05-27,13.88,-8.65,22.53,107.11,13.45,87.84,-6.96
