Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
INDUSTOWER,2012,20-March,2012-03-20,2012-12-28,2012-12-28,2013-01-17,15.0,202.9633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDUSTOWER,2012,20-September,2012-09-20,2012-12-28,2012-12-28,2013-01-17,15.0,202.9633,SUCCESS,211.05,188.25,2013-01-18,2013-01-20,1.0,206.65,2013-01-18,204.1,2013-01-18,1.82,0.56,1.26,205.0,1.0,205.0,1.0
INDUSTOWER,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,177.2967,SUCCESS,186.0,136.6,2013-04-12,2013-07-20,69.0,183.0,2013-04-30,126.3,2013-07-16,3.22,-28.76,31.98,179.9,1.47,142.35,-19.71
INDUSTOWER,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,158.23,SUCCESS,166.05,150.7,2013-10-12,2014-01-20,68.0,189.9,2013-12-11,150.25,2013-10-28,20.02,-5.04,25.06,184.9,16.86,151.5,-4.25
INDUSTOWER,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,201.0533,SUCCESS,210.45,188.0,2014-04-10,2014-07-20,44.0,268.0,2014-06-10,191.7,2014-04-17,33.3,-4.65,37.95,259.95,29.29,195.15,-2.94
INDUSTOWER,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,409.99,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDUSTOWER,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,409.99,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
INDUSTOWER,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,409.99,SUCCESS,436.5,385.0,2016-01-16,2016-01-20,3.0,390.4,2016-01-18,349.75,2016-01-20,-4.78,-14.69,9.91,379.6,-7.41,353.7,-13.73
INDUSTOWER,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,380.1067,SUCCESS,394.0,366.15,2016-04-13,2016-07-20,67.0,410.0,2016-04-18,301.5,2016-06-24,7.86,-20.68,28.54,396.8,4.39,322.0,-15.29
INDUSTOWER,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,369.0333,SUCCESS,387.8,345.45,2016-10-11,2017-01-20,71.0,396.05,2016-12-05,324.25,2016-12-27,7.32,-12.14,19.46,387.5,5.0,326.85,-11.43
INDUSTOWER,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,326.72,SUCCESS,360.9,303.65,2017-04-11,2017-07-20,70.0,424.75,2017-07-18,330.75,2017-04-18,30.0,1.23,28.77,420.3,28.64,336.9,3.12
INDUSTOWER,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,396.7633,SUCCESS,419.65,373.85,2017-10-12,2018-01-20,70.0,482.8,2017-10-17,339.25,2018-01-19,21.68,-14.5,36.18,479.2,20.78,343.8,-13.35
