Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
IRISDOREME,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,8.512,SUCCESS,9.08,7.81,2021-04-14,2021-07-20,66.0,15.15,2021-07-12,8.26,2021-04-19,77.98,-2.96,80.94,14.91,75.16,8.47,-0.49
IRISDOREME,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,17.5787,SUCCESS,20.56,16.28,2021-10-09,2022-01-20,71.0,22.85,2021-11-04,17.81,2022-01-04,29.99,1.32,28.67,22.19,26.23,18.45,4.96
IRISDOREME,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,19.0227,SUCCESS,20.34,16.35,2022-04-09,2022-07-20,70.0,24.74,2022-05-13,17.8,2022-07-15,30.06,-6.43,36.48,22.72,19.44,18.14,-4.64
IRISDOREME,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,21.0267,SUCCESS,25.12,17.05,2022-10-12,2023-01-20,71.0,27.05,2023-01-20,21.41,2022-10-13,28.65,1.82,26.82,26.8,27.46,21.61,2.77
IRISDOREME,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,30.552,SUCCESS,34.3,29.44,2023-04-13,2023-07-20,68.0,43.49,2023-07-20,31.94,2023-04-13,42.35,4.54,37.8,42.38,38.71,32.46,6.25
IRISDOREME,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,38.3193,SUCCESS,45.88,34.48,2023-10-12,2024-01-20,70.0,49.54,2023-10-17,33.46,2023-12-11,29.28,-12.68,41.96,46.22,20.62,34.77,-9.26
IRISDOREME,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,36.828,SUCCESS,40.12,34.46,2024-04-13,2024-07-20,66.0,42.51,2024-05-13,29.68,2024-07-19,15.43,-19.41,34.84,41.77,13.42,29.81,-19.06
IRISDOREME,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,34.2993,SUCCESS,36.33,31.79,2024-10-12,2025-01-20,68.0,35.32,2024-10-15,27.79,2025-01-13,2.98,-18.98,21.95,33.88,-1.22,28.11,-18.05
IRISDOREME,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,22.4013,SUCCESS,24.84,20.73,2025-04-12,2025-07-20,67.0,35.11,2025-07-04,22.24,2025-04-25,56.73,-0.72,57.45,35.08,56.6,22.79,1.74
IRISDOREME,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,32.676,SUCCESS,36.9,30.85,2025-10-14,2026-01-20,67.0,39.49,2025-12-23,30.2,2026-01-20,20.85,-7.58,28.43,38.7,18.44,31.46,-3.72
IRISDOREME,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,30.818,SUCCESS,33.9,26.35,2026-04-16,2026-07-20,65.0,48.0,2026-07-16,32.76,2026-04-16,55.75,6.3,49.45,46.82,51.92,33.76,9.55
IRISDOREME,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
