Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
JBCHEPHARM,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.346,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JBCHEPHARM,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.346,SUCCESS,8.75,8.06,2002-01-16,2002-01-20,3.0,8.68,2002-01-18,8.28,2002-01-17,4.0,-0.79,4.79,8.4,0.65,8.28,-0.79
JBCHEPHARM,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,11.7133,SUCCESS,15.33,10.4,2002-04-12,2002-07-20,70.0,17.36,2002-04-17,10.78,2002-05-21,48.21,-7.97,56.18,16.24,38.65,11.43,-2.42
JBCHEPHARM,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,11.3447,SUCCESS,11.9,10.8,2002-10-12,2003-01-20,67.0,14.69,2003-01-17,11.48,2002-10-14,29.49,1.19,28.3,14.31,26.14,11.7,3.13
JBCHEPHARM,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,11.0787,SUCCESS,11.71,10.17,2003-04-09,2003-07-20,70.0,16.94,2003-07-01,10.44,2003-04-10,52.91,-5.76,58.67,16.02,44.6,10.5,-5.22
JBCHEPHARM,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,19.45,SUCCESS,20.3,18.55,2003-10-14,2004-01-20,71.0,28.84,2004-01-14,17.5,2003-10-24,48.28,-10.03,58.3,27.65,42.16,18.0,-7.46
JBCHEPHARM,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,21.9287,SUCCESS,23.8,19.6,2004-04-13,2004-07-20,70.0,24.2,2004-05-07,16.8,2004-05-17,10.36,-23.39,33.75,23.79,8.49,17.75,-19.06
JBCHEPHARM,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,23.1387,SUCCESS,24.29,21.9,2004-10-09,2005-01-20,71.0,36.88,2004-12-21,22.82,2004-10-25,59.39,-1.38,60.76,34.52,49.19,22.89,-1.07
JBCHEPHARM,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,29.1787,SUCCESS,33.2,26.95,2005-04-12,2005-07-20,72.0,36.71,2005-07-05,24.52,2005-05-02,25.81,-15.97,41.78,34.77,19.16,24.74,-15.21
JBCHEPHARM,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,31.508,SUCCESS,33.6,29.57,2005-10-11,2006-01-20,70.0,46.72,2006-01-20,25.9,2005-12-26,48.28,-17.8,66.08,45.69,45.01,28.12,-10.75
JBCHEPHARM,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,40.9413,SUCCESS,44.45,38.67,2006-04-11,2006-07-20,72.0,42.7,2006-05-17,26.25,2006-06-08,4.3,-35.88,40.18,41.21,0.66,28.7,-29.9
