Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
JINDALPOLY,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,25.7273,SUCCESS,27.95,21.15,2002-04-12,2002-07-20,70.0,51.2,2002-07-09,26.09,2002-04-15,99.01,1.41,97.6,49.73,93.3,26.2,1.84
JINDALPOLY,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,46.596,SUCCESS,48.31,45.0,2002-10-12,2003-01-20,66.0,51.2,2002-12-06,45.19,2002-10-31,9.88,-3.02,12.9,50.55,8.49,45.77,-1.77
JINDALPOLY,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,49.1607,SUCCESS,50.66,47.87,2003-04-09,2003-07-20,70.0,63.36,2003-07-15,47.14,2003-04-21,28.88,-4.11,32.99,62.68,27.5,47.63,-3.11
JINDALPOLY,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,93.1967,SUCCESS,105.73,85.72,2003-10-14,2004-01-20,71.0,175.63,2004-01-14,104.47,2003-10-14,88.45,12.1,76.35,171.41,83.92,108.66,16.59
JINDALPOLY,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,159.8913,SUCCESS,168.87,156.11,2004-04-13,2004-07-20,70.0,174.7,2004-06-25,137.89,2004-05-17,9.26,-13.76,23.02,168.83,5.59,148.21,-7.31
JINDALPOLY,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,162.9987,SUCCESS,166.78,156.06,2004-10-09,2005-01-20,71.0,256.22,2005-01-14,155.83,2004-12-06,57.19,-4.4,61.59,237.82,45.9,156.37,-4.07
JINDALPOLY,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,225.4847,SUCCESS,237.12,219.89,2005-04-12,2005-07-20,72.0,255.66,2005-04-19,148.63,2005-06-30,13.38,-34.08,47.47,242.64,7.61,156.44,-30.62
JINDALPOLY,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,151.282,SUCCESS,167.17,143.9,2005-10-11,2006-01-20,70.0,146.75,2005-10-13,118.84,2005-12-27,-3.0,-21.44,18.45,144.53,-4.46,119.84,-20.78
JINDALPOLY,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,133.3373,SUCCESS,141.81,129.51,2006-04-11,2006-07-20,72.0,139.11,2006-04-29,57.58,2006-07-19,4.33,-56.82,61.15,137.87,3.4,57.88,-56.59
JINDALPOLY,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,74.6167,SUCCESS,77.31,72.7,2006-10-12,2007-01-20,69.0,81.85,2006-11-30,66.15,2006-10-31,9.69,-11.35,21.04,79.99,7.2,69.39,-7.0
JINDALPOLY,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,71.9447,SUCCESS,77.29,68.5,2007-04-12,2007-07-20,45.0,81.53,2007-05-17,68.02,2007-06-13,13.32,-5.46,18.78,78.5,9.11,68.95,-4.16
JINDALPOLY,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,83.1333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JINDALPOLY,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,83.1333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JINDALPOLY,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,83.1333,SUCCESS,105.24,67.08,2009-01-17,2009-01-20,2.0,117.86,2009-01-20,103.98,2009-01-19,41.77,25.08,16.7,109.59,31.82,109.06,31.19
JINDALPOLY,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,125.8347,SUCCESS,132.77,118.79,2009-04-16,2009-07-20,65.0,153.73,2009-05-22,103.89,2009-05-14,22.17,-17.44,39.61,150.22,19.38,111.67,-11.26
JINDALPOLY,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,141.666,SUCCESS,148.14,135.61,2009-10-16,2010-01-20,65.0,173.7,2010-01-19,132.77,2009-11-03,22.61,-6.28,28.89,168.52,18.96,136.15,-3.89
JINDALPOLY,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,170.4653,SUCCESS,178.82,163.05,2010-04-14,2010-07-20,69.0,205.44,2010-04-27,163.8,2010-04-19,20.52,-3.91,24.43,195.12,14.46,170.25,-0.13
JINDALPOLY,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,457.092,SUCCESS,516.03,406.07,2010-10-09,2011-01-20,72.0,647.54,2010-10-14,353.12,2010-12-09,41.67,-22.75,64.41,626.72,37.11,367.93,-19.51
JINDALPOLY,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,400.8373,SUCCESS,423.88,388.99,2011-04-09,2011-07-20,70.0,419.27,2011-04-27,256.32,2011-06-23,4.6,-36.05,40.65,409.96,2.28,260.14,-35.1
JINDALPOLY,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,191.0753,SUCCESS,212.9,176.09,2011-10-12,2012-01-20,70.0,227.34,2011-10-31,133.24,2011-12-19,18.98,-30.27,49.25,216.76,13.44,137.71,-27.93
JINDALPOLY,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,181.2847,SUCCESS,192.07,172.46,2012-04-12,2012-07-20,72.0,194.82,2012-04-19,147.86,2012-06-04,7.47,-18.44,25.9,187.93,3.67,148.66,-18.0
JINDALPOLY,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,180.5107,SUCCESS,205.02,163.94,2012-10-12,2013-01-20,67.0,213.18,2012-10-25,159.51,2012-12-17,18.1,-11.63,29.73,206.75,14.54,161.09,-10.76
JINDALPOLY,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,140.8727,SUCCESS,156.99,133.24,2013-04-12,2013-07-20,69.0,168.5,2013-05-20,129.6,2013-06-26,19.61,-8.0,27.61,162.82,15.58,130.39,-7.44
JINDALPOLY,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,126.7527,SUCCESS,136.68,119.49,2013-10-12,2014-01-20,68.0,158.81,2013-12-03,125.87,2013-11-22,25.29,-0.7,25.99,148.24,16.95,126.43,-0.25
JINDALPOLY,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,129.322,SUCCESS,140.69,122.15,2014-04-10,2014-07-20,44.0,257.62,2014-06-11,126.71,2014-05-07,99.21,-2.02,101.23,247.79,91.61,127.6,-1.33
JINDALPOLY,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,453.1373,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JINDALPOLY,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,453.1373,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JINDALPOLY,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,453.1373,SUCCESS,476.11,398.12,2016-01-16,2016-01-20,3.0,410.89,2016-01-18,346.6,2016-01-20,-9.32,-23.51,14.19,391.83,-13.53,359.5,-20.66
JINDALPOLY,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,416.4247,SUCCESS,475.13,377.35,2016-04-13,2016-07-20,67.0,501.5,2016-05-11,384.38,2016-06-24,20.43,-7.7,28.13,493.58,18.53,393.04,-5.62
JINDALPOLY,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,378.848,SUCCESS,399.15,356.85,2016-10-11,2017-01-20,71.0,416.57,2016-10-20,278.58,2016-12-27,9.96,-26.47,36.42,406.79,7.38,287.06,-24.23
JINDALPOLY,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,385.9393,SUCCESS,423.0,364.86,2017-04-11,2017-07-20,70.0,433.16,2017-04-26,313.99,2017-05-30,12.24,-18.64,30.88,422.67,9.52,323.86,-16.09
JINDALPOLY,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,349.068,SUCCESS,381.82,332.62,2017-10-12,2018-01-20,70.0,431.01,2017-11-03,349.39,2017-12-18,23.47,0.09,23.38,399.15,14.35,354.24,1.48
JINDALPOLY,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,305.134,SUCCESS,323.31,289.95,2018-04-12,2018-07-20,71.0,316.6,2018-04-13,191.0,2018-07-05,3.76,-37.4,41.16,311.75,2.17,193.1,-36.72
JINDALPOLY,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,260.616,SUCCESS,300.01,233.86,2018-10-13,2019-01-20,66.0,285.11,2018-11-09,200.18,2018-12-11,9.4,-23.19,32.59,283.06,8.61,204.28,-21.62
JINDALPOLY,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,234.194,SUCCESS,255.8,219.14,2019-04-11,2019-07-20,67.0,253.43,2019-05-28,199.34,2019-06-20,8.21,-14.88,23.1,246.72,5.35,204.14,-12.83
JINDALPOLY,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,215.618,SUCCESS,238.8,203.86,2019-10-15,2020-01-20,67.0,297.0,2020-01-17,195.71,2019-10-27,37.74,-9.23,46.98,278.55,29.19,198.55,-7.92
JINDALPOLY,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,197.2833,SUCCESS,239.9,150.0,2020-04-16,2020-07-20,66.0,409.9,2020-07-07,212.7,2020-04-16,107.77,7.81,99.96,403.8,104.68,217.8,10.4
JINDALPOLY,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,440.68,SUCCESS,494.5,412.1,2020-10-13,2021-01-20,69.0,520.0,2020-11-13,428.15,2021-01-18,18.0,-2.84,20.84,500.45,13.56,436.15,-1.03
JINDALPOLY,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,766.77,SUCCESS,839.25,708.9,2021-04-14,2021-07-20,66.0,1065.0,2021-07-20,695.0,2021-04-29,38.89,-9.36,48.25,1024.95,33.67,712.35,-7.1
JINDALPOLY,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,1013.1367,SUCCESS,1064.1,985.0,2021-10-09,2022-01-20,71.0,1238.0,2021-12-10,938.0,2021-10-29,22.19,-7.42,29.61,1218.55,20.27,945.6,-6.67
JINDALPOLY,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,1139.8067,SUCCESS,1255.4,1075.0,2022-04-09,2022-07-20,70.0,1229.45,2022-04-11,880.0,2022-05-26,7.86,-22.79,30.66,1209.65,6.13,903.3,-20.75
JINDALPOLY,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,904.7033,SUCCESS,950.3,863.3,2022-10-12,2023-01-20,71.0,1019.2,2022-10-28,725.0,2023-01-02,12.66,-19.86,32.52,882.75,-2.43,742.2,-17.96
JINDALPOLY,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,539.5133,SUCCESS,590.3,484.95,2023-04-13,2023-07-20,68.0,749.05,2023-06-08,562.7,2023-04-17,38.84,4.3,34.54,710.5,31.69,571.55,5.94
JINDALPOLY,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,681.62,SUCCESS,725.0,655.0,2023-10-12,2024-01-20,70.0,734.75,2023-10-17,602.35,2023-10-26,7.79,-11.63,19.42,710.35,4.21,615.4,-9.72
JINDALPOLY,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,519.8833,SUCCESS,557.65,449.2,2024-04-13,2024-07-20,66.0,847.05,2024-07-04,461.55,2024-06-04,62.93,-11.22,74.15,831.85,60.01,481.55,-7.37
JINDALPOLY,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,755.7067,SUCCESS,824.95,697.0,2024-10-12,2025-01-20,68.0,1150.0,2024-12-10,701.0,2024-10-28,52.18,-7.24,59.41,1072.8,41.96,708.3,-6.27
JINDALPOLY,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,686.45,SUCCESS,729.6,621.55,2025-04-12,2025-07-20,67.0,727.0,2025-05-19,591.0,2025-07-14,5.91,-13.9,19.81,708.4,3.2,593.1,-13.6
JINDALPOLY,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,572.01,SUCCESS,644.8,534.8,2025-10-14,2026-01-20,67.0,575.7,2025-10-14,378.0,2026-01-20,0.65,-33.92,34.56,570.95,-0.19,380.35,-33.51
JINDALPOLY,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,809.0133,SUCCESS,1015.9,703.85,2026-04-16,2026-07-20,65.0,775.0,2026-06-15,606.0,2026-07-01,-4.2,-25.09,20.89,751.95,-7.05,612.35,-24.31
JINDALPOLY,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
