Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
JMFINANCIL,2006,20-March,2006-03-20,2006-10-10,2006-10-10,2006-10-31,15.0,33.726,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JMFINANCIL,2006,20-September,2006-09-20,2006-10-10,2006-10-10,2006-10-31,15.0,33.726,SUCCESS,36.9,32.09,2006-11-01,2007-01-20,56.0,40.5,2006-11-16,32.85,2006-12-07,20.09,-2.6,22.68,38.34,13.68,33.76,0.1
JMFINANCIL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,44.4587,SUCCESS,48.83,41.94,2007-04-12,2007-07-20,45.0,53.95,2007-05-17,43.21,2007-04-12,21.35,-2.81,24.16,51.97,16.9,43.71,-1.68
JMFINANCIL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,24.6733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JMFINANCIL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,24.6733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
JMFINANCIL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,24.6733,SUCCESS,28.0,20.5,2009-01-17,2009-01-20,2.0,21.75,2009-01-19,19.85,2009-01-20,-11.85,-19.55,7.7,20.8,-15.7,20.25,-17.93
JMFINANCIL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,22.37,SUCCESS,27.75,19.65,2009-04-16,2009-07-20,66.0,65.25,2009-06-08,22.25,2009-04-29,191.69,-0.54,192.22,62.1,177.6,22.45,0.36
JMFINANCIL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,44.9767,SUCCESS,52.75,40.3,2009-10-16,2010-01-20,65.0,50.85,2009-11-10,37.7,2009-11-27,13.06,-16.18,29.24,48.55,7.94,39.2,-12.84
JMFINANCIL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,37.8767,SUCCESS,41.3,34.8,2010-04-14,2010-07-20,69.0,45.0,2010-06-01,28.1,2010-05-21,18.81,-25.81,44.62,42.25,11.55,30.0,-20.8
JMFINANCIL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,38.63,SUCCESS,47.8,33.75,2010-10-09,2011-01-20,72.0,46.95,2010-10-19,26.25,2010-11-26,21.54,-32.05,53.59,45.85,18.69,28.2,-27.0
JMFINANCIL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,25.3933,SUCCESS,30.9,22.35,2011-04-09,2011-07-20,70.0,33.95,2011-04-19,21.4,2011-06-20,33.7,-15.73,49.42,32.4,27.59,21.65,-14.74
JMFINANCIL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,16.9,SUCCESS,19.35,15.55,2011-10-12,2012-01-20,70.0,19.5,2011-10-31,11.5,2012-01-02,15.38,-31.95,47.34,18.95,12.13,11.7,-30.77
JMFINANCIL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,15.21,SUCCESS,16.4,12.25,2012-04-12,2012-07-20,72.0,15.95,2012-04-12,11.35,2012-05-31,4.87,-25.38,30.24,15.3,0.59,11.65,-23.41
JMFINANCIL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,16.52,SUCCESS,18.9,14.9,2012-10-12,2013-01-20,67.0,25.3,2013-01-03,15.75,2012-10-30,53.15,-4.66,57.81,24.9,50.73,16.0,-3.15
