Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KAMDHENU,2022,20-March,2022-03-20,2022-11-21,2022-11-21,2023-01-27,15.0,39.2453,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KAMDHENU,2022,20-September,2022-09-20,2022-11-21,2022-11-21,2023-01-27,15.0,39.2453,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KAMDHENU,2023,20-March,2023-03-20,2023-04-21,2023-04-21,2023-05-12,15.0,34.4153,SUCCESS,36.99,33.3,2023-05-13,2023-07-20,48.0,34.2,2023-05-15,29.68,2023-05-24,-0.63,-13.76,13.13,33.18,-3.59,30.68,-10.85
KAMDHENU,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,29.8493,SUCCESS,31.5,28.71,2023-10-12,2024-01-20,70.0,60.36,2024-01-20,26.0,2023-10-26,102.22,-12.9,115.11,59.06,97.86,26.94,-9.75
KAMDHENU,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,53.98,SUCCESS,58.97,49.12,2024-04-16,2024-07-20,65.0,58.72,2024-07-04,47.1,2024-06-05,8.78,-12.75,21.53,56.73,5.09,48.1,-10.89
KAMDHENU,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,57.2233,SUCCESS,63.0,50.51,2024-10-12,2025-01-20,68.0,55.8,2024-10-14,41.5,2025-01-13,-2.49,-27.48,24.99,54.3,-5.11,42.0,-26.6
KAMDHENU,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,29.5807,SUCCESS,34.5,25.1,2025-04-12,2025-07-20,67.0,35.95,2025-06-11,25.15,2025-05-09,21.53,-14.98,36.51,34.0,14.94,25.87,-12.54
KAMDHENU,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,28.0413,SUCCESS,32.99,25.23,2025-10-14,2026-01-20,67.0,29.42,2025-11-11,21.7,2025-12-18,4.92,-22.61,27.53,29.04,3.56,21.85,-22.08
KAMDHENU,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,20.214,SUCCESS,22.83,16.15,2026-04-16,2026-07-20,65.0,34.7,2026-07-20,21.5,2026-04-20,71.66,6.36,65.3,33.66,66.52,21.81,7.9
KAMDHENU,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
