Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KANSAINER,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,1.774,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KANSAINER,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,1.774,SUCCESS,1.86,1.65,2002-01-16,2002-01-20,3.0,2.08,2002-01-18,1.82,2002-01-16,17.25,2.59,14.66,1.99,12.18,1.85,4.28
KANSAINER,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,2.384,SUCCESS,2.71,2.24,2002-04-12,2002-07-20,70.0,3.31,2002-04-16,2.3,2002-05-21,38.84,-3.52,42.37,3.2,34.23,2.38,-0.17
KANSAINER,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,2.6667,SUCCESS,2.74,2.58,2002-10-12,2003-01-20,67.0,3.45,2003-01-16,2.44,2002-10-30,29.38,-8.5,37.88,3.23,21.13,2.47,-7.37
KANSAINER,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,3.0887,SUCCESS,3.21,2.9,2003-04-10,2003-07-20,69.0,5.45,2003-07-17,3.08,2003-04-25,76.45,-0.28,76.73,5.08,64.47,3.11,0.69
KANSAINER,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,6.7993,SUCCESS,7.79,6.34,2003-10-14,2004-01-20,71.0,9.4,2003-12-22,6.66,2003-10-22,38.25,-2.05,40.3,9.22,35.6,6.87,1.04
KANSAINER,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,8.9527,SUCCESS,9.91,8.62,2004-04-13,2004-07-20,70.0,11.78,2004-04-22,7.93,2004-05-17,31.58,-11.42,43.0,10.65,18.96,8.89,-0.7
KANSAINER,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,9.9867,SUCCESS,10.54,8.92,2004-10-09,2005-01-20,71.0,14.53,2005-01-05,8.89,2004-10-26,45.49,-10.98,56.48,13.58,35.98,8.96,-10.28
KANSAINER,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,17.1987,SUCCESS,18.83,16.52,2005-04-12,2005-07-20,72.0,23.09,2005-05-17,16.87,2005-04-20,34.25,-1.91,36.17,20.05,16.58,16.87,-1.91
KANSAINER,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,23.458,SUCCESS,24.78,21.18,2005-10-11,2006-01-20,70.0,27.36,2006-01-16,19.86,2005-10-31,16.63,-15.34,31.97,27.14,15.7,21.26,-9.37
KANSAINER,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,29.2527,SUCCESS,31.2,27.33,2006-04-11,2006-07-20,72.0,32.33,2006-05-08,21.48,2006-06-09,10.52,-26.57,37.09,29.86,2.08,22.57,-22.84
KANSAINER,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,29.5887,SUCCESS,30.82,28.08,2006-10-12,2007-01-20,69.0,31.62,2006-10-17,25.61,2006-12-22,6.87,-13.45,20.31,31.41,6.16,25.84,-12.67
KANSAINER,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,22.112,SUCCESS,22.96,20.85,2007-04-12,2007-07-20,45.0,24.78,2007-05-03,21.81,2007-04-13,12.07,-1.37,13.43,24.38,10.26,22.2,0.4
KANSAINER,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.93,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KANSAINER,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.93,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KANSAINER,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.93,SUCCESS,15.94,11.65,2009-01-17,2009-01-20,2.0,13.05,2009-01-19,12.26,2009-01-19,0.93,-5.18,6.11,12.41,-4.02,12.34,-4.56
KANSAINER,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,14.3787,SUCCESS,16.51,12.1,2009-04-16,2009-07-20,65.0,24.58,2009-06-02,14.61,2009-05-12,70.95,1.61,69.34,24.03,67.12,14.73,2.44
KANSAINER,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,27.0887,SUCCESS,28.02,22.85,2009-10-16,2010-01-20,65.0,44.47,2009-11-16,25.44,2009-10-17,64.16,-6.09,70.25,43.78,61.62,27.26,0.63
