Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KCPSUGIND,2001,20-March,2001-03-20,2001-12-28,2001-12-28,2002-01-28,15.0,3.1473,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2001,20-September,2001-09-20,2001-12-28,2001-12-28,2002-01-28,15.0,3.1473,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-17,15.0,3.0113,SUCCESS,3.2,2.83,2002-04-18,2002-07-20,63.0,3.84,2002-07-08,2.0,2002-05-22,27.52,-33.58,61.1,3.81,26.52,2.02,-32.92
KCPSUGIND,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,2.8587,SUCCESS,3.19,2.46,2002-10-15,2003-01-20,59.0,2.93,2002-10-18,2.31,2002-12-30,2.5,-19.19,21.69,2.93,2.5,2.4,-16.04
KCPSUGIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-21,15.0,2.1113,SUCCESS,2.3,1.95,2003-04-22,2003-07-20,61.0,3.15,2003-07-08,1.89,2003-04-23,49.19,-10.48,59.68,3.1,46.83,1.89,-10.48
KCPSUGIND,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,2.676,SUCCESS,2.85,2.48,2003-10-14,2004-01-20,71.0,5.33,2003-12-24,2.35,2003-10-30,99.18,-12.18,111.36,5.08,89.84,2.6,-2.84
KCPSUGIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,3.3127,SUCCESS,4.65,2.85,2004-04-13,2004-07-20,70.0,6.0,2004-04-30,3.31,2004-06-18,81.12,-0.08,81.2,5.51,66.33,3.47,4.75
KCPSUGIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,12.1367,SUCCESS,13.42,11.0,2004-10-09,2005-01-20,71.0,23.98,2005-01-03,12.86,2004-10-25,97.58,5.96,91.62,22.63,86.46,13.05,7.53
KCPSUGIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,20.0027,SUCCESS,22.5,17.1,2005-04-12,2005-07-20,72.0,27.65,2005-07-18,16.4,2005-05-09,38.23,-18.01,56.24,26.85,34.23,16.74,-16.31
KCPSUGIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,35.4727,SUCCESS,39.5,32.55,2005-10-11,2006-01-20,70.0,77.0,2006-01-17,32.0,2005-10-20,117.07,-9.79,126.86,73.4,106.92,32.5,-8.38
KCPSUGIND,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,69.67,SUCCESS,94.0,57.1,2006-04-11,2006-07-20,72.0,83.2,2006-04-12,31.6,2006-06-08,19.42,-54.64,74.06,81.7,17.27,34.2,-50.91
KCPSUGIND,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,36.1033,SUCCESS,40.8,33.0,2006-10-12,2007-01-20,69.0,39.8,2006-10-23,25.3,2006-12-13,10.24,-29.92,40.16,37.55,4.01,25.95,-28.12
KCPSUGIND,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,18.87,SUCCESS,20.75,17.5,2007-04-12,2007-07-20,45.0,21.5,2007-06-11,16.0,2007-05-09,13.94,-15.21,29.15,20.1,6.52,16.3,-13.62
KCPSUGIND,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,14.0067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,14.0067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,14.0067,SUCCESS,16.05,12.6,2009-01-17,2009-01-20,2.0,14.7,2009-01-19,13.85,2009-01-19,4.95,-1.12,6.07,14.7,4.95,14.3,2.09
KCPSUGIND,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,14.1933,SUCCESS,18.5,12.0,2009-04-16,2009-07-20,65.0,23.2,2009-05-26,15.6,2009-04-29,63.46,9.91,53.55,22.2,56.41,15.95,12.38
KCPSUGIND,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,27.23,SUCCESS,29.25,25.9,2009-10-16,2010-01-20,65.0,33.5,2010-01-18,23.25,2009-11-04,23.03,-14.62,37.64,30.75,12.93,23.85,-12.41
KCPSUGIND,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,21.5567,SUCCESS,23.4,20.15,2010-04-14,2010-07-20,69.0,25.8,2010-04-23,17.5,2010-05-21,19.68,-18.82,38.5,22.95,6.46,18.05,-16.27
KCPSUGIND,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,20.33,SUCCESS,21.35,19.7,2010-10-09,2011-01-20,72.0,24.1,2010-11-10,17.5,2010-12-10,18.54,-13.92,32.46,23.25,14.36,17.85,-12.2
KCPSUGIND,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,17.61,SUCCESS,18.75,16.9,2011-04-09,2011-07-20,70.0,18.2,2011-04-18,14.4,2011-06-23,3.35,-18.23,21.58,17.8,1.08,14.95,-15.11
KCPSUGIND,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,14.7333,SUCCESS,16.35,14.0,2011-10-12,2012-01-20,70.0,20.5,2011-11-03,11.75,2012-01-04,39.14,-20.25,59.39,20.2,37.1,13.55,-8.03
KCPSUGIND,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,16.1833,SUCCESS,17.25,15.0,2012-04-12,2012-07-20,72.0,20.2,2012-07-17,14.7,2012-05-11,24.82,-9.17,33.99,19.3,19.26,15.05,-7.0
KCPSUGIND,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,18.8933,SUCCESS,20.3,18.25,2012-10-12,2013-01-20,67.0,26.05,2012-11-19,18.8,2012-10-12,37.88,-0.49,38.37,25.55,35.23,18.95,0.3
KCPSUGIND,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,18.6967,SUCCESS,21.8,16.6,2013-04-12,2013-07-20,69.0,19.5,2013-05-09,16.55,2013-06-25,4.3,-11.48,15.78,19.1,2.16,16.9,-9.61
KCPSUGIND,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,17.3333,SUCCESS,18.65,16.7,2013-10-12,2014-01-20,68.0,18.3,2013-11-20,15.9,2014-01-15,5.58,-8.27,13.85,17.45,0.67,16.0,-7.69
KCPSUGIND,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,18.4367,SUCCESS,20.3,17.5,2014-04-10,2014-07-20,44.0,28.3,2014-06-09,17.2,2014-05-07,53.5,-6.71,60.21,27.75,50.52,17.7,-4.0
KCPSUGIND,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,28.4733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,28.4733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KCPSUGIND,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,28.4733,SUCCESS,33.3,25.85,2016-01-16,2016-01-20,3.0,27.75,2016-01-18,23.8,2016-01-18,-2.54,-16.41,13.87,26.05,-8.51,24.6,-13.6
KCPSUGIND,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,28.22,SUCCESS,30.6,25.9,2016-04-13,2016-07-20,67.0,46.0,2016-07-07,24.5,2016-04-28,63.0,-13.18,76.19,43.75,55.03,24.85,-11.94
KCPSUGIND,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,33.4033,SUCCESS,35.15,31.1,2016-10-11,2017-01-20,71.0,35.2,2017-01-17,25.55,2016-11-01,5.38,-23.51,28.89,34.1,2.09,26.7,-20.07
KCPSUGIND,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,36.87,SUCCESS,40.15,34.6,2017-04-11,2017-07-20,70.0,39.1,2017-04-12,27.55,2017-06-28,6.05,-25.28,31.33,38.15,3.47,27.95,-24.19
KCPSUGIND,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,28.25,SUCCESS,30.4,27.05,2017-10-12,2018-01-20,70.0,37.9,2017-12-26,28.2,2017-11-15,34.16,-0.18,34.34,36.85,30.44,28.6,1.24
KCPSUGIND,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,25.7067,SUCCESS,27.85,25.1,2018-04-12,2018-07-20,71.0,26.0,2018-04-19,19.75,2018-06-25,1.14,-23.17,24.31,25.6,-0.41,20.0,-22.2
KCPSUGIND,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,20.4467,SUCCESS,26.1,18.7,2018-10-13,2019-01-20,66.0,22.2,2018-11-12,17.65,2018-12-26,8.58,-13.68,22.25,21.6,5.64,17.9,-12.46
KCPSUGIND,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,16.55,SUCCESS,17.45,16.1,2019-04-11,2019-07-20,67.0,17.2,2019-05-27,11.65,2019-06-20,3.93,-29.61,33.53,17.0,2.72,13.3,-19.64
KCPSUGIND,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,12.7367,SUCCESS,13.55,11.95,2019-10-15,2020-01-20,67.0,16.5,2020-01-16,11.25,2019-10-18,29.55,-11.67,41.22,16.05,26.01,11.75,-7.75
KCPSUGIND,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,11.4767,SUCCESS,14.0,8.55,2020-04-16,2020-07-20,66.0,19.5,2020-07-15,11.5,2020-04-16,69.91,0.2,69.71,17.3,50.74,12.15,5.87
KCPSUGIND,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,14.4833,SUCCESS,16.4,13.5,2020-10-13,2021-01-20,69.0,18.45,2021-01-04,13.85,2020-11-18,27.39,-4.37,31.76,17.85,23.25,14.05,-2.99
