Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KEI,2006,20-March,2006-03-20,2006-03-23,2006-03-23,2006-04-17,15.0,81.4653,SUCCESS,105.4,72.0,2006-04-18,2006-07-20,69.0,104.58,2006-04-18,43.1,2006-07-19,28.37,-47.09,75.47,98.06,20.37,44.2,-45.74
KEI,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,64.9927,SUCCESS,72.4,61.0,2006-10-12,2007-01-20,69.0,120.9,2007-01-19,67.2,2006-10-12,86.02,3.4,82.62,117.15,80.25,69.03,6.21
KEI,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,69.6167,SUCCESS,75.3,64.05,2007-04-12,2007-07-20,45.0,103.4,2007-05-29,68.25,2007-04-19,48.53,-1.96,50.49,100.7,44.65,69.1,-0.74
KEI,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,13.14,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KEI,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,13.14,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KEI,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,13.14,SUCCESS,16.0,10.25,2009-01-17,2009-01-20,2.0,11.05,2009-01-19,10.5,2009-01-19,-15.91,-20.09,4.19,11.0,-16.29,10.8,-17.81
KEI,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,11.38,SUCCESS,15.1,9.05,2009-04-16,2009-07-20,65.0,31.65,2009-06-10,11.8,2009-04-29,178.12,3.69,174.43,30.1,164.5,12.4,8.96
KEI,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,32.5233,SUCCESS,35.45,30.8,2009-10-16,2010-01-20,65.0,42.8,2010-01-18,27.8,2009-11-04,31.6,-14.52,46.12,41.85,28.68,28.6,-12.06
KEI,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,34.6133,SUCCESS,37.55,31.75,2010-04-14,2010-07-20,69.0,39.0,2010-04-23,29.0,2010-06-23,12.67,-16.22,28.89,37.7,8.92,29.7,-14.19
KEI,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,37.5233,SUCCESS,40.25,35.45,2010-10-09,2011-01-20,72.0,43.25,2010-11-12,26.75,2010-12-10,15.26,-28.71,43.97,40.45,7.8,27.6,-26.45
KEI,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,21.8,SUCCESS,26.25,20.0,2011-04-09,2011-07-20,70.0,30.6,2011-04-19,20.55,2011-06-23,40.37,-5.73,46.1,29.65,36.01,20.8,-4.59
KEI,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,15.78,SUCCESS,17.0,14.65,2011-10-12,2012-01-20,70.0,21.0,2012-01-16,12.5,2011-12-22,33.08,-20.79,53.87,18.8,19.14,12.95,-17.93
KEI,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,17.07,SUCCESS,18.2,14.0,2012-04-12,2012-07-20,72.0,20.0,2012-04-13,13.0,2012-05-02,17.16,-23.84,41.01,18.9,10.72,14.35,-15.93
KEI,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,16.9633,SUCCESS,19.5,15.75,2012-10-12,2013-01-20,67.0,20.2,2012-10-25,15.9,2012-12-31,19.08,-6.27,25.35,19.35,14.07,16.0,-5.68
KEI,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,11.12,SUCCESS,12.4,9.5,2013-04-12,2013-07-20,69.0,12.4,2013-05-16,9.45,2013-07-18,11.51,-15.02,26.53,12.1,8.81,9.6,-13.67
KEI,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,7.3633,SUCCESS,8.85,6.8,2013-10-12,2014-01-20,68.0,14.5,2014-01-06,7.65,2013-10-15,96.92,3.89,93.03,14.0,90.13,7.85,6.61
KEI,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,12.37,SUCCESS,16.25,11.05,2014-04-10,2014-07-20,44.0,31.25,2014-05-22,15.5,2014-04-10,152.63,25.3,127.32,28.4,129.59,16.3,31.77
KEI,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,118.7967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KEI,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,118.7967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KEI,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,118.7967,SUCCESS,126.4,109.3,2016-01-16,2016-01-20,3.0,122.0,2016-01-18,108.8,2016-01-20,2.7,-8.41,11.11,114.15,-3.91,110.3,-7.15
KEI,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,97.9967,SUCCESS,104.7,91.5,2016-04-13,2016-07-20,67.0,129.0,2016-07-11,93.8,2016-06-24,31.64,-4.28,35.92,127.05,29.65,99.3,1.33
KEI,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,117.2,SUCCESS,123.0,108.0,2016-10-11,2017-01-20,71.0,146.4,2017-01-10,106.1,2016-11-09,24.91,-9.47,34.39,143.75,22.65,110.05,-6.1
KEI,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,181.6167,SUCCESS,198.8,168.8,2017-04-11,2017-07-20,70.0,263.8,2017-07-10,191.0,2017-04-13,45.25,5.17,40.08,239.8,32.04,191.75,5.58
KEI,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,336.9367,SUCCESS,371.9,300.1,2017-10-12,2018-01-20,70.0,423.5,2017-12-12,312.1,2017-10-25,25.69,-7.37,33.06,410.45,21.82,317.65,-5.72
KEI,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,398.1867,SUCCESS,457.9,351.1,2018-04-12,2018-07-20,71.0,496.0,2018-05-30,371.15,2018-06-05,24.56,-6.79,31.35,482.25,21.11,387.95,-2.57
KEI,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,325.8467,SUCCESS,376.9,253.5,2018-10-13,2019-01-20,66.0,397.3,2018-11-13,248.0,2018-10-23,21.93,-23.89,45.82,386.45,18.6,251.5,-22.82
KEI,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,412.2433,SUCCESS,434.7,390.0,2019-04-11,2019-07-20,67.0,532.5,2019-05-29,356.65,2019-05-13,29.17,-13.49,42.66,528.5,28.2,366.95,-10.99
KEI,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,528.7433,SUCCESS,562.0,455.0,2019-10-15,2020-01-20,67.0,614.65,2019-10-30,430.3,2019-12-19,16.25,-18.62,34.87,593.95,12.33,433.5,-18.01
