Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KFINTECH,2022,20-March,2022-03-20,2022-12-29,2022-12-29,2023-01-18,15.0,342.65,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KFINTECH,2022,20-September,2022-09-20,2022-12-29,2022-12-29,2023-01-18,15.0,342.65,SUCCESS,373.0,328.0,2023-01-19,2023-01-20,2.0,341.55,2023-01-19,332.45,2023-01-19,-0.32,-2.98,2.66,335.0,-2.23,334.5,-2.38
KFINTECH,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,284.68,SUCCESS,302.95,272.0,2023-04-13,2023-07-20,68.0,394.0,2023-07-19,287.0,2023-04-18,38.4,0.81,37.59,382.5,34.36,289.95,1.85
KFINTECH,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,463.66,SUCCESS,493.25,444.4,2023-10-12,2024-01-20,70.0,563.7,2023-11-17,425.55,2023-10-26,21.58,-8.22,29.8,552.9,19.25,437.95,-5.55
KFINTECH,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,621.18,SUCCESS,673.75,572.0,2024-04-13,2024-07-20,66.0,822.0,2024-05-02,592.0,2024-04-18,32.33,-4.7,37.03,815.95,31.35,614.35,-1.1
KFINTECH,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1052.5633,SUCCESS,1164.15,981.85,2024-10-12,2025-01-20,68.0,1641.35,2024-12-30,930.05,2024-10-25,55.94,-11.64,67.58,1592.2,51.27,943.05,-10.4
KFINTECH,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1048.3233,SUCCESS,1170.4,828.8,2025-04-12,2025-07-20,67.0,1388.5,2025-06-25,1001.6,2025-04-15,32.45,-4.46,36.91,1347.7,28.56,1007.2,-3.92
KFINTECH,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1069.5733,SUCCESS,1149.0,1029.0,2025-10-14,2026-01-20,67.0,1215.0,2025-10-28,1001.1,2026-01-20,13.6,-6.4,20.0,1174.8,9.84,1007.8,-5.78
KFINTECH,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,907.5333,SUCCESS,947.8,866.0,2026-04-16,2026-07-20,65.0,1006.0,2026-04-22,784.95,2026-05-18,10.85,-13.51,24.36,996.95,9.85,805.6,-11.23
KFINTECH,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
