Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KIOCL,2016,20-March,2016-03-20,2016-11-29,2016-11-29,2017-04-24,15.0,14.8233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KIOCL,2016,20-September,2016-09-20,2016-11-29,2016-11-29,2017-04-24,15.0,14.8233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KIOCL,2017,20-March,2017-03-20,2017-03-27,2017-03-27,2017-05-05,15.0,19.6967,SUCCESS,26.95,13.85,2017-05-06,2017-07-20,47.0,109.35,2017-06-23,28.25,2017-05-09,455.17,43.43,411.74,104.15,428.77,28.25,43.43
KIOCL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,190.2867,SUCCESS,240.0,152.0,2017-10-12,2018-01-20,70.0,502.85,2017-11-14,210.35,2017-10-17,164.26,10.54,153.72,482.45,153.54,214.75,12.86
KIOCL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,250.9333,SUCCESS,316.7,200.0,2018-04-12,2018-07-20,71.0,294.0,2018-04-16,158.45,2018-07-20,17.16,-36.86,54.02,274.95,9.57,163.6,-34.8
KIOCL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,160.28,SUCCESS,188.05,147.05,2018-10-13,2019-01-20,66.0,188.0,2018-11-09,128.0,2018-12-11,17.29,-20.14,37.43,179.3,11.87,136.65,-14.74
KIOCL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,140.76,SUCCESS,149.0,134.95,2019-04-11,2019-07-20,67.0,147.0,2019-05-31,111.15,2019-07-19,4.43,-21.04,25.47,144.6,2.73,115.1,-18.23
KIOCL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,121.9767,SUCCESS,135.0,116.15,2019-10-15,2020-01-20,67.0,141.9,2019-11-08,104.25,2019-12-16,16.33,-14.53,30.87,132.0,8.22,109.2,-10.47
KIOCL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,59.25,SUCCESS,71.55,44.7,2020-04-16,2020-07-20,66.0,117.0,2020-06-29,67.4,2020-05-22,97.47,13.76,83.71,112.6,90.04,69.1,16.62
KIOCL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,118.46,SUCCESS,126.5,111.7,2020-10-13,2021-01-20,69.0,164.8,2020-12-16,106.6,2020-10-29,39.12,-10.01,49.13,157.1,32.62,109.3,-7.73
KIOCL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,148.2633,SUCCESS,168.9,134.25,2021-04-14,2021-07-20,66.0,306.5,2021-06-07,140.25,2021-04-22,106.73,-5.4,112.13,295.9,99.58,143.55,-3.18
KIOCL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,251.14,SUCCESS,279.9,235.35,2021-10-09,2022-01-20,71.0,319.0,2021-10-11,209.4,2021-11-29,27.02,-16.62,43.64,306.05,21.86,223.9,-10.85
KIOCL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,223.0867,SUCCESS,238.8,207.0,2022-04-09,2022-07-20,70.0,262.5,2022-05-04,166.65,2022-06-17,17.67,-25.3,42.97,237.05,6.26,169.7,-23.93
KIOCL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,190.2167,SUCCESS,212.05,179.15,2022-10-12,2023-01-20,71.0,236.7,2022-11-29,172.05,2022-11-16,24.44,-9.55,33.99,228.2,19.97,172.9,-9.1
KIOCL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,174.3733,SUCCESS,182.0,166.0,2023-04-13,2023-07-20,68.0,216.15,2023-04-17,179.55,2023-04-13,23.96,2.97,20.99,205.25,17.71,180.15,3.31
KIOCL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,319.8733,SUCCESS,358.0,297.4,2023-10-12,2024-01-20,70.0,519.4,2023-10-18,302.8,2023-11-30,62.38,-5.34,67.71,476.4,48.93,305.25,-4.57
KIOCL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,423.4,SUCCESS,472.0,381.5,2024-04-13,2024-07-20,66.0,511.7,2024-07-08,369.0,2024-06-04,20.85,-12.85,33.7,485.65,14.7,393.05,-7.17
KIOCL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,378.83,SUCCESS,405.55,342.2,2024-10-12,2025-01-20,68.0,453.7,2025-01-06,306.2,2024-10-25,19.76,-19.17,38.94,430.5,13.64,317.65,-16.15
KIOCL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,239.302,SUCCESS,266.5,209.84,2025-04-12,2025-07-20,67.0,335.5,2025-06-03,229.2,2025-05-09,40.2,-4.22,44.42,317.1,32.51,235.55,-1.57
KIOCL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,483.2567,SUCCESS,634.55,419.2,2025-10-14,2026-01-20,67.0,479.95,2025-10-15,322.55,2025-12-09,-0.68,-33.25,32.57,475.5,-1.61,327.8,-32.17
KIOCL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,342.77,SUCCESS,372.55,310.95,2026-04-16,2026-07-20,65.0,442.0,2026-04-28,367.7,2026-05-20,28.95,7.27,21.68,419.9,22.5,370.4,8.06
KIOCL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
