Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KOKUYOCMLN,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,9.55,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KOKUYOCMLN,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,9.55,SUCCESS,11.88,8.21,2009-01-17,2009-01-20,2.0,9.54,2009-01-20,7.87,2009-01-19,-0.1,-17.59,17.49,9.26,-3.04,8.97,-6.07
KOKUYOCMLN,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,8.7653,SUCCESS,10.97,7.16,2009-04-16,2009-07-20,66.0,21.66,2009-05-28,8.35,2009-04-20,147.11,-4.74,151.85,20.8,137.3,9.73,11.01
KOKUYOCMLN,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,26.1213,SUCCESS,28.72,24.04,2009-10-16,2010-01-20,65.0,27.19,2010-01-14,19.42,2009-11-04,4.09,-25.65,29.75,26.67,2.1,20.08,-23.13
KOKUYOCMLN,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,23.3767,SUCCESS,26.24,20.51,2010-04-14,2010-07-20,69.0,38.07,2010-07-12,23.04,2010-04-15,62.85,-1.44,64.29,36.02,54.09,23.57,0.83
KOKUYOCMLN,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,45.1093,SUCCESS,48.95,42.94,2010-10-09,2011-01-20,72.0,51.95,2011-01-20,35.3,2010-12-13,15.16,-21.75,36.91,51.43,14.01,36.64,-18.78
KOKUYOCMLN,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,50.8053,SUCCESS,66.89,43.94,2011-04-09,2011-07-20,70.0,81.96,2011-05-30,58.39,2011-05-05,61.32,14.93,46.39,78.43,54.37,59.68,17.47
KOKUYOCMLN,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,62.8053,SUCCESS,77.76,43.89,2011-10-12,2012-01-20,70.0,50.47,2011-10-12,28.53,2011-12-23,-19.64,-54.57,34.93,47.37,-24.58,29.1,-53.67
KOKUYOCMLN,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,33.0647,SUCCESS,38.07,31.25,2012-04-12,2012-07-20,72.0,43.8,2012-04-25,31.15,2012-06-04,32.47,-5.79,38.26,42.41,28.26,35.21,6.49
KOKUYOCMLN,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,37.968,SUCCESS,40.46,36.54,2012-10-12,2013-01-20,67.0,48.52,2012-12-28,34.78,2012-11-23,27.79,-8.4,36.19,46.71,23.02,34.83,-8.26
KOKUYOCMLN,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,30.616,SUCCESS,36.31,28.67,2013-04-12,2013-07-20,69.0,37.12,2013-05-14,26.53,2013-07-18,21.24,-13.35,34.59,34.97,14.22,26.76,-12.59
KOKUYOCMLN,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,29.4867,SUCCESS,31.2,28.6,2013-10-12,2014-01-20,68.0,38.8,2013-12-17,29.0,2013-11-18,31.58,-1.65,33.24,37.1,25.82,29.4,-0.29
KOKUYOCMLN,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,34.0567,SUCCESS,36.8,32.15,2014-04-10,2014-07-20,44.0,45.6,2014-06-13,30.6,2014-05-27,33.89,-10.15,44.04,44.95,31.99,32.9,-3.4
KOKUYOCMLN,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,96.0667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KOKUYOCMLN,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,96.0667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KOKUYOCMLN,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,96.0667,SUCCESS,102.8,83.65,2016-01-16,2016-01-20,3.0,87.95,2016-01-18,77.7,2016-01-18,-8.45,-19.12,10.67,84.7,-11.83,79.75,-16.98
KOKUYOCMLN,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,83.1467,SUCCESS,86.8,78.4,2016-04-13,2016-07-20,67.0,96.45,2016-05-12,69.0,2016-06-24,16.0,-17.01,33.01,93.75,12.75,70.6,-15.09
KOKUYOCMLN,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,82.3367,SUCCESS,88.75,77.8,2016-10-11,2017-01-20,71.0,99.4,2016-10-28,77.0,2016-11-09,20.72,-6.48,27.21,96.95,17.75,78.2,-5.02
KOKUYOCMLN,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,89.0967,SUCCESS,94.9,80.1,2017-04-11,2017-07-20,70.0,119.75,2017-07-10,84.4,2017-04-18,34.4,-5.27,39.68,117.35,31.71,85.45,-4.09
KOKUYOCMLN,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,91.5167,SUCCESS,97.0,86.8,2017-10-12,2018-01-20,70.0,157.0,2017-12-14,93.25,2017-10-12,71.55,1.89,69.66,150.4,64.34,95.2,4.02
KOKUYOCMLN,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,117.8367,SUCCESS,124.95,107.55,2018-04-12,2018-07-20,71.0,122.8,2018-05-10,88.0,2018-07-20,4.21,-25.32,29.53,119.8,1.67,88.9,-24.56
KOKUYOCMLN,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,120.1733,SUCCESS,147.8,102.9,2018-10-13,2019-01-20,66.0,123.8,2018-10-15,98.75,2018-12-10,3.02,-17.83,20.84,120.95,0.65,101.0,-15.95
KOKUYOCMLN,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,97.8167,SUCCESS,104.5,92.3,2019-04-11,2019-07-20,67.0,100.0,2019-04-11,71.1,2019-07-19,2.23,-27.31,29.55,98.75,0.95,71.75,-26.65
KOKUYOCMLN,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,66.9,SUCCESS,75.45,59.6,2019-10-15,2020-01-20,67.0,91.2,2019-12-30,61.05,2019-10-15,36.32,-8.74,45.07,86.65,29.52,61.65,-7.85
KOKUYOCMLN,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,43.83,SUCCESS,52.0,34.1,2020-04-16,2020-07-20,66.0,66.5,2020-06-04,43.35,2020-05-21,51.72,-1.1,52.82,63.15,44.08,44.3,1.07
KOKUYOCMLN,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,59.5533,SUCCESS,67.4,55.1,2020-10-13,2021-01-20,69.0,75.4,2021-01-08,57.0,2020-11-02,26.61,-4.29,30.9,71.6,20.23,58.15,-2.36
KOKUYOCMLN,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,56.7033,SUCCESS,60.3,52.7,2021-04-14,2021-07-20,66.0,79.9,2021-07-05,52.0,2021-04-19,40.91,-8.29,49.2,77.55,36.76,52.9,-6.71
KOKUYOCMLN,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,67.6933,SUCCESS,73.75,64.85,2021-10-09,2022-01-20,71.0,72.5,2021-11-10,59.25,2021-12-20,7.1,-12.47,19.57,71.0,4.88,60.15,-11.14
KOKUYOCMLN,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,62.3667,SUCCESS,67.15,58.55,2022-04-09,2022-07-20,70.0,73.7,2022-05-02,50.5,2022-06-20,18.17,-19.03,37.2,71.6,14.8,52.1,-16.46
KOKUYOCMLN,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,70.5633,SUCCESS,76.9,67.5,2022-10-12,2023-01-20,71.0,95.8,2022-12-13,67.1,2022-10-17,35.76,-4.91,40.67,91.1,29.1,68.0,-3.63
KOKUYOCMLN,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,70.8267,SUCCESS,74.2,66.6,2023-04-13,2023-07-20,68.0,134.4,2023-07-18,71.65,2023-04-17,89.76,1.16,88.6,132.9,87.64,72.85,2.86
KOKUYOCMLN,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,136.8,SUCCESS,142.95,131.2,2023-10-12,2024-01-20,70.0,178.4,2023-12-07,123.7,2023-11-08,30.41,-9.58,39.99,171.7,25.51,124.15,-9.25
KOKUYOCMLN,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,121.3767,SUCCESS,136.2,109.6,2024-04-13,2024-07-20,66.0,173.4,2024-05-08,122.0,2024-04-15,42.86,0.51,42.35,166.9,37.51,125.6,3.48
