Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KRBL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-05-08,15.0,1.842,SUCCESS,2.71,1.4,2002-05-09,2002-07-20,44.0,3.2,2002-05-09,2.0,2002-05-20,73.72,8.58,65.15,2.93,59.07,2.05,11.29
KRBL,2002,20-September,2002-09-20,2002-09-23,2002-09-23,2002-10-14,15.0,2.01,SUCCESS,2.35,1.82,2002-10-15,2003-01-20,52.0,2.28,2002-10-23,1.65,2003-01-02,13.43,-17.91,31.34,2.28,13.43,1.74,-13.43
KRBL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-28,15.0,1.7507,SUCCESS,1.94,1.53,2003-04-29,2003-07-20,54.0,4.71,2003-07-17,1.6,2003-04-29,169.04,-8.61,177.65,4.38,150.19,1.72,-1.75
KRBL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,4.6067,SUCCESS,5.0,4.4,2003-10-14,2004-01-20,71.0,7.04,2003-12-19,3.95,2003-10-29,52.82,-14.25,67.08,6.71,45.66,3.97,-13.82
KRBL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,4.4387,SUCCESS,5.3,3.7,2004-04-13,2004-07-20,70.0,5.49,2004-07-19,3.88,2004-05-18,23.69,-12.59,36.27,5.18,16.7,4.04,-8.98
KRBL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,5.3047,SUCCESS,5.78,5.13,2004-10-09,2005-01-20,71.0,11.3,2004-12-14,5.49,2004-10-09,113.02,3.49,109.53,10.94,106.23,5.78,8.96
KRBL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,12.7633,SUCCESS,14.37,11.5,2005-04-12,2005-07-20,72.0,15.65,2005-05-23,12.1,2005-05-03,22.62,-5.2,27.81,15.15,18.7,12.14,-4.88
KRBL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,12.4893,SUCCESS,13.35,10.89,2005-10-11,2006-01-20,70.0,16.1,2006-01-20,10.5,2005-10-21,28.91,-15.93,44.84,15.78,26.35,10.91,-12.65
KRBL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,17.5513,SUCCESS,21.5,16.11,2006-04-11,2006-07-20,72.0,24.3,2006-04-27,7.76,2006-06-14,38.45,-55.79,94.24,23.5,33.89,7.92,-54.88
KRBL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,13.1033,SUCCESS,14.5,12.58,2006-10-12,2007-01-20,69.0,19.5,2007-01-12,12.71,2006-12-12,48.82,-3.0,51.82,18.97,44.77,13.03,-0.56
KRBL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,11.106,SUCCESS,12.09,10.37,2007-04-12,2007-07-20,45.0,12.8,2007-04-17,9.32,2007-06-12,15.25,-16.08,31.33,12.57,13.18,9.35,-15.81
KRBL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.012,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KRBL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.012,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KRBL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.012,SUCCESS,8.98,6.0,2009-01-17,2009-01-20,2.0,7.6,2009-01-20,6.63,2009-01-19,8.39,-5.45,13.83,7.17,2.25,7.16,2.11
KRBL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,5.1567,SUCCESS,6.29,4.31,2009-04-16,2009-07-20,65.0,12.24,2009-06-05,5.2,2009-04-16,137.36,0.84,136.52,11.54,123.79,5.54,7.43
KRBL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,13.868,SUCCESS,15.38,12.2,2009-10-16,2010-01-20,65.0,23.29,2009-12-22,11.7,2009-10-28,67.94,-15.63,83.57,22.27,60.59,12.13,-12.53
KRBL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,24.4,SUCCESS,26.65,23.2,2010-04-14,2010-07-20,69.0,29.8,2010-04-26,21.55,2010-06-15,22.13,-11.68,33.81,29.05,19.06,22.15,-9.22
KRBL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,36.48,SUCCESS,38.85,33.3,2010-10-09,2011-01-20,72.0,54.65,2010-10-22,31.2,2011-01-20,49.81,-14.47,64.28,52.75,44.6,33.1,-9.27
KRBL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,29.1867,SUCCESS,34.45,26.6,2011-04-09,2011-07-20,70.0,34.0,2011-04-20,23.0,2011-06-20,16.49,-21.2,37.69,33.4,14.44,24.15,-17.26
KRBL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,24.92,SUCCESS,29.35,22.4,2011-10-12,2012-01-20,70.0,27.0,2011-10-13,12.65,2011-12-22,8.35,-49.24,57.58,25.95,4.13,13.25,-46.83
KRBL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,18.3633,SUCCESS,21.2,16.6,2012-04-12,2012-07-20,72.0,23.25,2012-07-05,18.0,2012-06-20,26.61,-1.98,28.59,22.4,21.98,18.6,1.29
KRBL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,25.13,SUCCESS,27.9,22.75,2012-10-12,2013-01-20,67.0,28.9,2012-11-07,25.0,2012-10-31,15.0,-0.52,15.52,27.8,10.62,25.05,-0.32
KRBL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,22.54,SUCCESS,23.9,21.15,2013-04-12,2013-07-20,69.0,26.5,2013-05-16,19.8,2013-07-08,17.57,-12.16,29.72,24.95,10.69,19.95,-11.49
KRBL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,25.0967,SUCCESS,28.2,23.7,2013-10-12,2014-01-20,68.0,43.15,2014-01-17,27.65,2013-10-17,71.94,10.17,61.76,41.1,63.77,28.3,12.76
KRBL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,49.2567,SUCCESS,53.4,47.2,2014-04-10,2014-07-20,44.0,84.15,2014-06-12,51.05,2014-04-11,70.84,3.64,67.2,79.35,61.09,51.75,5.06
KRBL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,228.0867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KRBL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,228.0867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
