Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KREBSBIO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,97.4833,SUCCESS,127.2,83.1,2021-04-14,2021-07-20,66.0,146.4,2021-04-27,102.8,2021-04-19,50.18,5.45,44.73,138.6,42.18,107.8,10.58
KREBSBIO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,182.6033,SUCCESS,207.0,170.3,2021-10-09,2022-01-20,71.0,227.9,2021-12-31,149.05,2021-11-23,24.81,-18.37,43.18,213.05,16.67,154.45,-15.42
KREBSBIO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,155.3167,SUCCESS,181.0,141.95,2022-04-09,2022-07-20,70.0,185.0,2022-04-11,97.7,2022-07-14,19.11,-37.1,56.21,176.75,13.8,99.35,-36.03
KREBSBIO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,113.6033,SUCCESS,123.95,107.25,2022-10-12,2023-01-20,71.0,125.5,2022-10-28,101.8,2022-10-27,10.47,-10.39,20.86,120.05,5.67,103.95,-8.5
KREBSBIO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,64.46,SUCCESS,89.0,50.65,2023-04-13,2023-07-20,68.0,80.35,2023-04-13,60.0,2023-05-29,24.65,-6.92,31.57,78.15,21.24,61.7,-4.28
KREBSBIO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,67.3133,SUCCESS,71.4,64.15,2023-10-12,2024-01-20,70.0,93.95,2023-11-07,65.75,2023-10-12,39.57,-2.32,41.89,87.45,29.91,66.6,-1.06
KREBSBIO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,68.3167,SUCCESS,76.0,60.35,2024-04-13,2024-07-20,66.0,121.55,2024-07-19,61.0,2024-06-03,77.92,-10.71,88.63,110.88,62.3,61.9,-9.39
KREBSBIO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,81.476,SUCCESS,88.8,76.9,2024-10-12,2025-01-20,68.0,129.07,2024-11-27,73.3,2024-10-28,58.41,-10.03,68.45,125.3,53.79,77.1,-5.37
KREBSBIO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,72.188,SUCCESS,78.7,66.12,2025-04-12,2025-07-20,67.0,113.5,2025-06-09,70.13,2025-05-09,57.23,-2.85,60.08,104.94,45.37,72.57,0.53
KREBSBIO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,72.6567,SUCCESS,81.8,69.8,2025-10-14,2026-01-20,67.0,76.85,2025-12-05,58.8,2026-01-20,5.77,-19.07,24.84,75.0,3.23,61.96,-14.72
KREBSBIO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,52.1847,SUCCESS,68.58,38.33,2026-04-16,2026-07-20,65.0,71.5,2026-06-08,51.2,2026-07-17,37.01,-1.89,38.9,68.14,30.57,52.97,1.5
KREBSBIO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
