Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KSHITIJPOL,2018,20-March,2018-03-20,2018-10-23,2018-10-23,2018-11-19,15.0,6.8253,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KSHITIJPOL,2018,20-September,2018-09-20,2018-10-23,2018-10-23,2018-11-19,15.0,6.8253,SUCCESS,7.08,6.5,2018-11-20,2019-01-20,20.0,7.4,2018-11-26,5.6,2019-01-09,8.42,-17.95,26.37,6.98,2.27,5.67,-16.93
KSHITIJPOL,2019,20-March,2019-03-20,2019-03-22,2019-03-22,2019-05-14,15.0,5.752,SUCCESS,7.16,4.6,2019-05-15,2019-07-20,13.0,6.16,2019-05-22,4.6,2019-05-27,7.09,-20.03,27.12,6.16,7.09,4.6,-20.03
KSHITIJPOL,2019,20-September,2019-09-20,2019-09-24,2019-09-24,2019-11-25,15.0,6.6,SUCCESS,7.5,5.44,2019-11-26,2020-01-20,18.0,7.18,2019-12-02,5.02,2019-12-20,8.79,-23.94,32.73,7.18,8.79,5.02,-23.94
KSHITIJPOL,2020,20-March,2020-03-20,2020-03-23,2020-03-23,2020-08-11,15.0,4.9093,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KSHITIJPOL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-11-23,15.0,4.5933,SUCCESS,5.0,4.4,2020-11-24,2021-01-20,34.0,5.4,2021-01-20,4.8,2020-12-03,17.56,4.5,13.06,5.3,15.38,4.8,4.5
KSHITIJPOL,2021,20-March,2021-03-20,2021-04-06,2021-04-06,2021-06-24,15.0,4.7193,SUCCESS,5.0,3.97,2021-06-25,2021-07-20,9.0,5.0,2021-06-30,4.7,2021-07-08,5.95,-0.41,6.36,5.0,5.95,4.7,-0.41
KSHITIJPOL,2021,20-September,2021-09-20,2021-09-22,2021-09-22,2021-10-28,15.0,7.1833,SUCCESS,8.1,6.7,2021-10-29,2022-01-20,33.0,7.45,2021-12-31,5.56,2021-12-22,3.71,-22.6,26.31,7.45,3.71,5.75,-19.95
KSHITIJPOL,2022,20-March,2022-03-20,2022-03-25,2022-03-25,2022-05-20,15.0,6.084,SUCCESS,6.8,5.26,2022-05-21,2022-07-20,35.0,7.4,2022-07-07,5.08,2022-06-09,21.63,-16.5,38.13,7.4,21.63,5.19,-14.69
KSHITIJPOL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,25.698,SUCCESS,32.53,21.8,2022-10-12,2023-01-20,71.0,70.8,2022-11-03,23.4,2022-12-27,175.51,-8.94,184.45,70.8,175.51,24.6,-4.27
KSHITIJPOL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,18.8733,SUCCESS,23.4,16.05,2023-04-13,2023-07-20,66.0,21.5,2023-04-24,5.55,2023-07-11,13.92,-70.59,84.51,20.75,9.94,5.8,-69.27
KSHITIJPOL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,5.5967,SUCCESS,6.0,5.3,2023-10-12,2024-01-20,70.0,8.2,2023-11-07,5.3,2023-10-12,46.52,-5.3,51.82,8.05,43.84,5.35,-4.41
KSHITIJPOL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,5.09,SUCCESS,5.65,4.45,2024-04-13,2024-07-20,66.0,8.2,2024-07-08,4.95,2024-05-24,61.1,-2.75,63.85,8.0,57.17,5.0,-1.77
KSHITIJPOL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,6.2593,SUCCESS,6.85,5.5,2024-10-12,2025-01-20,68.0,7.6,2024-10-23,3.72,2025-01-14,21.42,-40.57,61.99,7.35,17.42,3.95,-36.89
KSHITIJPOL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,3.1013,SUCCESS,3.35,2.76,2025-04-12,2025-07-20,67.0,4.01,2025-04-23,2.92,2025-05-07,29.3,-5.85,35.15,3.87,24.79,3.12,0.6
KSHITIJPOL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,2.9853,SUCCESS,3.1,2.85,2025-10-14,2026-01-20,67.0,3.03,2025-10-15,1.88,2026-01-19,1.5,-37.03,38.52,2.97,-0.51,2.06,-31.0
KSHITIJPOL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,2.4207,SUCCESS,2.85,2.14,2026-04-16,2026-07-20,65.0,7.2,2026-06-11,2.43,2026-07-20,197.44,0.39,197.05,7.19,197.03,2.43,0.39
KSHITIJPOL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
