Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KSL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,54.2567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KSL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,54.2567,SUCCESS,62.0,41.3,2009-01-17,2009-01-20,2.0,47.8,2009-01-19,42.0,2009-01-19,-11.9,-22.59,10.69,47.8,-11.9,46.1,-15.03
KSL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,47.5467,SUCCESS,68.4,36.5,2009-04-16,2009-07-20,65.0,124.55,2009-06-04,57.0,2009-04-20,161.95,19.88,142.07,123.2,159.11,59.05,24.19
KSL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,126.2767,SUCCESS,134.45,118.7,2009-10-16,2010-01-20,65.0,245.0,2010-01-19,104.25,2009-11-03,94.02,-17.44,111.46,231.65,83.45,104.25,-17.44
KSL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,226.94,SUCCESS,269.0,208.5,2010-04-14,2010-07-20,50.0,286.8,2010-04-21,75.0,2010-06-08,26.38,-66.95,93.33,282.15,24.33,76.1,-66.47
KSL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,131.64,SUCCESS,140.4,124.3,2010-10-09,2011-01-20,72.0,137.9,2010-10-12,90.1,2010-12-10,4.76,-31.56,36.31,134.6,2.25,92.8,-29.5
KSL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,83.7067,SUCCESS,95.8,76.0,2011-04-09,2011-07-20,70.0,94.0,2011-05-09,69.9,2011-06-24,12.3,-16.49,28.79,90.45,8.06,70.05,-16.31
KSL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,50.9767,SUCCESS,56.8,47.1,2011-10-12,2012-01-20,70.0,55.45,2012-01-17,31.4,2011-12-20,8.78,-38.4,47.18,52.45,2.89,33.7,-33.89
KSL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,52.8567,SUCCESS,59.5,48.1,2012-04-12,2012-07-20,72.0,66.25,2012-04-20,45.15,2012-06-19,25.34,-14.58,39.92,63.5,20.14,46.6,-11.84
KSL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,56.5967,SUCCESS,64.4,52.4,2012-10-12,2013-01-20,67.0,63.7,2012-12-21,51.25,2012-11-22,12.55,-9.45,22.0,62.45,10.34,51.65,-8.74
KSL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,36.9967,SUCCESS,43.25,31.7,2013-04-12,2013-07-20,69.0,49.95,2013-04-23,33.05,2013-06-27,35.01,-10.67,45.68,48.15,30.15,34.15,-7.69
KSL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,45.1433,SUCCESS,48.6,42.45,2013-10-12,2014-01-20,68.0,59.8,2014-01-14,44.55,2013-10-15,32.47,-1.31,33.78,57.65,27.7,44.95,-0.43
KSL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,59.5267,SUCCESS,68.4,54.55,2014-04-10,2014-07-20,44.0,108.3,2014-06-11,58.0,2014-04-30,81.94,-2.56,84.5,104.3,75.22,59.7,0.29
KSL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,172.4933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KSL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,172.4933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KSL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,172.4933,SUCCESS,192.2,162.5,2016-01-16,2016-01-20,3.0,165.0,2016-01-18,138.55,2016-01-20,-4.34,-19.68,15.33,150.6,-12.69,143.15,-17.01
KSL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,165.03,SUCCESS,174.9,152.65,2016-04-13,2016-07-20,67.0,205.0,2016-06-16,155.0,2016-05-16,24.22,-6.08,30.3,200.15,21.28,156.4,-5.23
KSL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,331.9333,SUCCESS,353.5,291.0,2016-10-11,2017-01-20,71.0,354.75,2016-10-20,245.2,2016-11-21,6.87,-26.13,33.0,343.7,3.54,247.1,-25.56
