Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KTKBANK,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.6047,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KTKBANK,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.6047,SUCCESS,9.32,8.16,2002-01-16,2002-01-20,3.0,8.95,2002-01-18,8.68,2002-01-17,4.01,0.88,3.14,8.91,3.55,8.79,2.15
KTKBANK,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,18.648,SUCCESS,21.52,16.9,2002-04-12,2002-07-20,70.0,22.96,2002-06-21,12.47,2002-05-22,23.12,-33.13,56.25,21.22,13.79,12.9,-30.82
KTKBANK,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,19.7213,SUCCESS,21.27,18.46,2002-10-12,2003-01-20,67.0,22.76,2003-01-20,15.78,2002-11-14,15.41,-19.99,35.39,21.85,10.79,15.8,-19.88
KTKBANK,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,19.7813,SUCCESS,22.73,18.39,2003-04-09,2003-07-20,70.0,33.79,2003-06-05,19.46,2003-04-25,70.82,-1.62,72.44,32.15,62.53,19.58,-1.02
KTKBANK,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,28.6073,SUCCESS,30.35,26.97,2003-10-14,2004-01-20,71.0,51.65,2004-01-15,26.83,2003-11-15,80.55,-6.21,86.76,49.93,74.54,28.22,-1.35
KTKBANK,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,45.9013,SUCCESS,52.39,38.58,2004-04-13,2004-07-20,70.0,52.64,2004-04-30,28.58,2004-06-24,14.68,-37.74,52.42,48.4,5.44,29.17,-36.45
KTKBANK,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,31.6853,SUCCESS,33.78,29.99,2004-10-09,2005-01-20,71.0,86.72,2004-12-20,30.7,2004-10-25,173.69,-3.11,176.8,81.81,158.2,30.94,-2.35
KTKBANK,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,52.5593,SUCCESS,59.45,47.66,2005-04-12,2005-07-20,72.0,88.12,2005-07-11,44.88,2005-05-02,67.66,-14.61,82.27,85.44,62.56,45.24,-13.93
KTKBANK,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,83.3247,SUCCESS,90.33,77.48,2005-10-11,2006-01-20,70.0,92.47,2005-10-11,63.2,2005-10-28,10.98,-24.15,35.13,84.22,1.07,64.05,-23.13
KTKBANK,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,72.7153,SUCCESS,79.58,68.98,2006-04-11,2006-07-20,72.0,78.48,2006-05-04,53.2,2006-05-22,7.93,-26.84,34.77,76.98,5.86,55.52,-23.65
KTKBANK,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,83.2493,SUCCESS,90.19,78.19,2006-10-12,2007-01-20,69.0,118.54,2007-01-15,65.69,2006-11-10,42.39,-21.09,63.48,113.68,36.55,76.62,-7.96
KTKBANK,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,121.2533,SUCCESS,129.46,115.14,2007-04-12,2007-07-20,45.0,132.75,2007-05-18,115.68,2007-04-24,9.48,-4.6,14.08,129.89,7.12,116.82,-3.66
KTKBANK,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,54.604,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KTKBANK,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,54.604,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KTKBANK,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,54.604,SUCCESS,61.73,47.38,2009-01-17,2009-01-20,2.0,54.8,2009-01-19,50.84,2009-01-20,0.36,-6.89,7.25,53.38,-2.24,52.27,-4.27
KTKBANK,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,50.9347,SUCCESS,65.23,44.84,2009-04-16,2009-07-20,66.0,114.22,2009-05-25,57.27,2009-04-29,124.25,12.44,111.81,106.97,110.01,58.38,14.62
KTKBANK,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,97.9667,SUCCESS,104.72,91.76,2009-10-16,2010-01-20,65.0,128.46,2009-10-20,85.76,2009-11-27,31.13,-12.46,43.59,120.82,23.33,87.9,-10.28
KTKBANK,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,89.7893,SUCCESS,100.61,82.87,2010-04-14,2010-07-20,69.0,134.96,2010-06-24,91.9,2010-05-07,50.31,2.35,47.96,132.28,47.32,92.76,3.31
KTKBANK,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,127.666,SUCCESS,137.03,120.11,2010-10-09,2011-01-20,72.0,149.42,2010-11-10,100.9,2010-12-10,17.04,-20.97,38.01,146.78,14.97,102.97,-19.34
KTKBANK,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,79.1393,SUCCESS,87.96,70.9,2011-04-09,2011-07-20,70.0,96.47,2011-06-30,74.91,2011-05-17,21.9,-5.34,27.24,94.85,19.85,75.37,-4.76
KTKBANK,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,61.334,SUCCESS,70.25,56.66,2011-10-12,2012-01-20,70.0,66.36,2011-11-01,45.87,2011-12-29,8.19,-25.21,33.41,64.88,5.78,46.92,-23.5
KTKBANK,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,68.568,SUCCESS,72.13,65.13,2012-04-12,2012-07-20,72.0,77.54,2012-07-13,45.8,2012-05-15,13.08,-33.2,46.29,75.16,9.61,52.37,-23.62
KTKBANK,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,77.8027,SUCCESS,86.63,63.54,2012-10-12,2013-01-20,67.0,143.07,2012-12-11,71.41,2012-10-18,83.89,-8.22,92.1,141.12,81.38,86.16,10.74
KTKBANK,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,94.4007,SUCCESS,101.63,89.58,2013-04-12,2013-07-20,69.0,117.57,2013-05-13,73.64,2013-07-18,24.54,-21.99,46.54,115.41,22.26,75.3,-20.23
KTKBANK,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,64.0093,SUCCESS,69.1,59.29,2013-10-12,2014-01-20,68.0,84.61,2014-01-02,67.08,2013-10-29,32.18,4.8,27.39,81.83,27.84,68.13,6.44
KTKBANK,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,83.5427,SUCCESS,87.96,78.11,2014-04-10,2014-07-20,44.0,108.7,2014-05-26,83.34,2014-04-15,30.11,-0.24,30.36,107.0,28.08,84.21,0.8
KTKBANK,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,82.878,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KTKBANK,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,82.878,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KTKBANK,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,82.878,SUCCESS,90.3,67.87,2016-01-16,2016-01-20,3.0,72.85,2016-01-18,66.93,2016-01-18,-12.1,-19.24,7.14,71.62,-13.58,69.39,-16.27
KTKBANK,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,73.7433,SUCCESS,76.46,71.12,2016-04-13,2016-07-20,67.0,114.68,2016-07-15,75.59,2016-04-18,55.51,2.5,53.01,112.56,52.64,76.49,3.72
KTKBANK,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,109.532,SUCCESS,113.17,100.4,2016-10-11,2017-01-20,71.0,121.91,2016-10-24,91.0,2016-11-22,11.3,-16.92,28.22,116.64,6.49,92.23,-15.8
KTKBANK,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,128.248,SUCCESS,134.09,123.82,2017-04-11,2017-07-20,70.0,164.55,2017-06-02,132.86,2017-04-11,28.31,3.6,24.71,162.64,26.82,136.59,6.5
KTKBANK,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,134.1753,SUCCESS,149.45,126.5,2017-10-12,2018-01-20,70.0,156.0,2017-11-06,130.05,2017-12-18,16.27,-3.07,19.34,153.23,14.2,132.18,-1.49
KTKBANK,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,109.218,SUCCESS,115.86,99.95,2018-04-12,2018-07-20,71.0,115.73,2018-07-12,95.55,2018-06-28,5.96,-12.51,18.48,114.09,4.46,96.18,-11.94
KTKBANK,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,90.7773,SUCCESS,103.23,85.0,2018-10-13,2019-01-20,66.0,112.32,2019-01-18,84.23,2018-10-23,23.73,-7.21,30.94,111.0,22.28,85.5,-5.81
KTKBANK,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,120.3573,SUCCESS,128.41,112.27,2019-04-11,2019-07-20,67.0,125.68,2019-04-18,86.73,2019-07-19,4.42,-27.94,32.36,124.95,3.82,87.55,-27.26
KTKBANK,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,68.254,SUCCESS,75.41,64.0,2019-10-15,2020-01-20,67.0,73.36,2019-10-31,61.64,2019-10-17,7.48,-9.69,17.17,72.64,6.43,62.45,-8.5
KTKBANK,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,42.9633,SUCCESS,49.4,38.05,2020-04-16,2020-07-20,66.0,49.7,2020-07-13,34.2,2020-05-29,15.68,-20.4,36.08,47.25,9.98,34.65,-19.35
KTKBANK,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,41.0633,SUCCESS,43.3,39.5,2020-10-13,2021-01-20,69.0,71.3,2021-01-12,41.65,2020-11-04,73.63,1.43,72.21,67.45,64.26,42.0,2.28
KTKBANK,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,62.4733,SUCCESS,65.6,60.0,2021-04-14,2021-07-20,66.0,73.8,2021-05-24,58.1,2021-04-20,18.13,-7.0,25.13,71.95,15.17,58.85,-5.8
KTKBANK,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,68.64,SUCCESS,71.9,64.5,2021-10-09,2022-01-20,71.0,81.85,2021-11-11,59.65,2021-12-20,19.25,-13.1,32.34,78.35,14.15,60.7,-11.57
KTKBANK,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,58.6933,SUCCESS,63.4,55.2,2022-04-09,2022-07-20,70.0,72.2,2022-07-20,57.7,2022-05-26,23.01,-1.69,24.7,70.5,20.12,59.55,1.46
KTKBANK,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,82.51,SUCCESS,91.35,76.25,2022-10-12,2023-01-20,71.0,168.5,2022-12-14,81.3,2022-10-13,104.22,-1.47,105.68,164.1,98.88,82.35,-0.19
KTKBANK,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,131.9433,SUCCESS,140.05,124.5,2023-04-13,2023-07-20,68.0,215.2,2023-07-19,127.0,2023-04-24,63.1,-3.75,66.85,211.95,60.64,128.0,-2.99
KTKBANK,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,245.2767,SUCCESS,257.7,233.55,2023-10-12,2024-01-20,70.0,286.55,2024-01-20,210.6,2023-11-07,16.83,-14.14,30.97,281.95,14.95,210.75,-14.08
KTKBANK,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,232.53,SUCCESS,240.95,224.0,2024-04-13,2024-07-20,66.0,239.0,2024-06-20,192.0,2024-06-04,2.78,-17.43,20.21,233.82,0.55,201.55,-13.32
KTKBANK,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,232.21,SUCCESS,243.2,219.67,2024-10-12,2025-01-20,68.0,231.99,2024-10-16,186.8,2025-01-15,-0.09,-19.56,19.46,230.45,-0.76,187.54,-19.24
KTKBANK,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,180.9387,SUCCESS,191.3,167.55,2025-04-12,2025-07-20,67.0,212.79,2025-06-11,181.89,2025-04-15,17.6,0.53,17.08,209.92,16.02,182.54,0.89
KTKBANK,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,173.092,SUCCESS,176.52,170.0,2025-10-14,2026-01-20,67.0,220.4,2025-11-27,170.26,2025-10-14,27.33,-1.64,28.97,215.59,24.55,171.08,-1.16
KTKBANK,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,231.3713,SUCCESS,251.0,212.5,2026-04-16,2026-07-20,65.0,282.95,2026-06-15,238.7,2026-05-18,22.29,3.17,19.13,279.05,20.61,242.04,4.61
KTKBANK,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
