Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
KUANTUM,2019,20-March,2019-03-20,2019-10-23,2019-10-23,2019-11-13,15.0,45.984,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
KUANTUM,2019,20-September,2019-09-20,2019-10-23,2019-10-23,2019-11-13,15.0,45.984,SUCCESS,50.0,40.01,2019-11-14,2020-01-20,47.0,54.0,2020-01-17,41.0,2019-11-15,17.43,-10.84,28.27,53.5,16.34,43.1,-6.27
KUANTUM,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,30.8813,SUCCESS,44.0,24.1,2020-04-16,2020-07-20,66.0,87.9,2020-07-16,33.43,2020-05-28,184.64,8.25,176.38,82.15,166.02,33.8,9.45
KUANTUM,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,41.28,SUCCESS,44.95,38.5,2020-10-13,2021-01-20,69.0,61.95,2020-12-10,38.0,2020-10-14,50.07,-7.95,58.02,59.4,43.9,39.6,-4.07
KUANTUM,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,66.37,SUCCESS,74.8,61.65,2021-04-14,2021-07-20,66.0,86.8,2021-07-07,59.15,2021-04-19,30.78,-10.88,41.66,83.55,25.89,60.25,-9.22
KUANTUM,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,78.8633,SUCCESS,94.5,72.0,2021-10-09,2022-01-20,71.0,96.5,2021-12-08,74.1,2021-10-25,22.36,-6.04,28.4,91.55,16.09,75.45,-4.33
KUANTUM,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,85.25,SUCCESS,97.5,79.5,2022-04-09,2022-07-20,70.0,96.95,2022-04-19,63.25,2022-06-20,13.72,-25.81,39.53,92.65,8.68,64.1,-24.81
KUANTUM,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,122.38,SUCCESS,153.85,98.6,2022-10-12,2023-01-20,71.0,176.45,2022-10-28,128.05,2022-12-23,44.18,4.63,39.55,170.65,39.44,131.5,7.45
KUANTUM,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,126.47,SUCCESS,143.65,114.2,2023-04-13,2023-07-20,68.0,214.65,2023-07-06,136.1,2023-04-21,69.72,7.61,62.11,202.5,60.12,137.55,8.76
KUANTUM,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,180.22,SUCCESS,198.0,173.2,2023-10-12,2024-01-20,70.0,199.95,2023-10-17,162.15,2023-11-24,10.95,-10.03,20.97,197.35,9.51,163.9,-9.06
KUANTUM,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,157.68,SUCCESS,166.0,145.1,2024-04-13,2024-07-20,66.0,184.4,2024-04-30,126.4,2024-06-04,16.95,-19.84,36.78,177.55,12.6,137.1,-13.05
KUANTUM,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,138.1313,SUCCESS,145.86,131.5,2024-10-12,2025-01-20,68.0,149.8,2024-10-14,112.8,2024-12-02,8.45,-18.34,26.79,145.68,5.46,116.04,-15.99
KUANTUM,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,105.4547,SUCCESS,119.98,95.23,2025-04-12,2025-07-20,67.0,134.8,2025-07-18,100.1,2025-05-09,27.83,-5.08,32.91,130.74,23.98,101.39,-3.85
KUANTUM,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,109.5667,SUCCESS,121.29,106.99,2025-10-14,2026-01-20,67.0,111.3,2025-10-28,85.5,2026-01-20,1.58,-21.97,23.55,109.4,-0.15,86.64,-20.92
KUANTUM,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,74.8247,SUCCESS,86.58,65.01,2026-04-16,2026-07-20,65.0,86.78,2026-04-16,72.52,2026-06-11,15.98,-3.08,19.06,84.85,13.4,73.23,-2.13
KUANTUM,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
