Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LAKPRE,2006,20-March,2006-03-20,2006-09-26,2006-09-26,2006-10-17,15.0,64.7133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LAKPRE,2006,20-September,2006-09-20,2006-09-26,2006-09-26,2006-10-17,15.0,64.7133,SUCCESS,74.8,52.0,2006-10-18,2007-01-20,65.0,160.25,2006-12-06,65.3,2006-10-19,147.63,0.91,146.72,145.65,125.07,66.55,2.84
LAKPRE,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,74.2167,SUCCESS,81.1,66.5,2007-04-12,2007-07-20,45.0,93.9,2007-06-11,70.0,2007-04-19,26.52,-5.68,32.2,90.6,22.08,70.3,-5.28
LAKPRE,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.49,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LAKPRE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.49,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LAKPRE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.49,SUCCESS,25.0,17.0,2009-01-17,2009-01-20,1.0,19.05,2009-01-20,18.6,2009-01-20,-11.35,-13.45,2.09,19.05,-11.35,19.05,-11.35
LAKPRE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-16,15.0,19.96,SUCCESS,24.95,18.05,2009-04-17,2009-07-20,63.0,47.9,2009-06-05,23.0,2009-04-17,139.98,15.23,124.75,44.05,120.69,25.3,26.75
LAKPRE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,36.6267,SUCCESS,41.05,31.8,2009-10-16,2010-01-20,65.0,62.0,2010-01-12,31.0,2009-10-29,69.28,-15.36,84.64,56.4,53.99,32.6,-10.99
LAKPRE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-15,15.0,42.9133,SUCCESS,52.95,36.0,2010-04-16,2010-07-20,68.0,69.9,2010-07-20,36.7,2010-04-21,62.89,-14.48,77.37,62.2,44.94,42.0,-2.13
LAKPRE,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,76.8167,SUCCESS,82.4,72.9,2010-10-09,2011-01-20,71.0,83.0,2010-10-28,55.1,2011-01-20,8.05,-28.27,36.32,81.65,6.29,56.1,-26.97
LAKPRE,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,49.61,SUCCESS,55.0,41.4,2011-04-09,2011-07-20,68.0,57.7,2011-07-12,40.4,2011-06-24,16.31,-18.56,34.87,54.7,10.26,43.55,-12.22
LAKPRE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,40.1867,SUCCESS,43.95,37.05,2011-10-12,2012-01-20,70.0,43.3,2011-11-04,27.15,2011-12-28,7.75,-32.44,40.19,42.45,5.63,33.15,-17.51
LAKPRE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,40.4233,SUCCESS,43.45,35.0,2012-04-12,2012-07-20,71.0,45.0,2012-06-22,34.0,2012-05-23,11.32,-15.89,27.21,42.7,5.63,36.9,-8.72
LAKPRE,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-12,15.0,38.62,SUCCESS,42.0,37.05,2012-10-13,2013-01-20,65.0,40.0,2012-10-29,36.15,2012-12-26,3.57,-6.4,9.97,39.85,3.18,36.7,-4.97
LAKPRE,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-07-15,15.0,27.13,SUCCESS,30.95,23.8,2013-07-16,2013-07-20,2.0,25.65,2013-07-17,24.5,2013-07-18,-5.46,-9.69,4.24,25.65,-5.46,24.5,-9.69
LAKPRE,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-23,15.0,39.24,SUCCESS,42.75,36.55,2013-10-24,2014-01-20,22.0,46.5,2013-12-13,36.0,2014-01-17,18.5,-8.26,26.76,46.5,18.5,36.0,-8.26
LAKPRE,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-11,15.0,38.0767,SUCCESS,43.25,31.35,2014-04-12,2014-07-20,40.0,46.95,2014-05-23,35.05,2014-05-08,23.3,-7.95,31.25,43.4,13.98,36.3,-4.67
LAKPRE,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,53.5967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LAKPRE,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,53.5967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LAKPRE,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,53.5967,SUCCESS,61.4,44.35,2016-01-16,2016-01-20,3.0,44.8,2016-01-18,40.0,2016-01-20,-16.41,-25.37,8.96,42.25,-21.17,40.2,-25.0
LAKPRE,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,33.1967,SUCCESS,37.85,30.1,2016-04-13,2016-07-20,66.0,45.0,2016-05-20,33.6,2016-07-18,35.56,1.21,34.34,42.4,27.72,35.05,5.58
LAKPRE,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,38.81,SUCCESS,43.95,35.0,2016-10-11,2017-01-20,69.0,50.9,2016-11-02,34.15,2016-11-22,31.15,-12.01,43.16,48.0,23.68,35.75,-7.88
LAKPRE,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,39.22,SUCCESS,45.65,35.5,2017-04-11,2017-07-20,70.0,49.45,2017-04-26,37.25,2017-06-01,26.08,-5.02,31.11,45.75,16.65,38.7,-1.33
LAKPRE,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,38.33,SUCCESS,40.35,36.15,2017-10-12,2018-01-20,70.0,62.0,2018-01-09,37.0,2017-11-08,61.75,-3.47,65.22,57.95,51.19,37.45,-2.3
LAKPRE,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,40.2867,SUCCESS,44.8,37.0,2018-04-12,2018-07-20,70.0,44.1,2018-04-24,15.1,2018-07-19,9.47,-62.52,71.98,42.8,6.24,15.65,-61.15
LAKPRE,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,11.3333,SUCCESS,13.75,8.65,2018-10-13,2019-01-20,59.0,13.75,2018-11-12,8.25,2018-10-15,21.32,-27.21,48.53,13.6,20.0,9.05,-20.15
LAKPRE,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,14.91,SUCCESS,18.25,11.85,2019-04-11,2019-07-20,47.0,15.0,2019-04-11,5.6,2019-07-19,0.6,-62.44,63.04,15.0,0.6,5.6,-62.44
LAKPRE,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-11-01,15.0,3.61,SUCCESS,4.55,2.75,2019-11-02,2020-01-20,25.0,3.15,2019-12-09,2.4,2020-01-03,-12.74,-33.52,20.78,3.15,-12.74,2.4,-33.52
LAKPRE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-05-15,15.0,1.2567,SUCCESS,1.45,1.1,2020-05-16,2020-07-20,14.0,2.3,2020-07-15,1.5,2020-05-21,83.02,19.36,63.66,2.3,83.02,1.5,19.36
LAKPRE,2020,20-September,2020-09-20,2020-09-23,2020-09-23,2020-10-20,15.0,4.1267,SUCCESS,4.7,3.45,2020-10-21,2021-01-20,56.0,7.55,2021-01-13,2.75,2020-11-26,82.96,-33.36,116.32,7.2,74.47,2.85,-30.94
LAKPRE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-19,15.0,3.9833,SUCCESS,4.65,3.65,2021-04-20,2021-07-20,53.0,6.0,2021-06-17,3.9,2021-04-29,50.63,-2.09,52.72,6.0,50.63,3.9,-2.09
LAKPRE,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,4.5767,SUCCESS,4.95,4.15,2021-10-09,2022-01-20,70.0,10.05,2022-01-20,4.2,2021-10-22,119.59,-8.23,127.82,9.6,109.76,4.4,-3.86
LAKPRE,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,6.1467,SUCCESS,6.7,5.6,2022-04-09,2022-07-20,67.0,7.45,2022-04-26,5.05,2022-07-04,21.2,-17.84,39.05,7.15,16.32,5.3,-13.77
LAKPRE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,6.18,SUCCESS,6.85,5.55,2022-10-12,2023-01-20,67.0,6.7,2022-11-09,5.0,2023-01-11,8.41,-19.09,27.51,6.45,4.37,5.1,-17.48
LAKPRE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,4.0633,SUCCESS,4.65,3.55,2023-04-13,2023-07-20,62.0,5.25,2023-05-08,4.0,2023-06-14,29.2,-1.56,30.76,5.05,24.28,4.15,2.13
LAKPRE,2023,20-September,2023-09-20,2023-10-23,2023-10-23,2023-12-05,15.0,5.0567,SUCCESS,6.3,4.5,2023-12-06,2024-01-20,18.0,6.9,2024-01-08,4.5,2023-12-07,36.45,-11.01,47.46,6.85,35.46,4.7,-7.05
LAKPRE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-25,15.0,4.25,SUCCESS,4.9,3.7,2024-04-26,2024-07-20,34.0,6.06,2024-07-02,4.15,2024-05-18,42.59,-2.35,44.94,6.06,42.59,4.25,0.0
LAKPRE,2024,20-September,2024-09-20,2024-09-23,2024-09-23,2024-11-27,15.0,6.0567,SUCCESS,7.04,5.17,2024-11-28,2025-01-20,12.0,6.7,2024-12-06,5.08,2024-11-28,10.62,-16.13,26.75,6.7,10.62,5.09,-15.96
LAKPRE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-16,15.0,4.2553,SUCCESS,4.78,3.88,2025-04-17,2025-07-20,59.0,5.57,2025-05-08,3.94,2025-04-21,30.89,-7.41,38.3,5.32,25.02,3.94,-7.41
LAKPRE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-20,15.0,5.3793,SUCCESS,5.88,4.8,2025-10-21,2026-01-20,56.0,5.95,2025-11-13,4.66,2026-01-09,10.61,-13.37,23.98,5.74,6.7,4.78,-11.14
LAKPRE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,5.0493,SUCCESS,5.84,4.52,2026-04-16,2026-07-20,62.0,6.67,2026-05-14,4.38,2026-06-22,32.1,-13.26,45.35,6.67,32.1,4.51,-10.68
LAKPRE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
