Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LICHSGFIN,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.7293,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LICHSGFIN,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.7293,SUCCESS,9.05,8.2,2002-01-16,2002-01-20,3.0,9.84,2002-01-18,8.8,2002-01-16,12.72,0.81,11.91,9.56,9.52,8.84,1.27
LICHSGFIN,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,14.794,SUCCESS,15.6,14.0,2002-04-12,2002-07-20,70.0,17.67,2002-06-21,12.03,2002-05-21,19.44,-18.68,38.12,17.49,18.22,12.28,-16.99
LICHSGFIN,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,14.6267,SUCCESS,15.2,14.11,2002-10-12,2003-01-20,67.0,14.5,2002-10-16,11.36,2002-11-18,-0.87,-22.33,21.47,14.45,-1.21,11.46,-21.65
LICHSGFIN,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,13.6167,SUCCESS,14.76,13.12,2003-04-09,2003-07-20,70.0,33.74,2003-07-17,14.02,2003-04-15,147.78,2.96,144.82,30.32,122.67,14.25,4.65
LICHSGFIN,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,28.514,SUCCESS,35.39,23.61,2003-10-14,2004-01-20,71.0,49.74,2004-01-13,31.0,2003-10-20,74.44,8.72,65.72,47.93,68.09,32.14,12.72
LICHSGFIN,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,37.41,SUCCESS,41.08,30.42,2004-04-13,2004-07-20,70.0,41.0,2004-04-16,23.4,2004-05-17,9.6,-37.45,47.05,40.66,8.69,25.74,-31.19
LICHSGFIN,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,29.774,SUCCESS,31.98,29.23,2004-10-09,2005-01-20,71.0,43.2,2005-01-04,27.0,2004-10-20,45.09,-9.32,54.41,42.05,41.23,27.08,-9.05
LICHSGFIN,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,47.1967,SUCCESS,50.2,44.47,2005-04-12,2005-07-20,72.0,56.5,2005-04-26,39.17,2005-06-28,19.71,-17.01,36.72,55.88,18.4,39.6,-16.1
LICHSGFIN,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,40.7107,SUCCESS,44.0,38.06,2005-10-11,2006-01-20,70.0,43.97,2005-10-27,36.4,2005-10-21,8.01,-10.59,18.59,42.18,3.61,37.08,-8.92
