Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LODHA,2021,20-March,2021-03-20,2021-04-19,2021-04-19,2021-05-10,15.0,291.5607,SUCCESS,379.05,211.3,2021-05-11,2021-07-20,49.0,436.25,2021-07-16,305.0,2021-05-27,49.63,4.61,45.02,426.3,46.21,307.48,5.46
LODHA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,534.7473,SUCCESS,591.08,468.08,2021-10-09,2022-01-20,71.0,769.5,2021-12-01,475.0,2021-10-25,43.9,-11.17,55.07,745.2,39.36,483.53,-9.58
LODHA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,562.1287,SUCCESS,610.95,527.18,2022-04-09,2022-07-20,70.0,589.95,2022-04-11,407.1,2022-05-26,4.95,-27.58,32.53,580.9,3.34,425.65,-24.28
LODHA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,498.8513,SUCCESS,543.65,454.0,2022-10-12,2023-01-20,71.0,571.0,2023-01-20,461.5,2022-11-07,14.46,-7.49,21.95,560.98,12.45,464.73,-6.84
LODHA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,437.7013,SUCCESS,486.88,388.5,2023-04-13,2023-07-20,68.0,740.0,2023-07-06,440.05,2023-04-25,69.07,0.54,68.53,725.0,65.64,446.88,2.1
LODHA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,778.29,SUCCESS,829.4,715.9,2023-10-12,2024-01-20,70.0,1225.95,2024-01-15,701.7,2023-10-26,57.52,-9.84,67.36,1215.7,56.2,726.25,-6.69
LODHA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1160.34,SUCCESS,1253.95,1077.3,2024-04-13,2024-07-20,66.0,1649.95,2024-06-18,1088.0,2024-05-13,42.2,-6.23,48.43,1594.8,37.44,1112.45,-4.13
LODHA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1267.3167,SUCCESS,1440.0,1123.0,2024-10-12,2025-01-20,68.0,1523.0,2024-12-17,1043.05,2024-10-28,20.18,-17.7,37.87,1490.75,17.63,1065.05,-15.96
LODHA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1178.86,SUCCESS,1255.0,1076.0,2025-04-12,2025-07-20,67.0,1531.0,2025-06-09,1145.0,2025-04-15,29.87,-2.87,32.74,1516.0,28.6,1214.0,2.98
LODHA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1150.6133,SUCCESS,1229.0,1098.8,2025-10-14,2026-01-20,67.0,1244.0,2025-11-04,971.8,2026-01-20,8.12,-15.54,23.66,1235.1,7.34,979.3,-14.89
LODHA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,749.8467,SUCCESS,863.1,650.8,2026-04-16,2026-07-20,65.0,1225.2,2026-07-10,830.2,2026-05-18,63.39,10.72,52.68,1220.75,62.8,840.7,12.12
LODHA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
