Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LPDC,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,4.5233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LPDC,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,4.5233,SUCCESS,5.3,3.7,2009-01-17,2009-01-20,2.0,4.1,2009-01-19,3.85,2009-01-19,-9.36,-14.89,5.53,3.95,-12.68,3.95,-12.68
LPDC,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,4.0467,SUCCESS,5.8,3.4,2009-04-16,2009-07-20,65.0,10.8,2009-06-08,4.7,2009-05-19,166.89,16.14,150.74,10.25,153.29,4.85,19.85
LPDC,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,6.1467,SUCCESS,6.75,5.65,2009-10-16,2010-01-20,65.0,8.1,2009-12-07,4.1,2009-11-23,31.78,-33.3,65.08,7.5,22.02,4.7,-23.54
LPDC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,4.6633,SUCCESS,4.95,4.15,2010-04-14,2010-07-20,69.0,7.45,2010-07-19,3.75,2010-06-07,59.76,-19.59,79.34,7.1,52.25,3.85,-17.44
LPDC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,4.7167,SUCCESS,5.0,4.45,2010-10-09,2011-01-20,71.0,5.0,2010-10-11,3.4,2011-01-17,6.01,-27.92,33.92,4.85,2.83,3.5,-25.8
LPDC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,3.2233,SUCCESS,4.4,2.65,2011-04-09,2011-07-20,69.0,4.7,2011-04-15,2.6,2011-06-30,45.81,-19.34,65.15,4.5,39.61,2.7,-16.24
LPDC,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,2.79,SUCCESS,3.3,2.5,2011-10-12,2012-01-20,70.0,2.95,2011-10-12,1.7,2011-11-24,5.73,-39.07,44.8,2.95,5.73,1.75,-37.28
LPDC,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,1.9167,SUCCESS,2.1,1.75,2012-04-12,2012-07-20,71.0,2.15,2012-05-02,1.4,2012-06-26,12.17,-26.96,39.13,2.0,4.35,1.7,-11.3
LPDC,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,2.54,SUCCESS,3.7,1.85,2012-10-12,2013-01-20,64.0,3.45,2012-10-12,1.9,2012-11-27,35.83,-25.2,61.02,3.4,33.86,2.0,-21.26
LPDC,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-15,15.0,2.3767,SUCCESS,2.6,2.15,2013-04-16,2013-07-20,62.0,2.6,2013-05-03,2.0,2013-05-13,9.4,-15.85,25.25,2.55,7.29,2.0,-15.85
LPDC,2013,20-September,2013-09-20,2013-09-30,2013-09-30,2013-11-13,15.0,2.14,SUCCESS,2.4,2.0,2013-11-14,2014-01-20,23.0,2.15,2013-11-14,1.65,2013-12-26,0.47,-22.9,23.36,2.15,0.47,1.65,-22.9
LPDC,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,1.9833,SUCCESS,2.3,1.7,2014-04-10,2014-07-20,44.0,3.65,2014-06-04,1.9,2014-04-10,84.03,-4.2,88.24,3.55,78.99,1.95,-1.68
LPDC,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,4.59,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LPDC,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,4.59,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LPDC,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,4.59,SUCCESS,5.65,3.75,2016-01-16,2016-01-20,3.0,4.3,2016-01-18,3.4,2016-01-19,-6.32,-25.93,19.61,4.1,-10.68,3.9,-15.03
LPDC,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,3.62,SUCCESS,4.3,3.3,2016-04-13,2016-07-20,67.0,5.2,2016-06-21,2.8,2016-06-14,43.65,-22.65,66.3,4.9,35.36,3.3,-8.84
LPDC,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,3.78,SUCCESS,4.0,3.6,2016-10-11,2017-01-20,71.0,4.8,2016-11-08,3.0,2016-10-13,26.98,-20.63,47.62,4.2,11.11,3.4,-10.05
LPDC,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,3.47,SUCCESS,3.9,3.25,2017-04-11,2017-07-20,70.0,4.6,2017-04-24,3.0,2017-06-28,32.56,-13.54,46.11,3.95,13.83,3.15,-9.22
LPDC,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,3.2167,SUCCESS,3.95,2.6,2017-10-12,2018-01-20,70.0,6.45,2017-11-09,3.15,2017-10-12,100.52,-2.07,102.59,5.9,83.42,3.25,1.04
LPDC,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,3.9567,SUCCESS,4.75,3.65,2018-04-12,2018-07-20,71.0,4.1,2018-04-12,2.4,2018-07-16,3.62,-39.34,42.97,3.95,-0.17,2.45,-38.08
LPDC,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,4.0233,SUCCESS,4.55,3.7,2018-10-13,2019-01-20,66.0,5.0,2019-01-09,3.6,2018-10-22,24.28,-10.52,34.8,4.65,15.58,3.6,-10.52
LPDC,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,3.7633,SUCCESS,4.55,3.3,2019-04-11,2019-07-20,67.0,7.15,2019-04-25,2.3,2019-07-12,89.99,-38.88,128.88,6.5,72.72,2.35,-37.56
LPDC,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,1.7233,SUCCESS,1.9,1.45,2019-10-15,2020-01-20,66.0,1.9,2019-10-30,1.3,2019-10-18,10.25,-24.56,34.82,1.85,7.35,1.4,-18.76
LPDC,2020,20-March,2020-03-20,2020-03-24,2020-03-24,2020-04-17,15.0,0.8533,SUCCESS,0.95,0.75,2020-04-18,2020-07-20,63.0,1.65,2020-07-03,0.85,2020-04-20,93.36,-0.39,93.75,1.65,93.36,0.95,11.33
LPDC,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,1.9367,SUCCESS,2.65,1.55,2020-10-13,2021-01-20,69.0,2.6,2021-01-20,1.25,2020-11-25,34.25,-35.46,69.71,2.6,34.25,1.25,-35.46
LPDC,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,1.9467,SUCCESS,2.1,1.85,2021-04-14,2021-07-20,66.0,8.3,2021-07-08,1.85,2021-04-15,326.37,-4.97,331.34,7.95,308.39,1.9,-2.4
LPDC,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,4.6933,SUCCESS,5.2,4.2,2021-10-09,2022-01-20,71.0,17.9,2022-01-13,4.05,2021-10-29,281.39,-13.71,295.1,17.05,263.28,4.1,-12.64
LPDC,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,7.9533,SUCCESS,9.3,6.8,2022-04-09,2022-07-20,70.0,9.1,2022-04-13,5.3,2022-06-24,14.42,-33.36,47.78,9.0,13.16,5.45,-31.48
LPDC,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,6.3933,SUCCESS,7.3,6.0,2022-10-12,2023-01-20,71.0,8.8,2023-01-02,5.15,2022-11-21,37.64,-19.45,57.09,8.4,31.39,5.35,-16.32
