Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LTF,2011,20-March,2011-03-20,2011-08-12,2011-08-12,2011-09-06,15.0,44.9287,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LTF,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,45.3167,SUCCESS,47.4,43.59,2011-10-12,2012-01-20,70.0,48.79,2011-10-21,39.13,2011-12-20,7.66,-13.65,21.32,48.51,7.05,39.5,-12.84
LTF,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,44.2727,SUCCESS,48.28,42.1,2012-04-12,2012-07-20,72.0,45.54,2012-07-18,37.55,2012-05-16,2.86,-15.18,18.05,43.5,-1.75,38.06,-14.03
LTF,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,45.884,SUCCESS,49.82,42.33,2012-10-12,2013-01-20,67.0,90.24,2012-12-19,47.77,2012-10-12,96.67,4.11,92.56,87.69,91.11,48.14,4.92
LTF,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,68.4567,SUCCESS,72.91,65.34,2013-04-12,2013-07-20,69.0,80.02,2013-05-16,65.99,2013-04-12,16.89,-3.6,20.49,77.79,13.63,66.45,-2.93
LTF,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,64.2913,SUCCESS,73.98,59.48,2013-10-12,2014-01-20,68.0,78.21,2013-11-01,62.83,2013-12-20,21.65,-2.27,23.92,77.19,20.06,63.15,-1.78
LTF,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,66.996,SUCCESS,73.14,61.2,2014-04-10,2014-07-20,44.0,77.28,2014-06-10,57.9,2014-05-05,15.35,-13.58,28.93,76.12,13.62,57.99,-13.44
LTF,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,59.488,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LTF,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,59.488,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LTF,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,59.488,SUCCESS,62.6,54.42,2016-01-16,2016-01-20,3.0,55.11,2016-01-18,51.16,2016-01-20,-7.36,-14.0,6.64,54.14,-8.99,52.05,-12.5
LTF,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,62.0447,SUCCESS,69.01,52.79,2016-04-13,2016-07-20,67.0,75.89,2016-07-01,63.39,2016-04-26,22.32,2.17,20.15,74.58,20.2,64.22,3.51
LTF,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,86.0747,SUCCESS,90.66,78.49,2016-10-11,2017-01-20,71.0,101.44,2016-11-01,75.23,2016-12-27,17.85,-12.6,30.45,100.19,16.4,75.98,-11.73
LTF,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,113.7307,SUCCESS,116.64,106.14,2017-04-11,2017-07-20,70.0,144.01,2017-07-20,110.92,2017-05-23,26.62,-2.47,29.1,142.01,24.87,112.97,-0.67
LTF,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,183.5947,SUCCESS,197.87,171.71,2017-10-12,2018-01-20,70.0,198.75,2017-10-24,148.52,2017-12-14,8.25,-19.1,27.36,196.57,7.07,151.91,-17.26
LTF,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,150.5453,SUCCESS,161.16,140.43,2018-04-12,2018-07-20,71.0,171.1,2018-05-08,130.63,2018-07-16,13.65,-13.23,26.88,169.75,12.76,131.7,-12.52
LTF,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,119.6967,SUCCESS,140.62,106.6,2018-10-13,2019-01-20,66.0,148.01,2018-12-21,102.84,2018-10-25,23.65,-14.08,37.74,146.24,22.18,108.93,-8.99
LTF,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,138.7493,SUCCESS,144.89,132.3,2019-04-11,2019-07-20,67.0,141.41,2019-04-16,98.8,2019-06-20,1.92,-28.79,30.71,140.2,1.05,102.05,-26.45
LTF,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,81.5707,SUCCESS,97.08,73.05,2019-10-15,2020-01-20,67.0,120.03,2020-01-17,75.0,2019-10-17,47.15,-8.06,55.2,118.27,44.99,76.95,-5.66
LTF,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,49.2707,SUCCESS,57.99,42.66,2020-04-16,2020-07-20,66.0,69.47,2020-07-08,47.21,2020-05-27,41.0,-4.18,45.18,66.27,34.5,47.49,-3.61
LTF,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,57.122,SUCCESS,60.88,51.67,2020-10-13,2021-01-20,70.0,101.12,2021-01-19,55.72,2020-10-14,77.02,-2.45,79.48,99.54,74.26,56.41,-1.25
LTF,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,96.42,SUCCESS,102.5,86.0,2021-04-14,2021-07-20,66.0,101.1,2021-06-15,84.35,2021-05-04,4.85,-12.52,17.37,99.05,2.73,84.6,-12.26
LTF,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,88.41,SUCCESS,92.35,81.25,2021-10-09,2022-01-20,71.0,95.95,2021-10-18,71.5,2021-12-20,8.53,-19.13,27.66,94.35,6.72,73.4,-16.98
LTF,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,82.54,SUCCESS,90.1,69.9,2022-04-09,2022-07-20,70.0,92.2,2022-04-22,65.95,2022-06-20,11.7,-20.1,31.8,89.4,8.31,67.35,-18.4
LTF,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,76.0567,SUCCESS,83.15,72.0,2022-10-12,2023-01-20,71.0,98.3,2023-01-16,75.1,2022-10-12,29.25,-1.26,30.5,95.85,26.02,76.25,0.25
LTF,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,84.1267,SUCCESS,88.3,78.95,2023-04-13,2023-07-20,68.0,140.15,2023-07-03,86.3,2023-04-13,66.59,2.58,64.01,137.0,62.85,87.35,3.83
LTF,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,129.1833,SUCCESS,138.45,122.25,2023-10-12,2024-01-20,70.0,174.95,2024-01-05,126.6,2023-10-26,35.43,-2.0,37.43,171.6,32.83,131.4,1.72
LTF,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,163.1567,SUCCESS,175.0,144.75,2024-04-13,2024-07-20,66.0,194.25,2024-07-02,144.6,2024-06-04,19.06,-11.37,30.43,190.1,16.51,149.35,-8.46
