Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LUMAXIND,2001,20-March,2001-03-20,2001-12-27,2001-12-27,2002-01-17,15.0,21.1167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUMAXIND,2001,20-September,2001-09-20,2001-12-27,2001-12-27,2002-01-17,15.0,21.1167,SUCCESS,24.3,19.0,2002-01-18,2002-01-20,1.0,23.45,2002-01-18,22.5,2002-01-18,11.05,6.55,4.5,22.6,7.02,22.6,7.02
LUMAXIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-12,15.0,25.92,SUCCESS,34.1,22.35,2002-04-13,2002-07-20,69.0,46.95,2002-07-09,27.55,2002-05-22,81.13,6.29,74.85,45.7,76.31,30.3,16.9
LUMAXIND,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,29.6833,SUCCESS,34.0,27.0,2002-10-12,2003-01-20,67.0,35.8,2002-11-22,28.2,2003-01-06,20.61,-5.0,25.6,35.0,17.91,29.0,-2.3
LUMAXIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,26.0967,SUCCESS,27.35,24.0,2003-04-10,2003-07-20,68.0,50.55,2003-06-18,23.3,2003-04-10,93.7,-10.72,104.42,46.75,79.14,25.2,-3.44
LUMAXIND,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,42.4633,SUCCESS,47.2,39.35,2003-10-14,2004-01-20,71.0,105.0,2003-12-11,39.55,2003-10-25,147.27,-6.86,154.13,92.55,117.95,40.2,-5.33
LUMAXIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,56.81,SUCCESS,65.5,43.0,2004-04-13,2004-07-20,70.0,72.9,2004-05-24,47.1,2004-05-17,28.32,-17.09,45.41,70.6,24.27,51.55,-9.26
LUMAXIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,79.7233,SUCCESS,84.9,76.25,2004-10-09,2005-01-20,71.0,160.0,2004-12-29,74.0,2004-10-26,100.69,-7.18,107.87,145.85,82.95,75.1,-5.8
LUMAXIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,122.13,SUCCESS,132.4,111.1,2005-04-12,2005-07-20,72.0,181.5,2005-05-24,115.1,2005-04-18,48.61,-5.76,54.37,176.5,44.52,120.35,-1.46
LUMAXIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,144.8067,SUCCESS,163.0,130.0,2005-10-11,2006-01-20,70.0,141.25,2005-10-11,94.1,2005-11-02,-2.46,-35.02,32.56,139.35,-3.77,95.0,-34.4
LUMAXIND,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,129.6333,SUCCESS,140.5,122.1,2006-04-11,2006-07-20,72.0,164.9,2006-07-14,100.0,2006-06-08,27.2,-22.86,50.06,161.75,24.78,111.05,-14.34
LUMAXIND,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,234.81,SUCCESS,281.6,207.0,2006-10-12,2007-01-20,69.0,584.0,2007-01-12,288.0,2006-10-12,148.71,22.65,126.06,572.9,143.98,295.7,25.93
LUMAXIND,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,510.0867,SUCCESS,580.0,455.1,2007-04-12,2007-07-20,45.0,494.0,2007-05-15,411.05,2007-05-11,-3.15,-19.42,16.26,469.55,-7.95,423.95,-16.89
LUMAXIND,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,87.6667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUMAXIND,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,87.6667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUMAXIND,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,87.6667,SUCCESS,120.0,65.25,2009-01-17,2009-01-20,2.0,78.95,2009-01-19,73.0,2009-01-20,-9.94,-16.73,6.79,75.45,-13.94,75.0,-14.45
LUMAXIND,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,69.8433,SUCCESS,83.85,62.05,2009-04-16,2009-07-20,65.0,138.5,2009-06-01,76.0,2009-04-23,98.3,8.81,89.49,127.5,82.55,79.45,13.75
LUMAXIND,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,175.6833,SUCCESS,191.9,160.0,2009-10-16,2010-01-20,65.0,237.7,2010-01-15,152.7,2009-11-04,35.3,-13.08,48.38,230.3,31.09,155.1,-11.72
LUMAXIND,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,182.8533,SUCCESS,212.0,166.3,2010-04-14,2010-07-20,69.0,310.0,2010-07-14,180.9,2010-05-21,69.53,-1.07,70.6,305.75,67.21,190.2,4.02
LUMAXIND,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,306.5567,SUCCESS,315.0,291.6,2010-10-09,2011-01-20,72.0,416.0,2011-01-13,241.25,2010-11-26,35.7,-21.3,57.0,404.8,32.05,259.1,-15.48
LUMAXIND,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,358.0233,SUCCESS,370.0,341.1,2011-04-09,2011-07-20,70.0,375.0,2011-04-19,305.15,2011-06-23,4.74,-14.77,19.51,373.45,4.31,324.6,-9.34
LUMAXIND,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,379.68,SUCCESS,435.1,355.0,2011-10-12,2012-01-20,70.0,410.0,2011-10-14,355.25,2012-01-02,7.99,-6.43,14.42,403.3,6.22,370.25,-2.48
LUMAXIND,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,375.0933,SUCCESS,400.0,342.15,2012-04-12,2012-07-20,72.0,407.65,2012-07-20,320.0,2012-04-16,8.68,-14.69,23.37,399.9,6.61,353.55,-5.74
LUMAXIND,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-12,15.0,383.1533,SUCCESS,397.0,368.0,2012-10-13,2013-01-20,64.0,399.8,2013-01-01,365.25,2013-01-11,4.34,-4.67,9.02,384.0,0.22,371.75,-2.98
LUMAXIND,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-15,15.0,345.4333,SUCCESS,363.3,325.0,2013-04-16,2013-07-20,62.0,369.1,2013-05-28,318.05,2013-07-15,6.85,-7.93,14.78,361.5,4.65,322.6,-6.61
LUMAXIND,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,334.4967,SUCCESS,344.0,292.15,2013-10-12,2014-01-20,68.0,341.0,2013-11-20,315.0,2013-12-26,1.94,-5.83,7.77,336.5,0.6,325.75,-2.61
LUMAXIND,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,305.77,SUCCESS,350.0,284.0,2014-04-10,2014-07-20,44.0,345.0,2014-06-06,286.0,2014-05-16,12.83,-6.47,19.3,344.6,12.7,293.75,-3.93
LUMAXIND,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,454.3933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUMAXIND,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,454.3933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUMAXIND,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,454.3933,SUCCESS,477.0,410.0,2016-01-16,2016-01-20,3.0,420.45,2016-01-18,380.0,2016-01-20,-7.47,-16.37,8.9,399.6,-12.06,392.65,-13.59
LUMAXIND,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,419.6467,SUCCESS,436.0,399.0,2016-04-13,2016-07-20,67.0,752.45,2016-07-13,422.1,2016-05-06,79.31,0.58,78.72,727.25,73.3,434.35,3.5
