Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LUPIN,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,9.5153,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUPIN,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,9.5153,SUCCESS,11.8,8.3,2002-01-16,2002-01-20,3.0,12.09,2002-01-17,10.43,2002-01-18,27.06,9.61,17.45,11.51,20.96,10.54,10.77
LUPIN,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,12.1367,SUCCESS,13.34,11.32,2002-04-12,2002-07-20,70.0,15.5,2002-04-15,10.11,2002-05-28,27.71,-16.7,44.41,14.65,20.71,10.91,-10.11
LUPIN,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,9.6193,SUCCESS,11.4,9.4,2002-10-12,2003-01-20,67.0,17.76,2003-01-10,9.03,2002-10-24,84.63,-6.13,90.75,17.47,81.61,9.09,-5.5
LUPIN,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,13.9867,SUCCESS,15.24,12.31,2003-04-09,2003-07-20,70.0,36.48,2003-07-11,14.0,2003-04-11,160.82,0.1,160.72,34.5,146.66,14.21,1.6
LUPIN,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,50.3173,SUCCESS,59.0,38.53,2003-10-14,2004-01-20,71.0,81.4,2003-12-08,48.0,2003-10-24,61.77,-4.61,66.38,77.25,53.53,50.48,0.32
LUPIN,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,66.0027,SUCCESS,74.0,63.5,2004-04-13,2004-07-20,70.0,90.0,2004-04-23,58.0,2004-07-15,36.36,-12.12,48.48,86.72,31.39,59.85,-9.32
LUPIN,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,70.9347,SUCCESS,74.4,66.63,2004-10-09,2005-01-20,71.0,74.5,2004-12-20,55.46,2004-10-27,5.03,-21.82,26.84,73.01,2.93,55.74,-21.42
LUPIN,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,56.3247,SUCCESS,60.0,53.62,2005-04-12,2005-07-20,72.0,77.0,2005-07-19,52.79,2005-04-18,36.71,-6.28,42.98,73.95,31.29,53.98,-4.16
LUPIN,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,76.936,SUCCESS,83.35,72.12,2005-10-11,2006-01-20,70.0,86.51,2006-01-09,66.57,2005-11-07,12.44,-13.47,25.92,83.83,8.96,69.04,-10.26
LUPIN,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,99.178,SUCCESS,112.0,92.3,2006-04-11,2006-07-20,72.0,131.0,2006-05-10,82.5,2006-06-14,32.09,-16.82,48.9,123.96,24.99,83.37,-15.94
LUPIN,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,97.4053,SUCCESS,103.78,91.2,2006-10-12,2007-01-20,69.0,126.38,2007-01-03,95.01,2006-10-20,29.75,-2.46,32.21,123.24,26.52,99.7,2.36
LUPIN,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,120.704,SUCCESS,130.0,112.0,2007-04-12,2007-07-20,45.0,150.6,2007-05-07,121.6,2007-04-12,24.77,0.74,24.03,147.65,22.32,125.38,3.87
LUPIN,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,120.074,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUPIN,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,120.074,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LUPIN,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,120.074,SUCCESS,138.88,111.6,2009-01-17,2009-01-20,2.0,121.8,2009-01-20,117.45,2009-01-20,1.44,-2.19,3.62,120.55,0.4,119.22,-0.71
LUPIN,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,129.512,SUCCESS,139.0,118.08,2009-04-16,2009-07-20,66.0,188.9,2009-07-20,133.2,2009-04-17,45.86,2.85,43.01,181.83,40.4,136.35,5.28
LUPIN,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,237.1727,SUCCESS,261.99,195.2,2009-10-16,2010-01-20,65.0,310.94,2009-12-18,225.8,2009-10-29,31.1,-4.8,35.9,303.8,28.09,233.78,-1.43
LUPIN,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,325.5847,SUCCESS,336.2,312.6,2010-04-14,2010-07-20,69.0,394.8,2010-06-30,321.0,2010-04-15,21.26,-1.41,22.67,393.57,20.88,323.54,-0.63
LUPIN,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,398.63,SUCCESS,416.05,380.5,2010-10-09,2011-01-20,72.0,519.95,2010-12-01,402.15,2010-10-29,30.43,0.88,29.55,511.5,28.31,413.2,3.66
LUPIN,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,409.86,SUCCESS,423.7,392.0,2011-04-09,2011-07-20,70.0,489.35,2011-07-18,405.0,2011-04-13,19.39,-1.19,20.58,484.15,18.13,408.95,-0.22
LUPIN,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,471.8133,SUCCESS,492.3,448.8,2011-10-12,2012-01-20,70.0,494.0,2011-10-28,408.2,2011-12-14,4.7,-13.48,18.19,483.2,2.41,413.35,-12.39
LUPIN,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,525.9033,SUCCESS,559.0,498.75,2012-04-12,2012-07-20,72.0,578.0,2012-07-17,505.1,2012-06-15,9.91,-3.96,13.86,572.0,8.77,510.5,-2.93
LUPIN,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,580.1033,SUCCESS,603.7,496.4,2012-10-12,2013-01-20,67.0,623.5,2012-12-27,553.6,2012-10-16,7.48,-4.57,12.05,616.85,6.33,555.55,-4.23
LUPIN,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,627.19,SUCCESS,649.0,605.5,2013-04-12,2013-07-20,69.0,907.95,2013-07-19,641.6,2013-04-12,44.76,2.3,42.47,899.2,43.37,657.45,4.82
