Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
LYPSAGEMS,2013,20-March,2013-03-20,2013-11-05,2013-11-05,2013-11-26,15.0,11.8907,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LYPSAGEMS,2013,20-September,2013-09-20,2013-11-05,2013-11-05,2013-11-26,15.0,11.8907,SUCCESS,12.22,11.59,2013-11-27,2014-01-20,38.0,12.94,2013-12-11,10.32,2013-12-09,8.82,-13.21,22.03,12.19,2.52,11.66,-1.94
LYPSAGEMS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,12.5927,SUCCESS,14.63,11.27,2014-04-10,2014-07-20,44.0,15.08,2014-04-25,11.03,2014-06-10,19.75,-12.41,32.16,13.68,8.63,12.71,0.93
LYPSAGEMS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,98.8173,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LYPSAGEMS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,98.8173,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
LYPSAGEMS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,98.8173,SUCCESS,110.36,88.07,2016-01-16,2016-01-20,3.0,92.14,2016-01-18,65.36,2016-01-20,-6.76,-33.86,27.1,76.82,-22.26,68.64,-30.54
LYPSAGEMS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,65.398,SUCCESS,71.29,59.96,2016-04-13,2016-07-20,67.0,71.0,2016-04-21,46.79,2016-07-20,8.57,-28.45,37.02,68.32,4.47,48.04,-26.54
LYPSAGEMS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,40.8407,SUCCESS,49.21,37.54,2016-10-11,2017-01-20,71.0,47.61,2016-10-21,32.82,2016-11-21,16.57,-19.64,36.21,45.25,10.8,35.32,-13.52
LYPSAGEMS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,48.696,SUCCESS,52.07,45.36,2017-04-11,2017-07-20,70.0,53.93,2017-04-25,37.32,2017-07-11,10.75,-23.36,34.11,49.86,2.39,37.5,-22.99
LYPSAGEMS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,44.78,SUCCESS,50.5,40.45,2017-10-12,2018-01-20,70.0,43.95,2017-12-28,34.15,2017-11-16,-1.85,-23.74,21.88,41.4,-7.55,34.5,-22.96
LYPSAGEMS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,20.7033,SUCCESS,27.2,17.25,2018-04-12,2018-07-20,71.0,28.75,2018-04-24,10.7,2018-07-18,38.87,-48.32,87.18,25.45,22.93,10.85,-47.59
LYPSAGEMS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,11.3533,SUCCESS,13.7,10.5,2018-10-13,2019-01-20,66.0,16.7,2018-11-05,8.5,2018-12-12,47.09,-25.13,72.23,14.5,27.72,8.7,-23.37
LYPSAGEMS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,7.1667,SUCCESS,7.8,6.6,2019-04-11,2019-07-20,67.0,7.4,2019-04-11,4.4,2019-07-19,3.26,-38.6,41.86,7.15,-0.23,4.55,-36.51
LYPSAGEMS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,4.4633,SUCCESS,5.1,3.95,2019-10-15,2020-01-20,67.0,6.35,2020-01-20,3.35,2019-12-09,42.27,-24.94,67.21,6.35,42.27,3.85,-13.74
LYPSAGEMS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.8167,SUCCESS,3.4,2.5,2020-04-16,2020-07-20,66.0,4.2,2020-06-26,2.8,2020-05-19,49.11,-0.59,49.7,4.0,42.01,2.9,2.96
LYPSAGEMS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,2.9467,SUCCESS,3.35,2.75,2020-10-13,2021-01-20,69.0,6.7,2020-12-15,2.4,2020-10-21,127.38,-18.55,145.93,6.05,105.32,2.45,-16.86
LYPSAGEMS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,4.59,SUCCESS,5.1,4.1,2021-04-14,2021-07-20,66.0,7.0,2021-06-22,3.9,2021-05-05,52.51,-15.03,67.54,6.8,48.15,4.0,-12.85
LYPSAGEMS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,4.4633,SUCCESS,5.0,4.15,2021-10-09,2022-01-20,71.0,8.6,2022-01-18,4.35,2021-11-30,92.68,-2.54,95.22,8.2,83.72,4.35,-2.54
LYPSAGEMS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,6.33,SUCCESS,7.25,5.55,2022-04-09,2022-07-20,70.0,9.5,2022-06-15,4.6,2022-05-26,50.08,-27.33,77.41,9.0,42.18,4.85,-23.38
LYPSAGEMS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,5.8433,SUCCESS,6.3,5.35,2022-10-12,2023-01-20,71.0,8.0,2022-11-04,5.15,2023-01-17,36.91,-11.87,48.77,7.35,25.78,5.2,-11.01
LYPSAGEMS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,4.11,SUCCESS,4.75,3.25,2023-04-13,2023-07-20,68.0,4.95,2023-04-13,3.95,2023-06-12,20.44,-3.89,24.33,4.75,15.57,4.15,0.97
LYPSAGEMS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,5.4267,SUCCESS,5.75,5.15,2023-10-12,2024-01-20,70.0,8.0,2023-12-21,4.7,2023-12-07,47.42,-13.39,60.81,7.35,35.44,5.15,-5.1
LYPSAGEMS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,6.0567,SUCCESS,7.1,5.4,2024-04-13,2024-07-20,66.0,7.65,2024-04-23,5.13,2024-06-12,26.31,-15.3,41.61,7.2,18.88,5.4,-10.84
