Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MAANALU,2008,20-March,2008-03-20,2008-12-29,2008-12-29,2009-01-19,15.0,1.362,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MAANALU,2008,20-September,2008-09-20,2008-12-29,2008-12-29,2009-01-19,15.0,1.362,SUCCESS,1.53,1.15,2009-01-20,2009-01-20,1.0,1.32,2009-01-20,1.25,2009-01-20,-3.08,-8.22,5.14,1.32,-3.08,1.32,-3.08
MAANALU,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-16,15.0,1.5507,SUCCESS,2.13,1.25,2009-04-17,2009-07-20,64.0,2.96,2009-07-13,1.63,2009-05-04,90.89,5.12,85.77,2.49,60.58,1.69,8.99
MAANALU,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,2.734,SUCCESS,3.12,2.56,2009-10-16,2010-01-20,65.0,3.31,2009-12-03,2.42,2009-11-27,21.07,-11.49,32.55,2.99,9.36,2.5,-8.56
MAANALU,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,3.264,SUCCESS,4.27,2.64,2010-04-14,2010-07-20,69.0,4.22,2010-05-14,2.81,2010-07-12,29.29,-13.91,43.2,3.84,17.65,3.1,-5.02
MAANALU,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,4.4007,SUCCESS,4.89,3.91,2010-10-09,2011-01-20,72.0,4.63,2010-10-26,2.67,2010-12-10,5.21,-39.33,44.54,4.46,1.35,3.12,-29.1
MAANALU,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,3.2067,SUCCESS,3.75,2.45,2011-04-09,2011-07-20,69.0,4.23,2011-05-06,2.95,2011-04-13,31.91,-8.0,39.92,4.03,25.68,3.19,-0.52
MAANALU,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-13,15.0,3.1453,SUCCESS,3.48,2.94,2011-10-14,2012-01-20,63.0,3.55,2011-10-17,2.05,2012-01-02,12.87,-34.82,47.69,3.31,5.24,2.06,-34.51
MAANALU,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,2.2187,SUCCESS,2.73,1.92,2012-04-12,2012-07-20,60.0,2.34,2012-04-12,1.69,2012-06-25,5.47,-23.83,29.3,2.32,4.57,1.69,-23.83
MAANALU,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,1.6973,SUCCESS,1.84,1.53,2012-10-12,2013-01-20,51.0,1.81,2012-10-12,1.43,2013-01-17,6.64,-15.75,22.39,1.81,6.64,1.48,-12.8
MAANALU,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-10-21,15.0,0.8853,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MAANALU,2013,20-September,2013-09-20,2013-09-23,2013-09-23,2013-11-03,15.0,0.8893,SUCCESS,1.14,0.74,2013-11-04,2014-01-20,28.0,2.39,2013-11-29,1.08,2013-11-05,168.74,21.44,147.3,2.38,167.62,1.19,33.81
MAANALU,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-17,15.0,1.5447,SUCCESS,1.66,1.4,2014-04-18,2014-07-20,37.0,1.91,2014-06-10,1.28,2014-05-09,23.65,-17.13,40.79,1.73,12.0,1.33,-13.9
MAANALU,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,2.0687,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MAANALU,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,2.0687,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MAANALU,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,2.0687,SUCCESS,2.47,1.64,2016-01-16,2016-01-20,3.0,1.94,2016-01-20,1.71,2016-01-19,-6.22,-17.34,11.12,1.79,-13.47,1.74,-15.89
MAANALU,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-18,15.0,1.874,SUCCESS,2.19,1.7,2016-04-19,2016-07-20,65.0,2.41,2016-05-18,1.75,2016-05-13,28.6,-6.62,35.22,2.18,16.33,1.84,-1.81
MAANALU,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,4.0927,SUCCESS,4.94,3.52,2016-10-11,2017-01-20,71.0,6.06,2016-11-10,4.0,2016-11-22,48.07,-2.26,50.33,5.76,40.74,4.16,1.65
MAANALU,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,7.506,SUCCESS,7.93,7.13,2017-04-11,2017-07-20,70.0,13.19,2017-07-17,7.07,2017-04-13,75.73,-5.81,81.53,12.56,67.33,7.43,-1.01
MAANALU,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,12.392,SUCCESS,14.38,11.32,2017-10-12,2018-01-20,70.0,22.75,2018-01-15,11.91,2017-10-16,83.59,-3.89,87.48,22.28,79.79,12.26,-1.07
MAANALU,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,16.6213,SUCCESS,21.21,12.82,2018-04-12,2018-07-20,71.0,19.61,2018-04-19,12.08,2018-07-03,17.98,-27.32,45.3,19.61,17.98,12.43,-25.22
MAANALU,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,12.8573,SUCCESS,14.46,11.0,2018-10-13,2019-01-20,66.0,16.06,2018-11-02,11.67,2018-10-25,24.91,-9.23,34.14,15.52,20.71,12.14,-5.58
MAANALU,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,11.4747,SUCCESS,12.74,9.94,2019-04-11,2019-07-20,67.0,12.24,2019-06-03,8.82,2019-07-19,6.67,-23.14,29.8,11.96,4.23,9.0,-21.57
MAANALU,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,8.4047,SUCCESS,9.61,7.4,2019-10-15,2020-01-20,67.0,9.65,2020-01-03,6.89,2019-12-30,14.82,-18.02,32.84,9.23,9.82,6.99,-16.83
MAANALU,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,3.7593,SUCCESS,5.51,2.89,2020-04-16,2020-07-20,65.0,8.11,2020-07-03,4.25,2020-05-12,115.73,13.05,102.68,7.92,110.68,4.33,15.18
MAANALU,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,8.5447,SUCCESS,9.6,7.37,2020-10-13,2021-01-20,70.0,16.31,2021-01-04,7.92,2020-11-03,90.88,-7.31,98.19,15.77,84.56,8.18,-4.27
MAANALU,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,18.82,SUCCESS,22.37,17.08,2021-04-14,2021-07-20,66.0,51.25,2021-07-19,18.24,2021-04-15,172.32,-3.08,175.4,50.17,166.58,19.34,2.76
MAANALU,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,32.7067,SUCCESS,37.96,28.75,2021-10-09,2022-01-20,71.0,37.54,2021-10-19,25.75,2021-12-01,14.78,-21.27,36.05,35.75,9.3,26.68,-18.43
MAANALU,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,35.0167,SUCCESS,38.63,30.64,2022-04-09,2022-07-20,70.0,40.23,2022-04-13,25.03,2022-06-21,14.89,-28.52,43.41,38.28,9.32,25.44,-27.35
MAANALU,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,41.2993,SUCCESS,45.35,37.99,2022-10-12,2023-01-20,71.0,162.15,2022-12-28,37.0,2022-12-23,292.62,-10.41,303.03,162.15,292.62,37.53,-9.13
MAANALU,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,45.1933,SUCCESS,49.43,41.05,2023-04-13,2023-07-20,68.0,341.85,2023-06-30,45.0,2023-05-08,656.42,-0.43,656.84,88.51,95.85,45.21,0.04
MAANALU,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,87.4933,SUCCESS,92.65,83.8,2023-10-12,2024-01-20,70.0,159.45,2024-01-04,90.5,2023-10-12,82.24,3.44,78.81,151.9,73.61,90.5,3.44
MAANALU,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,149.4267,SUCCESS,174.2,137.8,2024-04-16,2024-07-20,65.0,167.9,2024-04-16,117.5,2024-06-04,12.36,-21.37,33.73,161.7,8.21,130.25,-12.83
MAANALU,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,168.8393,SUCCESS,232.9,137.0,2024-10-12,2025-01-20,68.0,259.5,2024-11-01,110.0,2025-01-09,53.7,-34.85,88.55,250.67,48.47,112.69,-33.26
MAANALU,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,83.6907,SUCCESS,92.67,75.51,2025-04-12,2025-07-20,67.0,133.7,2025-06-17,78.55,2025-04-15,59.75,-6.14,65.9,131.48,57.1,82.49,-1.43
MAANALU,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,114.564,SUCCESS,140.8,103.01,2025-10-14,2026-01-20,67.0,184.74,2025-12-18,123.35,2025-10-15,61.25,7.67,53.59,170.98,49.24,128.08,11.8
MAANALU,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,131.3753,SUCCESS,144.95,115.25,2026-04-16,2026-07-20,65.0,169.0,2026-04-27,112.65,2026-07-20,28.64,-14.25,42.89,164.11,24.92,113.29,-13.77
