Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MACPOWER,2020,20-March,2020-03-20,2020-08-19,2020-08-19,2020-09-08,15.0,70.0033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MACPOWER,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,75.66,SUCCESS,88.4,64.3,2020-10-13,2021-01-20,69.0,126.0,2021-01-08,55.65,2020-11-05,66.53,-26.45,92.98,122.65,62.11,59.05,-21.95
MACPOWER,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,89.2033,SUCCESS,95.5,83.1,2021-04-14,2021-07-20,66.0,172.15,2021-07-06,79.25,2021-04-22,92.99,-11.16,104.14,167.9,88.22,82.1,-7.96
MACPOWER,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,181.0233,SUCCESS,218.5,164.0,2021-10-09,2022-01-20,71.0,279.7,2022-01-19,162.55,2021-12-20,54.51,-10.2,64.72,263.45,45.53,178.95,-1.15
MACPOWER,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,225.0267,SUCCESS,253.3,202.1,2022-04-09,2022-07-20,70.0,264.2,2022-04-19,191.35,2022-06-13,17.41,-14.97,32.37,246.0,9.32,194.4,-13.61
MACPOWER,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,360.35,SUCCESS,398.0,276.6,2022-10-12,2023-01-20,71.0,419.4,2022-11-07,295.55,2022-12-23,16.39,-17.98,34.37,410.0,13.78,300.9,-16.5
MACPOWER,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,285.3267,SUCCESS,307.0,267.0,2023-04-13,2023-07-20,68.0,358.0,2023-06-16,274.9,2023-06-09,25.47,-3.65,29.12,342.85,20.16,281.6,-1.31
MACPOWER,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,297.7767,SUCCESS,316.45,285.0,2023-10-12,2024-01-20,70.0,839.0,2024-01-12,305.65,2023-10-12,181.75,2.64,179.11,812.75,172.94,312.45,4.93
MACPOWER,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,1143.7867,SUCCESS,1243.35,970.0,2024-04-16,2024-07-20,65.0,1736.95,2024-07-19,1129.45,2024-04-24,51.86,-1.25,53.11,1733.1,51.52,1147.9,0.36
MACPOWER,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1291.0,SUCCESS,1397.3,1156.0,2024-10-12,2025-01-20,68.0,1610.95,2024-12-16,1080.0,2024-10-28,24.78,-16.34,41.13,1578.7,22.29,1117.65,-13.43
MACPOWER,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,771.7333,SUCCESS,833.15,674.0,2025-04-12,2025-07-20,67.0,1078.8,2025-07-18,793.8,2025-05-09,39.79,2.86,36.93,1071.9,38.9,793.8,2.86
MACPOWER,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,838.1533,SUCCESS,914.9,803.5,2025-10-14,2026-01-20,67.0,1074.95,2025-12-30,761.0,2025-11-10,28.25,-9.21,37.46,1039.0,23.96,775.0,-7.53
MACPOWER,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,910.7533,SUCCESS,1114.9,790.0,2026-04-16,2026-07-20,65.0,1470.0,2026-07-06,859.1,2026-06-02,61.4,-5.67,67.08,1431.9,57.22,914.75,0.44
MACPOWER,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
