Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MADHAV,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,16.1733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MADHAV,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,16.1733,SUCCESS,18.75,13.8,2009-01-17,2009-01-20,2.0,14.1,2009-01-20,13.35,2009-01-20,-12.82,-17.46,4.64,13.4,-17.15,13.35,-17.46
MADHAV,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,12.4167,SUCCESS,15.4,10.45,2009-04-16,2009-07-20,64.0,24.4,2009-06-05,13.8,2009-04-29,96.51,11.14,85.37,23.2,86.85,14.0,12.75
MADHAV,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,29.43,SUCCESS,36.0,20.25,2009-10-16,2010-01-20,65.0,40.15,2010-01-18,22.8,2009-11-03,36.43,-22.53,58.95,37.0,25.72,24.3,-17.43
MADHAV,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,30.8667,SUCCESS,41.4,25.65,2010-04-14,2010-07-20,69.0,41.25,2010-04-26,27.55,2010-05-21,33.64,-10.75,44.38,39.65,28.46,28.95,-6.21
MADHAV,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,37.7133,SUCCESS,42.1,35.65,2010-10-09,2011-01-20,72.0,42.0,2010-10-18,22.6,2010-12-10,11.37,-40.07,51.44,38.45,1.95,24.7,-34.51
MADHAV,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,19.8833,SUCCESS,23.0,18.5,2011-04-09,2011-07-20,70.0,22.0,2011-04-15,16.0,2011-06-17,10.65,-19.53,30.18,21.95,10.39,16.5,-17.02
MADHAV,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-12,15.0,17.2567,SUCCESS,19.2,16.0,2011-10-13,2012-01-20,64.0,21.9,2011-11-02,14.3,2011-12-21,26.91,-17.13,44.04,19.55,13.29,15.15,-12.21
MADHAV,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,17.34,SUCCESS,19.0,15.25,2012-04-12,2012-07-20,64.0,21.0,2012-07-05,15.0,2012-05-07,21.11,-13.49,34.6,19.45,12.17,15.15,-12.63
MADHAV,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-12,15.0,18.8633,SUCCESS,24.0,16.5,2012-10-13,2013-01-20,64.0,22.5,2012-11-05,18.05,2012-11-20,19.28,-4.31,23.59,20.7,9.74,18.05,-4.31
