Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MAHAPEXLTD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,36.9333,SUCCESS,39.83,34.22,2021-04-14,2021-07-20,66.0,65.24,2021-07-15,34.01,2021-04-20,76.64,-7.92,84.56,64.73,75.26,35.01,-5.21
MAHAPEXLTD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,48.1273,SUCCESS,51.19,45.88,2021-10-09,2022-01-20,71.0,66.21,2022-01-18,44.99,2021-12-06,37.57,-6.52,44.09,63.08,31.07,45.71,-5.02
MAHAPEXLTD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,50.4447,SUCCESS,57.9,45.85,2022-04-09,2022-07-20,70.0,59.33,2022-04-11,36.68,2022-06-23,17.61,-27.29,44.9,53.54,6.14,38.62,-23.44
MAHAPEXLTD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,52.032,SUCCESS,59.33,48.01,2022-10-12,2023-01-20,71.0,79.35,2022-12-06,46.69,2022-10-21,52.5,-10.27,62.77,75.57,45.24,47.95,-7.85
MAHAPEXLTD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,49.6567,SUCCESS,54.02,45.58,2023-04-13,2023-07-20,59.0,93.21,2023-07-05,6.47,2023-07-10,87.71,-86.97,174.68,93.21,87.71,49.09,-1.14
MAHAPEXLTD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,74.5207,SUCCESS,83.61,69.18,2023-10-12,2024-01-20,70.0,99.22,2023-11-07,65.27,2023-10-20,33.14,-12.41,45.56,88.22,18.38,73.92,-0.81
MAHAPEXLTD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,72.7987,SUCCESS,79.72,68.61,2024-04-13,2024-07-20,66.0,99.63,2024-07-12,66.13,2024-04-25,36.86,-9.16,46.02,95.37,31.01,67.48,-7.31
MAHAPEXLTD,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,86.4053,SUCCESS,92.72,80.1,2024-10-12,2025-01-20,68.0,97.09,2024-12-10,71.99,2025-01-15,12.37,-16.68,29.05,91.55,5.95,72.79,-15.76
MAHAPEXLTD,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,61.07,SUCCESS,66.83,55.4,2025-04-12,2025-07-20,67.0,69.09,2025-04-17,57.18,2025-07-14,13.13,-6.37,19.5,67.71,10.87,57.87,-5.24
MAHAPEXLTD,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,54.2493,SUCCESS,58.79,50.62,2025-10-14,2026-01-20,67.0,61.38,2025-12-15,37.25,2025-12-09,13.14,-31.34,44.48,60.9,12.26,39.97,-26.32
MAHAPEXLTD,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,50.5107,SUCCESS,63.5,44.43,2026-04-16,2026-07-20,65.0,55.8,2026-05-05,43.1,2026-07-09,10.47,-14.67,25.14,54.78,8.45,43.59,-13.7
MAHAPEXLTD,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
