Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MANAKSIA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.29,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MANAKSIA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.29,SUCCESS,39.0,31.55,2009-01-17,2009-01-20,2.0,35.75,2009-01-19,34.15,2009-01-19,1.3,-3.23,4.53,35.45,0.45,35.35,0.17
MANAKSIA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,30.9767,SUCCESS,37.7,27.7,2009-04-16,2009-07-20,66.0,61.9,2009-05-29,31.5,2009-04-23,99.83,1.69,98.14,58.95,90.3,32.0,3.3
MANAKSIA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,59.22,SUCCESS,62.45,56.7,2009-10-16,2010-01-20,65.0,134.0,2010-01-04,47.0,2009-11-04,126.27,-20.63,146.91,128.15,116.4,48.1,-18.78
MANAKSIA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,95.4133,SUCCESS,103.7,82.0,2010-04-14,2010-07-20,69.0,143.4,2010-04-30,97.0,2010-04-16,50.29,1.66,48.63,136.55,43.11,98.4,3.13
MANAKSIA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,92.15,SUCCESS,96.5,74.0,2010-10-09,2011-01-20,72.0,95.5,2010-10-14,75.0,2011-01-19,3.64,-18.61,22.25,92.75,0.65,76.0,-17.53
MANAKSIA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,81.16,SUCCESS,91.9,78.05,2011-04-09,2011-07-20,70.0,90.5,2011-04-27,65.2,2011-06-23,11.51,-19.66,31.17,85.75,5.66,66.0,-18.68
MANAKSIA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,57.3367,SUCCESS,60.9,53.5,2011-10-12,2012-01-20,70.0,63.9,2011-11-11,40.05,2011-12-22,11.45,-30.15,41.6,59.4,3.6,41.05,-28.41
MANAKSIA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,53.75,SUCCESS,64.2,51.5,2012-04-12,2012-07-20,72.0,56.75,2012-07-03,41.3,2012-05-21,5.58,-23.16,28.74,55.45,3.16,43.9,-18.33
MANAKSIA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,44.9867,SUCCESS,53.15,42.8,2012-10-12,2013-01-20,67.0,58.25,2012-12-28,43.6,2012-10-31,29.48,-3.08,32.57,57.2,27.15,44.15,-1.86
MANAKSIA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,40.4933,SUCCESS,43.85,38.2,2013-04-12,2013-07-20,69.0,56.9,2013-07-19,37.95,2013-05-03,40.52,-6.28,46.8,54.9,35.58,38.25,-5.54
MANAKSIA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,46.83,SUCCESS,48.9,44.05,2013-10-12,2014-01-20,68.0,76.4,2014-01-07,44.7,2013-11-01,63.14,-4.55,67.69,72.3,54.39,45.65,-2.52
MANAKSIA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,65.2767,SUCCESS,69.85,59.2,2014-04-10,2014-07-20,44.0,101.0,2014-06-11,66.6,2014-04-11,54.73,2.03,52.7,95.35,46.07,67.3,3.1
MANAKSIA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,47.7733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MANAKSIA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,47.7733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MANAKSIA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,47.7733,SUCCESS,50.9,45.0,2016-01-16,2016-01-20,3.0,57.3,2016-01-18,43.3,2016-01-20,19.94,-9.36,29.31,45.95,-3.82,44.6,-6.64
MANAKSIA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,40.49,SUCCESS,45.75,36.15,2016-04-13,2016-07-20,67.0,62.4,2016-07-14,37.65,2016-05-13,54.11,-7.01,61.13,59.8,47.69,39.05,-3.56
MANAKSIA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,50.0133,SUCCESS,54.8,45.5,2016-10-11,2017-01-20,71.0,65.9,2016-11-04,46.65,2016-11-09,31.76,-6.72,38.49,59.0,17.97,48.0,-4.03
MANAKSIA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,67.1067,SUCCESS,71.0,64.4,2017-04-11,2017-07-20,70.0,84.0,2017-07-11,63.65,2017-05-23,25.17,-5.15,30.32,80.4,19.81,65.15,-2.92
MANAKSIA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,73.9933,SUCCESS,82.0,68.2,2017-10-12,2018-01-20,70.0,84.9,2017-11-28,63.15,2017-10-30,14.74,-14.65,29.39,82.35,11.29,68.2,-7.83
MANAKSIA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,52.45,SUCCESS,59.8,48.2,2018-04-12,2018-07-20,71.0,63.0,2018-05-09,43.55,2018-07-19,20.11,-16.97,37.08,61.0,16.3,44.45,-15.25
MANAKSIA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,39.2867,SUCCESS,46.45,35.1,2018-10-13,2019-01-20,66.0,46.35,2018-11-16,36.2,2018-10-26,17.98,-7.86,25.84,44.3,12.76,37.3,-5.06
MANAKSIA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,38.5133,SUCCESS,41.0,36.6,2019-04-11,2019-07-20,67.0,40.1,2019-06-07,33.6,2019-06-21,4.12,-12.76,16.88,38.75,0.61,34.7,-9.9
MANAKSIA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,34.1067,SUCCESS,38.95,32.0,2019-10-15,2020-01-20,67.0,41.25,2019-11-18,30.55,2019-10-15,20.94,-10.43,31.37,40.5,18.75,31.55,-7.5
MANAKSIA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,29.8533,SUCCESS,34.0,26.7,2020-04-16,2020-07-20,66.0,42.25,2020-06-23,29.5,2020-05-27,41.53,-1.18,42.71,40.65,36.17,30.4,1.83
MANAKSIA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,39.7967,SUCCESS,42.65,37.45,2020-10-13,2021-01-20,69.0,64.8,2020-12-14,35.85,2020-11-05,62.83,-9.92,72.74,63.0,58.3,37.95,-4.64
MANAKSIA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,51.4133,SUCCESS,57.0,48.2,2021-04-14,2021-07-20,66.0,78.2,2021-06-15,48.0,2021-04-19,52.1,-6.64,58.74,76.5,48.79,52.75,2.6
MANAKSIA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,66.0067,SUCCESS,70.8,62.7,2021-10-09,2022-01-20,71.0,91.05,2022-01-18,57.3,2021-12-20,37.94,-13.19,51.13,81.6,23.62,59.1,-10.46
MANAKSIA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,76.5767,SUCCESS,84.9,71.1,2022-04-09,2022-07-20,70.0,105.7,2022-04-29,66.0,2022-05-11,38.03,-13.81,51.84,103.1,34.64,69.7,-8.98
MANAKSIA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,79.6567,SUCCESS,86.65,73.5,2022-10-12,2023-01-20,71.0,85.0,2022-10-24,69.05,2022-12-23,6.71,-13.32,20.02,83.65,5.01,71.4,-10.37
MANAKSIA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,113.73,SUCCESS,124.8,100.45,2023-04-13,2023-07-20,68.0,194.2,2023-06-09,110.2,2023-04-21,70.76,-3.1,73.86,186.55,64.03,114.1,0.33
MANAKSIA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,137.8433,SUCCESS,144.9,132.3,2023-10-12,2024-01-20,70.0,155.95,2023-10-18,127.05,2023-12-21,13.14,-7.83,20.97,152.65,10.74,129.75,-5.87
MANAKSIA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,106.6333,SUCCESS,116.5,97.1,2024-04-13,2024-07-20,66.0,123.0,2024-04-24,91.1,2024-06-04,15.35,-14.57,29.92,119.5,12.07,93.75,-12.08
MANAKSIA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,101.176,SUCCESS,113.8,94.5,2024-10-12,2025-01-20,68.0,106.0,2024-10-16,79.51,2025-01-14,4.77,-21.41,26.18,101.73,0.55,81.34,-19.61
MANAKSIA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,60.9587,SUCCESS,66.0,54.52,2025-04-12,2025-07-20,67.0,79.8,2025-06-27,59.91,2025-05-09,30.91,-1.72,32.63,76.43,25.38,61.81,1.4
MANAKSIA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,68.0587,SUCCESS,71.5,65.5,2025-10-14,2026-01-20,67.0,73.4,2026-01-06,57.31,2025-12-18,7.85,-15.79,23.64,69.0,1.38,59.13,-13.12
MANAKSIA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,50.4013,SUCCESS,57.74,42.1,2026-04-16,2026-07-20,65.0,67.0,2026-05-25,56.0,2026-07-08,32.93,11.11,21.82,63.67,26.33,56.36,11.82
MANAKSIA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
