Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MANORAMA,2022,20-March,2022-03-20,2022-07-01,2022-07-01,2022-07-21,15.0,212.7193,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MANORAMA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,251.9813,SUCCESS,271.8,234.6,2022-10-12,2023-01-20,71.0,268.8,2022-10-12,191.18,2022-12-26,6.67,-24.13,30.8,258.4,2.55,192.64,-23.55
MANORAMA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,210.3453,SUCCESS,233.93,198.0,2023-04-13,2023-07-20,68.0,362.78,2023-07-17,206.73,2023-04-17,72.47,-1.72,74.19,358.23,70.31,208.96,-0.66
MANORAMA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,416.8,SUCCESS,476.99,356.0,2023-10-12,2024-01-20,70.0,467.91,2023-10-12,366.2,2023-12-12,12.26,-12.14,24.4,454.56,9.06,369.98,-11.23
MANORAMA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,406.7833,SUCCESS,486.2,322.3,2024-04-13,2024-07-20,66.0,729.5,2024-06-19,432.0,2024-04-15,79.33,6.2,73.13,716.0,76.02,463.4,13.92
MANORAMA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,831.3567,SUCCESS,914.8,753.05,2024-10-12,2025-01-20,68.0,1256.0,2024-12-10,873.6,2024-10-18,51.08,5.08,46.0,1230.4,48.0,891.2,7.2
MANORAMA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1026.69,SUCCESS,1120.0,849.95,2025-04-12,2025-07-20,67.0,1618.0,2025-07-15,990.0,2025-04-15,57.59,-3.57,61.17,1607.3,56.55,1018.2,-0.83
MANORAMA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1445.5867,SUCCESS,1525.0,1370.0,2025-10-14,2026-01-20,67.0,1569.9,2025-10-17,1116.0,2026-01-20,8.6,-22.8,31.4,1541.3,6.62,1125.6,-22.14
MANORAMA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1252.0933,SUCCESS,1363.4,1120.3,2026-04-16,2026-07-20,65.0,1676.7,2026-07-01,1287.4,2026-05-18,33.91,2.82,31.09,1655.3,32.2,1305.6,4.27
MANORAMA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
