Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MASFIN,2017,20-March,2017-03-20,2017-10-18,2017-10-18,2017-11-08,15.0,216.606,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MASFIN,2017,20-September,2017-09-20,2017-10-18,2017-10-18,2017-11-08,15.0,216.606,SUCCESS,233.98,196.87,2017-11-09,2018-01-20,51.0,222.57,2017-12-14,188.35,2017-11-13,2.75,-13.04,15.8,216.92,0.14,193.33,-10.75
MASFIN,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,197.9487,SUCCESS,209.93,183.75,2018-04-12,2018-07-20,71.0,212.38,2018-05-04,179.85,2018-07-11,7.29,-9.14,16.43,210.38,6.28,183.33,-7.39
MASFIN,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,167.5827,SUCCESS,182.93,147.82,2018-10-13,2019-01-20,66.0,204.25,2018-12-31,122.65,2018-10-23,21.88,-26.81,48.69,199.8,19.22,128.7,-23.2
MASFIN,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,191.7273,SUCCESS,206.67,177.45,2019-04-11,2019-07-20,67.0,211.63,2019-06-11,169.68,2019-05-14,10.38,-11.5,21.88,209.55,9.3,173.37,-9.57
MASFIN,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,231.8407,SUCCESS,243.0,204.38,2019-10-15,2020-01-20,67.0,309.0,2019-12-30,220.03,2019-10-22,33.28,-5.09,38.38,303.97,31.11,221.87,-4.3
MASFIN,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,176.772,SUCCESS,214.25,147.98,2020-04-16,2020-07-20,66.0,242.58,2020-07-08,177.38,2020-05-19,37.23,0.34,36.88,232.7,31.64,180.53,2.13
MASFIN,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,271.442,SUCCESS,293.0,255.0,2020-10-13,2021-01-20,70.0,370.28,2020-11-18,267.1,2020-11-04,36.41,-1.6,38.01,357.87,31.84,270.4,-0.38
MASFIN,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,279.854,SUCCESS,296.67,260.0,2021-04-14,2021-07-20,66.0,325.03,2021-05-27,253.7,2021-04-20,16.14,-9.35,25.49,317.0,13.27,254.98,-8.89
MASFIN,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,261.9427,SUCCESS,273.33,253.68,2021-10-09,2022-01-20,71.0,273.33,2021-10-18,191.97,2022-01-20,4.35,-26.71,31.06,266.45,1.72,193.4,-26.17
MASFIN,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,187.8727,SUCCESS,212.67,171.73,2022-04-09,2022-07-20,70.0,224.97,2022-04-29,160.17,2022-07-15,19.75,-14.75,34.49,220.5,17.37,162.58,-13.46
MASFIN,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,251.1213,SUCCESS,268.33,232.97,2022-10-12,2023-01-20,71.0,312.65,2022-11-07,235.67,2022-12-23,24.5,-6.15,30.65,309.92,23.41,239.02,-4.82
MASFIN,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,259.564,SUCCESS,282.98,238.0,2023-04-13,2023-07-20,68.0,266.0,2023-06-07,226.53,2023-04-18,2.48,-12.73,15.21,263.27,1.43,229.13,-11.73
MASFIN,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,300.466,SUCCESS,310.0,290.58,2023-10-12,2024-01-20,70.0,356.0,2024-01-20,274.02,2023-12-01,18.48,-8.8,27.28,348.03,15.83,277.98,-7.48
MASFIN,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,292.79,SUCCESS,307.7,277.0,2024-04-13,2024-07-20,66.0,331.5,2024-04-25,277.0,2024-06-04,13.22,-5.39,18.61,317.85,8.56,282.3,-3.58
MASFIN,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,290.1067,SUCCESS,305.0,270.1,2024-10-12,2025-01-20,68.0,303.5,2024-11-07,239.95,2025-01-14,4.62,-17.29,21.91,300.75,3.67,243.0,-16.24
MASFIN,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,254.9887,SUCCESS,268.33,226.0,2025-04-12,2025-07-20,67.0,350.45,2025-07-16,253.95,2025-05-07,37.44,-0.41,37.84,346.2,35.77,259.55,1.79
MASFIN,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,306.59,SUCCESS,320.0,295.25,2025-10-14,2026-01-20,67.0,344.0,2026-01-07,293.5,2025-10-17,12.2,-4.27,16.47,338.1,10.28,297.4,-3.0
MASFIN,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,300.6033,SUCCESS,317.2,277.35,2026-04-16,2026-07-20,65.0,358.85,2026-05-04,290.1,2026-06-11,19.38,-3.49,22.87,347.4,15.57,291.2,-3.13
MASFIN,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
