Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MASTEK,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,128.3473,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MASTEK,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,128.3473,SUCCESS,162.45,95.0,2002-01-16,2002-01-20,3.0,149.95,2002-01-18,128.3,2002-01-17,16.83,-0.04,16.87,145.28,13.19,135.55,5.61
MASTEK,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,176.2287,SUCCESS,217.43,159.03,2002-04-12,2002-07-20,70.0,211.5,2002-04-12,128.35,2002-05-21,20.01,-27.17,47.18,204.63,16.12,134.88,-23.46
MASTEK,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,202.6493,SUCCESS,213.3,184.08,2002-10-12,2003-01-20,67.0,299.9,2003-01-10,182.83,2002-11-05,47.99,-9.78,57.77,296.58,46.35,186.68,-7.88
MASTEK,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,274.376,SUCCESS,292.5,252.5,2003-04-09,2003-07-20,70.0,286.35,2003-04-09,98.0,2003-07-18,4.36,-64.28,68.65,279.28,1.79,100.18,-63.49
MASTEK,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,122.542,SUCCESS,151.45,109.95,2003-10-14,2004-01-20,71.0,174.95,2004-01-09,100.03,2003-10-30,42.77,-18.37,61.14,169.73,38.51,100.68,-17.84
MASTEK,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,102.7147,SUCCESS,116.85,96.15,2004-04-13,2004-07-20,70.0,151.4,2004-07-20,95.0,2004-05-17,47.4,-7.51,54.91,148.6,44.67,100.43,-2.22
MASTEK,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,179.58,SUCCESS,193.3,161.5,2004-10-09,2005-01-20,71.0,190.38,2004-10-14,152.5,2004-10-28,6.01,-15.08,21.09,188.33,4.87,153.78,-14.37
MASTEK,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,181.0413,SUCCESS,198.0,162.5,2005-04-12,2005-07-20,72.0,194.95,2005-06-10,154.65,2005-04-29,7.68,-14.58,22.26,193.4,6.83,165.35,-8.67
MASTEK,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,247.09,SUCCESS,264.5,217.53,2005-10-11,2006-01-20,70.0,360.5,2006-01-05,221.5,2005-10-28,45.9,-10.36,56.25,346.35,40.17,224.95,-8.96
MASTEK,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,386.8593,SUCCESS,437.83,351.8,2006-04-11,2006-07-20,72.0,419.7,2006-04-19,260.0,2006-06-13,8.49,-32.79,41.28,413.1,6.78,279.65,-27.71
MASTEK,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,352.4267,SUCCESS,379.6,339.5,2006-10-12,2007-01-20,69.0,410.0,2007-01-05,300.0,2006-12-12,16.34,-14.88,31.21,388.95,10.36,308.55,-12.45
MASTEK,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,304.9667,SUCCESS,332.4,296.0,2007-04-12,2007-07-20,45.0,350.0,2007-04-12,275.0,2007-06-06,14.77,-9.83,24.59,323.65,6.13,279.8,-8.25
MASTEK,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,161.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MASTEK,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,161.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MASTEK,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,161.6,SUCCESS,179.0,134.95,2009-01-17,2009-01-20,2.0,152.0,2009-01-19,147.0,2009-01-20,-5.94,-9.03,3.09,150.75,-6.71,149.95,-7.21
MASTEK,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,126.64,SUCCESS,175.9,102.2,2009-04-16,2009-07-20,65.0,264.9,2009-05-29,138.0,2009-04-21,109.18,8.97,100.21,250.0,97.41,141.15,11.46
MASTEK,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,289.9267,SUCCESS,323.05,255.0,2009-10-16,2010-01-20,65.0,465.55,2009-12-03,265.5,2009-10-16,60.58,-8.43,69.0,449.65,55.09,266.8,-7.98
MASTEK,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,342.3133,SUCCESS,375.55,321.1,2010-04-14,2010-07-20,69.0,332.0,2010-04-15,226.5,2010-05-25,-3.01,-33.83,30.82,306.1,-10.58,228.45,-33.26
MASTEK,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,248.0533,SUCCESS,260.95,240.0,2010-10-09,2011-01-20,72.0,253.2,2010-10-14,158.05,2011-01-18,2.07,-36.28,38.36,249.7,0.66,165.15,-33.42
MASTEK,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,124.0733,SUCCESS,137.3,118.0,2011-04-09,2011-07-20,70.0,136.0,2011-07-05,89.05,2011-05-10,9.61,-28.23,37.84,128.45,3.53,91.5,-26.25
MASTEK,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,93.0033,SUCCESS,98.8,89.1,2011-10-12,2012-01-20,70.0,108.9,2011-10-19,72.25,2011-11-24,17.09,-22.31,39.41,95.8,3.01,74.85,-19.52
MASTEK,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,91.5833,SUCCESS,95.0,88.0,2012-04-12,2012-07-20,72.0,125.45,2012-07-19,88.25,2012-05-15,36.98,-3.64,40.62,119.4,30.37,89.85,-1.89
MASTEK,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,138.7333,SUCCESS,143.8,128.25,2012-10-12,2013-01-20,67.0,156.3,2013-01-18,123.5,2012-11-20,12.66,-10.98,23.64,151.45,9.17,127.95,-7.77
MASTEK,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,122.09,SUCCESS,140.9,116.25,2013-04-12,2013-07-20,69.0,143.6,2013-04-23,112.7,2013-06-26,17.62,-7.69,25.31,139.45,14.22,114.1,-6.54
MASTEK,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,139.42,SUCCESS,168.65,123.7,2013-10-12,2014-01-20,68.0,214.0,2014-01-09,132.5,2013-11-28,53.49,-4.96,58.46,202.35,45.14,133.65,-4.14
MASTEK,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,206.82,SUCCESS,224.75,199.25,2014-04-10,2014-07-20,44.0,205.45,2014-04-11,160.0,2014-05-16,-0.66,-22.64,21.98,202.9,-1.9,160.95,-22.18
MASTEK,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,181.4067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MASTEK,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,181.4067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
