Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MBLINFRA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,115.9347,SUCCESS,132.0,105.3,2010-04-14,2010-07-20,69.0,129.15,2010-04-21,95.25,2010-05-25,11.4,-17.84,29.24,127.7,10.15,96.03,-17.17
MBLINFRA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,135.184,SUCCESS,144.9,129.68,2010-10-09,2011-01-20,72.0,139.73,2010-10-11,80.03,2010-11-29,3.36,-40.8,44.16,136.45,0.94,83.08,-38.54
MBLINFRA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,91.6227,SUCCESS,102.5,86.3,2011-04-09,2011-07-20,70.0,99.98,2011-04-18,67.5,2011-06-20,9.12,-26.33,35.45,99.23,8.3,68.2,-25.56
MBLINFRA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,64.572,SUCCESS,71.5,61.55,2011-10-12,2012-01-20,70.0,77.48,2012-01-17,46.25,2011-12-19,19.99,-28.37,48.36,74.45,15.3,49.78,-22.91
MBLINFRA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,90.6673,SUCCESS,94.98,84.65,2012-04-12,2012-07-20,72.0,109.0,2012-05-22,80.05,2012-05-07,20.22,-11.71,31.93,96.93,6.91,82.5,-9.01
MBLINFRA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,83.298,SUCCESS,88.0,78.28,2012-10-12,2013-01-20,67.0,100.0,2012-11-13,76.5,2012-10-26,20.05,-8.16,28.21,95.63,14.8,79.05,-5.1
MBLINFRA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,71.402,SUCCESS,74.9,68.5,2013-04-12,2013-07-20,69.0,74.0,2013-04-25,51.58,2013-05-30,3.64,-27.76,31.4,73.08,2.35,54.7,-23.39
MBLINFRA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,32.9593,SUCCESS,36.13,31.38,2013-10-12,2014-01-20,68.0,70.75,2014-01-08,30.38,2013-11-13,114.66,-7.83,122.48,67.18,103.83,31.43,-4.64
MBLINFRA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,62.3807,SUCCESS,70.0,58.35,2014-04-10,2014-07-20,44.0,148.98,2014-06-04,65.98,2014-04-11,138.82,5.77,133.05,145.1,132.6,66.28,6.25
MBLINFRA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,215.0433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MBLINFRA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,215.0433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MBLINFRA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,215.0433,SUCCESS,236.6,187.0,2016-01-16,2016-01-20,3.0,187.0,2016-01-18,157.0,2016-01-20,-13.04,-26.99,13.95,171.1,-20.43,159.5,-25.83
MBLINFRA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,154.57,SUCCESS,167.85,137.5,2016-04-13,2016-07-20,67.0,158.45,2016-04-18,104.1,2016-06-24,2.51,-32.65,35.16,156.25,1.09,109.2,-29.35
MBLINFRA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,107.9133,SUCCESS,122.55,96.0,2016-10-11,2017-01-20,71.0,111.7,2016-10-13,34.55,2017-01-05,3.51,-67.98,71.49,108.15,0.22,36.35,-66.32
MBLINFRA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,46.6233,SUCCESS,51.9,40.6,2017-04-11,2017-07-20,70.0,45.6,2017-04-11,23.25,2017-05-29,-2.19,-50.13,47.94,43.25,-7.24,23.9,-48.74
