Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MCLEODRUSS,2005,20-March,2005-03-20,2005-07-29,2005-07-29,2005-08-19,15.0,61.8267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MCLEODRUSS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,74.0367,SUCCESS,88.0,64.0,2005-10-11,2006-01-20,70.0,82.9,2006-01-03,51.6,2005-10-21,11.97,-30.3,42.28,80.1,8.19,54.85,-25.92
MCLEODRUSS,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,137.0933,SUCCESS,146.0,125.0,2006-04-11,2006-07-20,72.0,145.0,2006-05-10,75.4,2006-06-14,5.77,-45.0,50.77,142.25,3.76,75.4,-45.0
MCLEODRUSS,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,123.3,SUCCESS,132.0,118.0,2006-10-12,2007-01-20,69.0,132.4,2006-10-27,87.25,2006-12-12,7.38,-29.24,36.62,126.35,2.47,88.95,-27.86
MCLEODRUSS,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,62.0333,SUCCESS,74.8,55.2,2007-04-12,2007-07-20,45.0,77.0,2007-05-07,57.2,2007-06-13,24.13,-7.79,31.92,74.05,19.37,57.65,-7.07
MCLEODRUSS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.93,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MCLEODRUSS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.93,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MCLEODRUSS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.93,SUCCESS,54.8,46.15,2009-01-17,2009-01-20,2.0,51.0,2009-01-19,49.25,2009-01-20,2.14,-1.36,3.5,50.2,0.54,50.05,0.24
MCLEODRUSS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,63.19,SUCCESS,79.4,48.15,2009-04-16,2009-07-20,66.0,138.75,2009-07-20,66.1,2009-04-21,119.58,4.61,114.97,136.5,116.02,67.05,6.11
MCLEODRUSS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,213.7633,SUCCESS,236.35,194.25,2009-10-16,2010-01-20,65.0,311.25,2010-01-07,188.2,2009-11-03,45.6,-11.96,57.56,307.05,43.64,193.65,-9.41
MCLEODRUSS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,263.4867,SUCCESS,292.9,248.8,2010-04-14,2010-07-20,69.0,267.5,2010-07-16,165.15,2010-06-09,1.52,-37.32,38.84,252.05,-4.34,167.05,-36.6
MCLEODRUSS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,238.94,SUCCESS,254.4,226.4,2010-10-09,2011-01-20,72.0,257.5,2010-10-12,191.35,2010-12-10,7.77,-19.92,27.68,247.4,3.54,195.55,-18.16
MCLEODRUSS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,258.9667,SUCCESS,281.0,246.0,2011-04-09,2011-07-20,70.0,295.6,2011-07-08,241.3,2011-06-20,14.15,-6.82,20.97,285.75,10.34,250.15,-3.4
MCLEODRUSS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,238.4167,SUCCESS,259.75,220.1,2011-10-12,2012-01-20,70.0,265.25,2011-10-31,165.5,2011-12-15,11.25,-30.58,41.84,260.15,9.12,179.0,-24.92
MCLEODRUSS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,267.82,SUCCESS,285.0,242.15,2012-04-12,2012-07-20,72.0,333.45,2012-07-19,254.25,2012-05-11,24.51,-5.07,29.57,331.05,23.61,261.55,-2.34
MCLEODRUSS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,325.3233,SUCCESS,340.95,314.95,2012-10-12,2013-01-20,67.0,372.0,2012-12-10,265.55,2012-11-12,14.35,-18.37,32.72,367.9,13.09,296.5,-8.86
MCLEODRUSS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,341.3867,SUCCESS,363.15,319.0,2013-04-12,2013-07-20,69.0,349.85,2013-04-17,263.0,2013-06-25,2.48,-22.96,25.44,347.15,1.69,270.35,-20.81
MCLEODRUSS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,258.32,SUCCESS,279.85,246.25,2013-10-12,2014-01-20,68.0,330.0,2013-12-31,258.1,2013-11-14,27.75,-0.09,27.83,326.7,26.47,259.85,0.59
MCLEODRUSS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,289.5767,SUCCESS,309.9,276.1,2014-04-10,2014-07-20,44.0,305.9,2014-06-10,265.05,2014-05-29,5.64,-8.47,14.11,303.25,4.72,267.85,-7.5
MCLEODRUSS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.88,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MCLEODRUSS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.88,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MCLEODRUSS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.88,SUCCESS,175.9,160.3,2016-01-16,2016-01-20,3.0,163.5,2016-01-18,144.8,2016-01-20,-3.19,-14.26,11.07,155.9,-7.69,146.7,-13.13
MCLEODRUSS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,189.28,SUCCESS,203.5,176.0,2016-04-13,2016-07-20,67.0,219.7,2016-07-12,175.1,2016-06-07,16.07,-7.49,23.56,214.85,13.51,176.3,-6.86
MCLEODRUSS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,177.62,SUCCESS,186.85,168.35,2016-10-11,2017-01-20,71.0,175.25,2016-10-13,137.5,2016-12-26,-1.33,-22.59,21.25,173.3,-2.43,138.45,-22.05
MCLEODRUSS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,168.8,SUCCESS,186.5,162.0,2017-04-11,2017-07-20,70.0,196.6,2017-05-02,164.0,2017-05-31,16.47,-2.84,19.31,192.0,13.74,165.7,-1.84
MCLEODRUSS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,161.25,SUCCESS,172.1,154.2,2017-10-12,2018-01-20,70.0,248.7,2017-11-30,158.05,2017-10-16,54.23,-1.98,56.22,234.9,45.67,159.65,-0.99
MCLEODRUSS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,151.66,SUCCESS,169.8,137.15,2018-04-12,2018-07-20,71.0,167.0,2018-04-17,131.35,2018-06-06,10.11,-13.39,23.51,162.85,7.38,134.15,-11.55
MCLEODRUSS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,146.09,SUCCESS,159.5,135.5,2018-10-13,2019-01-20,66.0,144.9,2018-10-15,108.0,2019-01-18,-0.81,-26.07,25.26,141.55,-3.11,108.3,-25.87
MCLEODRUSS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,86.1733,SUCCESS,89.9,82.7,2019-04-11,2019-07-20,67.0,87.95,2019-04-15,10.85,2019-07-11,2.06,-87.41,89.47,85.7,-0.55,11.0,-87.24
MCLEODRUSS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,8.2833,SUCCESS,9.7,6.95,2019-10-15,2020-01-20,67.0,7.95,2019-11-19,3.9,2019-12-26,-4.02,-52.92,48.89,7.75,-6.44,4.1,-50.5
MCLEODRUSS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.16,SUCCESS,2.7,1.85,2020-04-16,2020-07-20,66.0,9.5,2020-06-24,2.8,2020-04-16,339.81,29.63,310.19,9.5,339.81,2.8,29.63
MCLEODRUSS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,17.74,SUCCESS,20.1,14.75,2020-10-13,2021-01-20,69.0,28.45,2020-12-04,17.05,2020-10-28,60.37,-3.89,64.26,27.1,52.76,17.9,0.9
MCLEODRUSS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,20.1633,SUCCESS,21.6,18.9,2021-04-14,2021-07-20,66.0,43.5,2021-06-09,18.5,2021-04-19,115.74,-8.25,123.99,41.85,107.55,18.8,-6.76
MCLEODRUSS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,30.2833,SUCCESS,35.15,25.5,2021-10-09,2022-01-20,71.0,34.75,2022-01-20,21.55,2021-12-21,14.75,-28.84,43.59,33.5,10.62,23.55,-22.23
MCLEODRUSS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,23.9967,SUCCESS,28.15,21.8,2022-04-09,2022-07-20,70.0,27.1,2022-04-11,18.1,2022-06-17,12.93,-24.57,37.51,26.8,11.68,18.65,-22.28
MCLEODRUSS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,30.35,SUCCESS,41.4,25.9,2022-10-12,2023-01-20,71.0,32.8,2022-12-21,24.75,2022-11-23,8.07,-18.45,26.52,31.7,4.45,25.4,-16.31
MCLEODRUSS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,17.9367,SUCCESS,19.6,16.6,2023-04-13,2023-07-20,68.0,23.1,2023-05-05,17.8,2023-06-26,28.79,-0.76,29.55,22.25,24.05,17.95,0.07
MCLEODRUSS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,21.0833,SUCCESS,22.35,19.3,2023-10-12,2024-01-20,70.0,31.4,2023-12-26,17.35,2023-10-26,48.93,-17.71,66.64,30.2,43.24,18.25,-13.44
MCLEODRUSS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,27.34,SUCCESS,30.2,24.4,2024-04-16,2024-07-20,65.0,35.46,2024-07-10,21.55,2024-06-05,29.7,-21.18,50.88,33.64,23.04,21.55,-21.18
MCLEODRUSS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,30.7793,SUCCESS,37.4,24.11,2024-10-12,2025-01-20,68.0,51.83,2024-12-10,26.28,2024-10-25,68.39,-14.62,83.01,51.83,68.39,26.3,-14.55
MCLEODRUSS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,35.756,SUCCESS,40.1,31.93,2025-04-12,2025-07-20,67.0,40.39,2025-04-22,29.35,2025-05-09,12.96,-17.92,30.88,39.52,10.53,30.45,-14.84
MCLEODRUSS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,43.79,SUCCESS,56.59,36.5,2025-10-14,2026-01-20,67.0,68.47,2025-10-24,41.74,2025-12-09,56.36,-4.68,61.04,68.47,56.36,41.99,-4.11
MCLEODRUSS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,36.3713,SUCCESS,47.92,28.5,2026-04-16,2026-07-20,65.0,78.41,2026-05-29,50.01,2026-04-27,115.58,37.5,78.08,78.41,115.58,50.31,38.32
MCLEODRUSS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
