Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MEDANTA,2022,20-March,2022-03-20,2022-11-16,2022-11-16,2022-12-06,15.0,446.8533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MEDANTA,2022,20-September,2022-09-20,2022-11-16,2022-11-16,2022-12-06,15.0,446.8533,SUCCESS,487.75,390.55,2022-12-07,2023-01-20,33.0,484.8,2022-12-30,430.1,2022-12-16,8.49,-3.75,12.24,470.7,5.34,444.55,-0.52
MEDANTA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,488.7333,SUCCESS,531.6,464.3,2023-04-13,2023-07-20,68.0,729.0,2023-07-20,483.1,2023-04-17,49.16,-1.15,50.31,716.55,46.61,485.5,-0.66
MEDANTA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,721.4333,SUCCESS,769.0,676.0,2023-10-12,2024-01-20,70.0,1114.85,2024-01-20,708.0,2023-10-26,54.53,-1.86,56.39,1093.65,51.59,733.3,1.64
MEDANTA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1332.99,SUCCESS,1448.0,1196.4,2024-04-13,2024-07-20,66.0,1511.0,2024-04-30,1026.05,2024-06-04,13.35,-23.03,36.38,1457.9,9.37,1076.8,-19.22
MEDANTA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1029.8367,SUCCESS,1139.15,935.5,2024-10-12,2025-01-20,68.0,1193.2,2024-12-10,996.45,2025-01-20,15.86,-3.24,19.1,1180.05,14.59,1001.6,-2.74
MEDANTA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1233.4133,SUCCESS,1285.0,1010.0,2025-04-12,2025-07-20,67.0,1349.0,2025-07-17,1094.2,2025-06-23,9.37,-11.29,20.66,1345.1,9.06,1127.3,-8.6
MEDANTA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1336.8867,SUCCESS,1392.6,1284.3,2025-10-14,2026-01-20,67.0,1414.7,2025-10-16,1061.5,2026-01-20,5.82,-20.6,26.42,1396.0,4.42,1075.7,-19.54
MEDANTA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1019.21,SUCCESS,1102.35,956.0,2026-04-16,2026-07-20,65.0,1369.7,2026-07-06,1068.6,2026-04-17,34.39,4.85,29.54,1351.1,32.56,1079.35,5.9
MEDANTA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
