Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
METROBRAND,2021,20-March,2021-03-20,2021-12-22,2021-12-22,2022-01-11,15.0,463.0133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
METROBRAND,2021,20-September,2021-09-20,2021-12-22,2021-12-22,2022-01-11,15.0,463.0133,SUCCESS,512.0,426.0,2022-01-12,2022-01-20,7.0,673.0,2022-01-18,484.25,2022-01-12,45.35,4.59,40.77,608.55,31.43,499.0,7.77
METROBRAND,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,591.82,SUCCESS,635.5,562.3,2022-04-09,2022-07-20,70.0,633.0,2022-07-04,505.1,2022-05-12,6.96,-14.65,21.61,621.1,4.95,515.05,-12.97
METROBRAND,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,908.13,SUCCESS,980.85,814.5,2022-10-12,2023-01-20,71.0,950.95,2022-10-18,772.55,2022-11-16,4.72,-14.93,19.64,933.05,2.74,779.05,-14.21
METROBRAND,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,790.4067,SUCCESS,817.0,765.0,2023-04-13,2023-07-20,68.0,1097.2,2023-07-18,790.9,2023-04-19,38.81,0.06,38.75,1088.8,37.75,797.45,0.89
METROBRAND,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1135.5533,SUCCESS,1298.8,1040.1,2023-10-12,2024-01-20,70.0,1441.2,2023-11-30,1112.2,2023-10-26,26.92,-2.06,28.97,1381.35,21.65,1139.65,0.36
METROBRAND,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1103.44,SUCCESS,1238.5,1029.55,2024-04-13,2024-07-20,66.0,1398.0,2024-07-08,990.05,2024-06-04,26.69,-10.28,36.97,1345.85,21.97,1028.75,-6.77
METROBRAND,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1245.02,SUCCESS,1300.05,1201.4,2024-10-12,2025-01-20,68.0,1346.5,2024-12-20,1097.3,2024-11-19,8.15,-11.86,20.02,1303.5,4.7,1118.15,-10.19
METROBRAND,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1054.1367,SUCCESS,1114.5,990.05,2025-04-12,2025-07-20,67.0,1299.6,2025-05-23,1020.0,2025-05-09,23.29,-3.24,26.52,1249.5,18.53,1058.6,0.42
METROBRAND,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1251.8467,SUCCESS,1308.8,1200.0,2025-10-14,2026-01-20,67.0,1250.0,2025-10-17,1005.0,2026-01-20,-0.15,-19.72,19.57,1209.9,-3.35,1014.1,-18.99
METROBRAND,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,959.22,SUCCESS,1096.0,883.0,2026-04-16,2026-07-20,65.0,1128.1,2026-05-21,975.0,2026-06-11,17.61,1.65,15.96,1108.0,15.51,977.4,1.9
METROBRAND,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
