Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MOIL,2010,20-March,2010-03-20,2010-12-15,2010-12-15,2011-01-05,15.0,224.7313,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MOIL,2010,20-September,2010-09-20,2010-12-15,2010-12-15,2011-01-05,15.0,224.7313,SUCCESS,295.0,215.7,2011-01-06,2011-01-20,11.0,226.0,2011-01-06,214.0,2011-01-12,0.56,-4.78,5.34,224.18,-0.25,215.9,-3.93
MOIL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,197.6247,SUCCESS,208.75,187.75,2011-04-09,2011-07-20,70.0,202.83,2011-04-11,159.15,2011-06-27,2.63,-19.47,22.1,201.13,1.77,160.63,-18.72
MOIL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,140.3373,SUCCESS,153.43,130.05,2011-10-12,2012-01-20,70.0,134.9,2012-01-11,108.0,2011-11-14,-3.87,-23.04,19.17,131.95,-5.98,110.5,-21.26
MOIL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,127.0613,SUCCESS,134.25,121.0,2012-04-12,2012-07-20,72.0,148.1,2012-07-04,112.85,2012-04-25,16.56,-11.18,27.74,145.35,14.39,125.35,-1.35
MOIL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,127.7107,SUCCESS,132.5,125.15,2012-10-12,2013-01-20,67.0,136.75,2012-12-12,118.18,2012-11-29,7.08,-7.46,14.54,135.93,6.44,118.65,-7.09
MOIL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,112.8993,SUCCESS,122.1,108.5,2013-04-12,2013-07-20,69.0,117.85,2013-04-25,93.6,2013-06-26,4.39,-17.09,21.48,115.48,2.29,94.1,-16.65
MOIL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,102.8013,SUCCESS,109.43,98.08,2013-10-12,2014-01-20,68.0,124.45,2013-12-26,104.43,2013-10-14,21.06,1.58,19.47,123.0,19.65,107.05,4.13
MOIL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,123.9627,SUCCESS,131.0,119.13,2014-04-10,2014-07-20,44.0,170.85,2014-05-22,123.75,2014-04-16,37.82,-0.17,38.0,166.4,34.23,124.28,0.26
MOIL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,107.1593,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MOIL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,107.1593,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MOIL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,107.1593,SUCCESS,112.4,104.15,2016-01-16,2016-01-20,3.0,104.5,2016-01-18,100.03,2016-01-20,-2.48,-6.65,4.17,102.48,-4.37,100.45,-6.26
MOIL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,114.362,SUCCESS,128.05,104.6,2016-04-13,2016-07-20,67.0,126.45,2016-04-27,105.8,2016-05-25,10.57,-7.49,18.06,124.4,8.78,108.05,-5.52
MOIL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,128.3213,SUCCESS,146.95,120.5,2016-10-11,2017-01-20,71.0,214.45,2017-01-12,129.98,2016-10-17,67.12,1.29,65.83,209.6,63.34,130.25,1.5
MOIL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,159.32,SUCCESS,168.75,151.65,2017-04-11,2017-07-20,70.0,176.23,2017-06-14,147.0,2017-05-25,10.61,-7.73,18.35,173.55,8.93,148.33,-6.9
MOIL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,196.128,SUCCESS,210.88,179.7,2017-10-12,2018-01-20,70.0,285.85,2017-10-24,196.5,2017-10-12,45.75,0.19,45.56,272.15,38.76,202.3,3.15
MOIL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,200.1833,SUCCESS,213.85,180.05,2018-04-12,2018-07-20,71.0,221.0,2018-04-17,164.35,2018-07-20,10.4,-17.9,28.3,218.5,9.15,165.1,-17.53
MOIL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,167.0333,SUCCESS,192.8,155.0,2018-10-13,2019-01-20,66.0,183.0,2018-11-07,160.9,2018-10-25,9.56,-3.67,13.23,180.4,8.0,162.75,-2.56
MOIL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,158.5567,SUCCESS,163.9,152.55,2019-04-11,2019-07-20,67.0,163.9,2019-05-27,141.85,2019-05-16,3.37,-10.54,13.91,162.3,2.36,142.9,-9.87
MOIL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,132.6567,SUCCESS,144.65,118.1,2019-10-15,2020-01-20,67.0,169.95,2020-01-13,125.15,2019-12-11,28.11,-5.66,33.77,163.95,23.59,132.0,-0.5
MOIL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,102.8567,SUCCESS,127.9,85.55,2020-04-16,2020-07-20,66.0,170.0,2020-06-16,117.2,2020-04-22,65.28,13.94,51.33,161.25,56.77,120.25,16.91
MOIL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,139.2133,SUCCESS,149.05,133.0,2020-10-13,2021-01-20,69.0,159.5,2021-01-13,120.6,2020-11-04,14.57,-13.37,27.94,153.2,10.05,120.85,-13.19
MOIL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,150.11,SUCCESS,168.5,135.1,2021-04-14,2021-07-20,66.0,207.95,2021-06-22,150.0,2021-04-19,38.53,-0.07,38.61,199.5,32.9,151.35,0.83
MOIL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,162.7433,SUCCESS,173.4,156.15,2021-10-09,2022-01-20,71.0,183.8,2021-12-28,154.5,2021-10-29,12.94,-5.07,18.0,182.25,11.99,156.1,-4.08
MOIL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,184.9033,SUCCESS,197.4,171.5,2022-04-09,2022-07-20,70.0,192.45,2022-04-13,137.3,2022-06-20,4.08,-25.74,29.83,188.7,2.05,138.55,-25.07
MOIL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,153.7867,SUCCESS,162.5,147.7,2022-10-12,2023-01-20,71.0,176.5,2023-01-10,149.15,2022-10-17,14.77,-3.01,17.78,172.5,12.17,150.75,-1.97
MOIL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,146.97,SUCCESS,152.5,140.75,2023-04-13,2023-07-20,68.0,197.4,2023-07-13,149.0,2023-04-26,34.31,1.38,32.93,192.2,30.77,150.55,2.44
MOIL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,216.66,SUCCESS,233.9,207.05,2023-10-12,2024-01-20,70.0,348.0,2024-01-20,218.25,2023-10-26,60.62,0.73,59.89,337.1,55.59,224.65,3.69
MOIL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,304.9,SUCCESS,351.5,264.35,2024-04-13,2024-07-20,66.0,588.0,2024-07-08,313.95,2024-04-15,92.85,2.97,89.88,556.65,82.57,326.05,6.94
MOIL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,388.18,SUCCESS,413.95,356.8,2024-10-12,2025-01-20,68.0,387.95,2024-10-14,280.7,2024-11-21,-0.06,-27.69,27.63,380.5,-1.98,287.95,-25.82
