Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MOLDTKPAC,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,152.1487,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MOLDTKPAC,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,152.1487,SUCCESS,165.55,138.99,2016-01-16,2016-01-20,3.0,141.47,2016-01-18,136.06,2016-01-20,-7.02,-10.57,3.56,139.39,-8.39,138.97,-8.66
MOLDTKPAC,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,140.6507,SUCCESS,146.93,135.07,2016-04-13,2016-07-20,67.0,200.3,2016-07-11,141.33,2016-04-13,42.41,0.48,41.93,195.18,38.77,142.37,1.22
MOLDTKPAC,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,200.8787,SUCCESS,220.35,180.69,2016-10-11,2017-01-20,71.0,233.31,2016-11-02,175.28,2016-11-21,16.14,-12.74,28.89,228.24,13.62,182.03,-9.38
MOLDTKPAC,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,228.486,SUCCESS,245.17,218.71,2017-04-11,2017-07-20,70.0,312.73,2017-05-10,231.32,2017-04-21,36.87,1.24,35.63,307.82,34.72,232.07,1.57
MOLDTKPAC,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,285.1727,SUCCESS,306.28,270.14,2017-10-12,2018-01-20,70.0,371.31,2018-01-19,292.38,2017-10-12,30.21,2.53,27.68,351.8,23.36,298.24,4.58
MOLDTKPAC,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,319.4127,SUCCESS,342.47,298.83,2018-04-12,2018-07-20,71.0,359.39,2018-05-14,251.67,2018-07-19,12.52,-21.21,33.72,350.95,9.87,257.98,-19.23
MOLDTKPAC,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,287.4847,SUCCESS,326.63,244.58,2018-10-13,2019-01-20,66.0,287.91,2018-11-02,250.78,2018-10-19,0.15,-12.77,12.92,275.55,-4.15,253.06,-11.97
MOLDTKPAC,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,265.3813,SUCCESS,281.91,242.44,2019-04-11,2019-07-20,67.0,276.94,2019-06-28,224.22,2019-05-15,4.36,-15.51,19.87,271.38,2.26,228.29,-13.98
MOLDTKPAC,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,296.7793,SUCCESS,307.82,282.45,2019-10-15,2020-01-20,67.0,319.48,2019-10-22,269.3,2019-12-13,7.65,-9.26,16.91,313.53,5.64,270.59,-8.82
MOLDTKPAC,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,168.8527,SUCCESS,189.67,135.02,2020-04-16,2020-07-20,66.0,223.38,2020-06-24,160.44,2020-05-19,32.29,-4.98,37.28,210.03,24.39,161.88,-4.13
MOLDTKPAC,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,279.5953,SUCCESS,294.86,254.7,2020-10-13,2021-01-20,69.0,348.8,2021-01-19,255.05,2020-11-04,24.75,-8.78,33.53,328.2,17.38,256.15,-8.39
MOLDTKPAC,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,399.8567,SUCCESS,434.45,382.4,2021-04-14,2021-07-20,66.0,546.0,2021-07-14,390.7,2021-04-19,36.55,-2.29,38.84,530.75,32.74,400.2,0.09
