Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MOTILALOFS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,17.7827,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MOTILALOFS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,17.7827,SUCCESS,20.63,14.49,2009-01-17,2009-01-20,2.0,16.56,2009-01-19,15.08,2009-01-19,-6.88,-15.2,8.32,15.78,-11.26,15.76,-11.37
MOTILALOFS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,19.84,SUCCESS,23.38,15.78,2009-04-16,2009-07-20,66.0,47.7,2009-06-05,20.63,2009-04-23,140.42,3.98,136.44,45.51,129.39,21.09,6.3
MOTILALOFS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,43.1193,SUCCESS,49.08,40.8,2009-10-16,2010-01-20,65.0,46.23,2010-01-05,36.35,2009-11-04,7.21,-15.7,22.91,45.34,5.15,37.63,-12.73
MOTILALOFS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,40.884,SUCCESS,42.95,39.4,2010-04-14,2010-07-20,69.0,46.96,2010-07-16,34.75,2010-06-11,14.86,-15.0,29.86,45.36,10.95,39.83,-2.58
MOTILALOFS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,46.4887,SUCCESS,57.93,40.98,2010-10-09,2011-01-20,72.0,56.18,2010-10-19,34.33,2011-01-20,20.85,-26.15,47.0,52.18,12.24,34.66,-25.44
MOTILALOFS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,32.4733,SUCCESS,37.18,29.75,2011-04-09,2011-07-20,70.0,38.73,2011-04-29,22.5,2011-06-27,19.27,-30.71,49.98,37.01,13.97,23.3,-28.25
MOTILALOFS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,20.4587,SUCCESS,21.28,19.01,2011-10-12,2012-01-20,70.0,27.2,2012-01-16,19.14,2012-01-04,32.95,-6.45,39.4,25.2,23.18,19.29,-5.71
MOTILALOFS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,26.93,SUCCESS,30.5,24.09,2012-04-12,2012-07-20,72.0,29.75,2012-04-25,21.38,2012-05-18,10.47,-20.61,31.08,28.1,4.34,21.54,-20.01
MOTILALOFS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,28.3733,SUCCESS,34.49,25.3,2012-10-12,2013-01-20,67.0,34.3,2012-12-13,27.64,2012-10-23,20.89,-2.58,23.47,32.45,14.37,28.13,-0.86
