Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MSTCLTD,2019,20-March,2019-03-20,2019-03-29,2019-03-29,2019-04-22,15.0,108.9867,SUCCESS,120.5,102.0,2019-04-23,2019-07-20,61.0,113.5,2019-04-26,83.2,2019-06-25,4.14,-23.66,27.8,106.05,-2.69,84.6,-22.38
MSTCLTD,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,94.7767,SUCCESS,110.0,84.45,2019-10-15,2020-01-20,67.0,184.85,2019-11-13,92.05,2019-10-25,95.04,-2.88,97.91,174.5,84.12,95.0,0.24
MSTCLTD,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,83.6367,SUCCESS,94.5,73.1,2020-04-16,2020-07-20,66.0,179.5,2020-07-10,87.0,2020-04-16,114.62,4.02,110.6,169.65,102.84,88.0,5.22
MSTCLTD,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,163.7767,SUCCESS,186.75,156.05,2020-10-13,2021-01-20,69.0,263.9,2021-01-15,142.45,2020-11-04,61.13,-13.02,74.16,257.2,57.04,143.6,-12.32
MSTCLTD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,296.4467,SUCCESS,341.0,261.35,2021-04-14,2021-07-20,66.0,334.4,2021-07-06,247.15,2021-06-18,12.8,-16.63,29.43,317.5,7.1,251.55,-15.14
MSTCLTD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,318.17,SUCCESS,358.0,293.1,2021-10-09,2022-01-20,71.0,542.0,2021-10-19,307.85,2021-12-20,70.35,-3.24,73.59,512.45,61.06,315.55,-0.82
MSTCLTD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,315.0367,SUCCESS,354.1,285.0,2022-04-09,2022-07-20,70.0,386.4,2022-04-22,224.3,2022-07-11,22.65,-28.8,51.45,375.55,19.21,228.8,-27.37
MSTCLTD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,265.6767,SUCCESS,290.05,249.2,2022-10-12,2023-01-20,71.0,362.85,2022-11-30,253.0,2022-10-25,36.58,-4.77,41.35,340.5,28.16,254.2,-4.32
MSTCLTD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,258.4367,SUCCESS,274.0,239.0,2023-04-13,2023-07-20,68.0,439.55,2023-07-18,265.35,2023-04-13,70.08,2.68,67.41,419.0,62.13,267.6,3.55
MSTCLTD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,417.2167,SUCCESS,458.6,396.5,2023-10-12,2024-01-20,70.0,1048.0,2024-01-20,417.3,2023-12-01,151.19,0.02,151.17,1035.8,148.26,418.15,0.22
MSTCLTD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,882.97,SUCCESS,947.9,802.05,2024-04-13,2024-07-20,66.0,1025.5,2024-05-22,691.1,2024-06-05,16.14,-21.73,37.87,1005.1,13.83,750.95,-14.95
MSTCLTD,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,677.3633,SUCCESS,753.8,600.1,2024-10-12,2025-01-20,68.0,809.75,2024-12-09,557.75,2024-11-18,19.54,-17.66,37.2,788.3,16.38,582.7,-13.98
MSTCLTD,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,509.3967,SUCCESS,548.8,460.55,2025-04-12,2025-07-20,67.0,582.45,2025-05-19,473.4,2025-05-09,14.34,-7.07,21.41,573.25,12.54,485.45,-4.7
MSTCLTD,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,515.1267,SUCCESS,558.3,466.8,2025-10-14,2026-01-20,67.0,565.85,2025-11-03,441.35,2025-12-08,9.85,-14.32,24.17,553.1,7.37,450.2,-12.6
MSTCLTD,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,404.8167,SUCCESS,453.55,362.15,2026-04-16,2026-07-20,65.0,743.9,2026-07-06,411.0,2026-05-18,83.76,1.53,82.23,726.85,79.55,417.2,3.06
MSTCLTD,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
