Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MTNL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,124.9933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MTNL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,124.9933,SUCCESS,131.5,116.1,2002-01-16,2002-01-20,3.0,130.0,2002-01-16,121.35,2002-01-17,4.01,-2.91,6.92,124.3,-0.55,122.6,-1.91
MTNL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,150.9333,SUCCESS,164.65,144.8,2002-04-12,2002-07-20,70.0,156.8,2002-06-20,121.3,2002-06-03,3.89,-19.63,23.52,153.9,1.97,121.7,-19.37
MTNL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,110.8967,SUCCESS,115.5,107.55,2002-10-12,2003-01-20,67.0,114.0,2002-10-14,81.4,2003-01-14,2.8,-26.6,29.4,113.6,2.44,82.25,-25.83
MTNL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,97.12,SUCCESS,102.9,91.0,2003-04-09,2003-07-20,70.0,121.4,2003-07-03,75.0,2003-05-02,25.0,-22.78,47.78,119.6,23.15,90.2,-7.13
MTNL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,118.21,SUCCESS,128.0,107.6,2003-10-14,2004-01-20,71.0,157.8,2004-01-14,106.7,2003-10-31,33.49,-9.74,43.23,155.85,31.84,108.05,-8.59
MTNL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,131.2233,SUCCESS,144.9,121.25,2004-04-13,2004-07-20,70.0,166.45,2004-04-23,92.0,2004-05-17,26.84,-29.89,56.74,162.05,23.49,106.35,-18.95
MTNL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,132.8633,SUCCESS,144.0,121.5,2004-10-09,2005-01-20,71.0,170.0,2005-01-04,131.15,2004-11-01,27.95,-1.29,29.24,166.6,25.39,134.55,1.27
MTNL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,119.0733,SUCCESS,132.95,110.0,2005-04-12,2005-07-20,72.0,141.5,2005-07-20,110.3,2005-04-18,18.83,-7.37,26.2,140.1,17.66,114.6,-3.76
MTNL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,131.66,SUCCESS,142.0,121.0,2005-10-11,2006-01-20,70.0,156.9,2006-01-12,108.25,2005-10-31,19.17,-17.78,36.95,151.8,15.3,109.85,-16.57
MTNL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,185.8533,SUCCESS,208.0,164.5,2006-04-11,2006-07-20,72.0,228.85,2006-04-27,128.8,2006-05-22,23.13,-30.7,53.83,219.8,18.27,135.45,-27.12
