Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MUKANDLTD,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-16,15.0,5.4167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUKANDLTD,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-16,15.0,5.4167,SUCCESS,6.07,4.38,2002-01-17,2002-01-20,2.0,5.76,2002-01-17,5.38,2002-01-17,6.34,-0.68,7.02,5.76,6.34,5.61,3.57
MUKANDLTD,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,4.746,SUCCESS,5.26,4.23,2002-04-12,2002-07-20,70.0,26.12,2002-07-08,3.92,2002-04-15,450.36,-17.4,467.76,24.35,413.06,4.34,-8.55
MUKANDLTD,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,8.8513,SUCCESS,10.03,7.61,2002-10-12,2003-01-20,67.0,14.14,2002-12-03,6.53,2002-10-28,59.75,-26.23,85.98,12.95,46.31,7.68,-13.23
MUKANDLTD,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,8.5733,SUCCESS,9.76,7.3,2003-04-09,2003-07-20,70.0,25.35,2003-07-17,8.3,2003-04-24,195.68,-3.19,198.87,24.2,182.27,8.41,-1.91
MUKANDLTD,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,18.094,SUCCESS,19.63,16.75,2003-10-14,2004-01-20,58.0,39.11,2003-12-11,14.29,2003-11-06,116.15,-21.02,137.17,37.99,109.96,14.64,-19.09
MUKANDLTD,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,11.0453,SUCCESS,13.25,9.3,2004-04-13,2004-07-20,70.0,19.21,2004-04-22,9.72,2004-06-15,73.92,-12.0,85.92,18.67,69.03,11.6,5.02
MUKANDLTD,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,27.698,SUCCESS,34.34,21.13,2004-10-09,2005-01-20,71.0,41.41,2004-12-30,25.74,2004-10-25,49.51,-7.07,56.57,40.45,46.04,26.08,-5.84
MUKANDLTD,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,62.6773,SUCCESS,71.22,58.97,2005-04-12,2005-07-20,72.0,69.15,2005-07-20,49.55,2005-05-02,10.33,-20.94,31.27,66.11,5.48,50.78,-18.98
MUKANDLTD,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,76.556,SUCCESS,87.97,67.65,2005-10-11,2006-01-20,70.0,79.67,2005-12-06,51.48,2005-12-30,4.07,-32.76,36.82,75.87,-0.9,55.59,-27.39
MUKANDLTD,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,81.532,SUCCESS,93.35,69.91,2006-04-11,2006-07-20,72.0,103.72,2006-05-04,49.94,2006-06-08,27.21,-38.75,65.96,99.57,22.12,50.82,-37.67
MUKANDLTD,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,66.3473,SUCCESS,74.49,62.62,2006-10-12,2007-01-20,69.0,78.67,2007-01-18,50.71,2006-11-20,18.57,-23.57,42.14,74.87,12.85,59.7,-10.02
MUKANDLTD,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,62.2747,SUCCESS,67.07,58.77,2007-04-12,2007-07-20,45.0,88.35,2007-05-16,64.65,2007-06-12,41.87,3.81,38.06,75.33,20.96,65.11,4.55
MUKANDLTD,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,18.354,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUKANDLTD,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,18.354,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUKANDLTD,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,18.354,SUCCESS,20.67,16.21,2009-01-17,2009-01-20,2.0,17.59,2009-01-20,16.13,2009-01-19,-4.16,-12.12,7.95,17.56,-4.33,17.09,-6.89
MUKANDLTD,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,19.106,SUCCESS,29.08,14.06,2009-04-16,2009-07-20,65.0,38.41,2009-06-05,20.74,2009-04-29,101.04,8.55,92.48,36.76,92.4,21.59,13.0
MUKANDLTD,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,43.3687,SUCCESS,47.4,37.26,2009-10-16,2010-01-20,65.0,55.32,2010-01-19,33.11,2009-10-30,27.56,-23.65,51.21,54.16,24.88,35.15,-18.95
MUKANDLTD,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,49.3553,SUCCESS,55.24,45.33,2010-04-14,2010-07-20,69.0,60.7,2010-07-15,44.37,2010-05-25,22.99,-10.1,33.09,53.82,9.05,44.95,-8.93
MUKANDLTD,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,57.5993,SUCCESS,60.7,55.7,2010-10-09,2011-01-20,72.0,58.31,2010-10-11,38.49,2010-12-10,1.23,-33.18,34.41,56.78,-1.42,40.95,-28.91
MUKANDLTD,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,36.278,SUCCESS,43.79,31.96,2011-04-09,2011-07-20,70.0,42.37,2011-04-18,30.73,2011-07-01,16.79,-15.29,32.09,40.49,11.61,31.19,-14.03
MUKANDLTD,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,26.26,SUCCESS,29.54,23.32,2011-10-12,2012-01-20,70.0,27.27,2011-11-04,18.52,2011-12-19,3.85,-29.47,33.32,25.62,-2.44,19.32,-26.43
MUKANDLTD,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,26.296,SUCCESS,27.62,25.55,2012-04-12,2012-07-20,72.0,27.27,2012-04-12,19.98,2012-05-28,3.7,-24.02,27.72,26.43,0.51,20.28,-22.88
MUKANDLTD,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,22.9387,SUCCESS,26.78,21.05,2012-10-12,2013-01-20,67.0,26.12,2013-01-08,20.05,2012-11-20,13.87,-12.59,26.46,25.32,10.38,20.17,-12.07
MUKANDLTD,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,20.8,SUCCESS,23.82,19.98,2013-04-12,2013-07-20,69.0,21.51,2013-04-18,16.1,2013-07-08,3.41,-22.6,26.01,20.78,-0.1,16.13,-22.45
MUKANDLTD,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,18.0113,SUCCESS,18.78,16.94,2013-10-12,2014-01-20,68.0,20.28,2013-12-31,16.13,2013-11-12,12.6,-10.45,23.04,19.59,8.76,16.9,-6.17
MUKANDLTD,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,24.3867,SUCCESS,28.5,20.8,2014-04-10,2014-07-20,44.0,41.9,2014-06-13,26.5,2014-04-11,71.82,8.67,63.15,40.35,65.46,27.05,10.92
MUKANDLTD,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,45.48,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUKANDLTD,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,45.48,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUKANDLTD,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,45.48,SUCCESS,55.7,39.0,2016-01-16,2016-01-20,3.0,40.0,2016-01-18,33.5,2016-01-20,-12.05,-26.34,14.29,37.75,-17.0,35.05,-22.93
MUKANDLTD,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,33.44,SUCCESS,36.95,31.1,2016-04-13,2016-07-20,67.0,49.4,2016-07-20,32.8,2016-04-29,47.73,-1.91,49.64,48.15,43.99,34.1,1.97
MUKANDLTD,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,64.1867,SUCCESS,70.0,54.9,2016-10-11,2017-01-20,71.0,76.4,2017-01-10,45.55,2016-11-22,19.03,-29.04,48.06,74.0,15.29,47.25,-26.39
MUKANDLTD,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,78.4667,SUCCESS,88.0,71.3,2017-04-11,2017-07-20,70.0,86.2,2017-05-10,60.35,2017-06-30,9.86,-23.09,32.94,84.2,7.31,62.1,-20.86
MUKANDLTD,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,91.2567,SUCCESS,103.6,84.6,2017-10-12,2018-01-20,70.0,109.35,2017-10-24,81.45,2017-12-14,19.83,-10.75,30.57,107.05,17.31,83.25,-8.77
