Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
MUNJALAU,2006,20-March,2006-03-20,2006-07-19,2006-07-19,2006-08-08,15.0,14.398,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUNJALAU,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,18.9353,SUCCESS,20.9,17.21,2006-10-12,2007-01-20,69.0,20.5,2006-10-17,14.55,2006-12-21,8.26,-23.16,31.42,19.29,1.87,15.46,-18.35
MUNJALAU,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,11.8893,SUCCESS,12.6,11.14,2007-04-12,2007-07-20,44.0,12.69,2007-05-14,11.21,2007-04-30,6.73,-5.71,12.45,12.09,1.69,11.21,-5.71
MUNJALAU,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-19,15.0,3.048,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUNJALAU,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-19,15.0,3.048,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUNJALAU,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-19,15.0,3.048,SUCCESS,3.85,2.67,2009-01-20,2009-01-20,1.0,3.1,2009-01-20,3.09,2009-01-20,1.71,1.38,0.33,3.09,1.38,3.09,1.38
MUNJALAU,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-16,15.0,3.762,SUCCESS,5.59,3.0,2009-04-17,2009-07-20,64.0,7.56,2009-06-03,4.15,2009-05-06,100.96,10.31,90.64,6.96,85.01,4.31,14.57
MUNJALAU,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,8.33,SUCCESS,9.3,7.62,2009-10-16,2010-01-20,65.0,13.26,2010-01-11,8.06,2009-11-04,59.18,-3.24,62.42,12.38,48.62,8.28,-0.6
MUNJALAU,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,10.4407,SUCCESS,12.1,9.91,2010-04-14,2010-07-20,69.0,13.1,2010-07-09,8.8,2010-06-04,25.47,-15.71,41.19,12.57,20.39,10.3,-1.35
MUNJALAU,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,14.2733,SUCCESS,15.49,13.77,2010-10-09,2011-01-20,72.0,15.7,2010-11-10,10.62,2011-01-18,10.0,-25.6,35.59,14.84,3.97,11.26,-21.11
MUNJALAU,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,11.2313,SUCCESS,12.0,10.53,2011-04-09,2011-07-20,70.0,15.0,2011-06-13,10.86,2011-05-04,33.55,-3.31,36.86,14.5,29.1,11.03,-1.79
MUNJALAU,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,16.7153,SUCCESS,17.9,15.23,2011-10-12,2012-01-20,70.0,21.84,2011-11-08,16.88,2011-10-13,30.66,0.99,29.67,21.28,27.31,16.96,1.46
MUNJALAU,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,25.248,SUCCESS,28.25,22.55,2012-04-12,2012-07-20,72.0,31.45,2012-04-30,25.05,2012-05-23,24.56,-0.78,25.35,30.73,21.71,25.75,1.99
MUNJALAU,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,24.136,SUCCESS,25.45,20.28,2012-10-12,2013-01-20,67.0,24.0,2012-10-15,18.23,2012-10-17,-0.56,-24.47,23.91,22.68,-6.03,19.33,-19.91
MUNJALAU,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,14.5173,SUCCESS,16.5,12.25,2013-04-12,2013-07-20,69.0,17.5,2013-06-07,13.13,2013-04-15,20.55,-9.56,30.1,17.3,19.17,13.3,-8.39
MUNJALAU,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,15.1447,SUCCESS,16.45,14.05,2013-10-12,2014-01-20,68.0,23.18,2013-12-04,15.6,2013-10-18,53.06,3.01,50.05,22.25,46.92,15.7,3.67
MUNJALAU,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,25.3293,SUCCESS,29.35,21.4,2014-04-10,2014-07-20,44.0,40.48,2014-06-11,25.0,2014-05-09,59.81,-1.3,61.11,39.2,54.76,25.68,1.38
MUNJALAU,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,43.746,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUNJALAU,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,43.746,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
MUNJALAU,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,43.746,SUCCESS,47.45,37.75,2016-01-16,2016-01-20,3.0,38.98,2016-01-18,33.98,2016-01-18,-10.89,-22.32,11.43,36.33,-16.95,35.4,-19.08
MUNJALAU,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,38.0433,SUCCESS,40.4,36.48,2016-04-13,2016-07-20,67.0,44.9,2016-06-30,37.53,2016-06-24,18.02,-1.35,19.37,43.18,13.5,38.18,0.36
MUNJALAU,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,51.226,SUCCESS,55.85,47.0,2016-10-11,2017-01-20,71.0,58.4,2016-10-27,40.63,2016-11-22,14.0,-20.68,34.69,57.0,11.27,41.15,-19.67
MUNJALAU,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,49.1807,SUCCESS,52.83,47.45,2017-04-11,2017-07-20,70.0,76.35,2017-07-07,48.5,2017-04-11,55.24,-1.38,56.63,73.58,49.61,49.1,-0.16
MUNJALAU,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,71.69,SUCCESS,84.9,65.45,2017-10-12,2018-01-20,70.0,98.35,2018-01-05,74.55,2017-12-18,37.19,3.99,33.2,94.6,31.96,79.1,10.34
MUNJALAU,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,73.51,SUCCESS,79.95,66.0,2018-04-12,2018-07-20,71.0,81.95,2018-05-02,57.5,2018-06-28,11.48,-21.78,33.26,78.5,6.79,58.55,-20.35
MUNJALAU,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,55.1633,SUCCESS,63.3,49.15,2018-10-13,2019-01-20,66.0,70.0,2018-12-13,51.15,2018-10-25,26.9,-7.28,34.17,64.8,17.47,52.1,-5.55
MUNJALAU,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,54.26,SUCCESS,59.0,52.0,2019-04-11,2019-07-20,67.0,57.0,2019-04-16,34.35,2019-07-19,5.05,-36.69,41.74,56.1,3.39,34.65,-36.14
MUNJALAU,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,38.58,SUCCESS,45.1,35.15,2019-10-15,2020-01-20,67.0,52.7,2019-11-27,37.35,2019-10-17,36.6,-3.19,39.79,49.9,29.34,37.8,-2.02
MUNJALAU,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,27.3067,SUCCESS,37.4,18.15,2020-04-16,2020-07-20,66.0,60.0,2020-06-24,31.65,2020-05-06,119.73,15.91,103.82,56.9,108.37,32.55,19.2
MUNJALAU,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,55.7333,SUCCESS,62.0,51.0,2020-10-13,2021-01-20,69.0,66.9,2021-01-11,52.0,2020-12-22,20.04,-6.7,26.73,64.5,15.73,53.45,-4.1
MUNJALAU,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,54.7967,SUCCESS,59.3,51.7,2021-04-14,2021-07-20,66.0,72.75,2021-06-09,48.6,2021-04-22,32.76,-11.31,44.07,69.95,27.65,49.55,-9.57
MUNJALAU,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,58.4867,SUCCESS,62.3,55.6,2021-10-09,2022-01-20,71.0,62.85,2021-10-11,47.1,2021-12-20,7.46,-19.47,26.93,61.65,5.41,48.0,-17.93
MUNJALAU,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,44.7433,SUCCESS,49.15,40.05,2022-04-09,2022-07-20,70.0,49.05,2022-04-21,36.0,2022-06-20,9.63,-19.54,29.17,47.95,7.17,36.15,-19.21
MUNJALAU,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,51.9767,SUCCESS,57.3,49.6,2022-10-12,2023-01-20,71.0,53.0,2022-12-02,43.65,2022-12-23,1.97,-16.02,17.99,51.95,-0.05,44.5,-14.38
MUNJALAU,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,38.9267,SUCCESS,41.5,35.6,2023-04-13,2023-07-20,68.0,60.0,2023-07-20,40.05,2023-04-17,54.14,2.89,51.25,57.95,48.87,40.65,4.43
MUNJALAU,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,56.5633,SUCCESS,58.3,54.9,2023-10-12,2024-01-20,70.0,115.0,2024-01-15,50.5,2023-10-26,103.31,-10.72,114.03,113.85,101.28,52.25,-7.63
MUNJALAU,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,82.8033,SUCCESS,88.9,73.8,2024-04-13,2024-07-20,66.0,98.0,2024-06-21,74.7,2024-06-05,18.35,-9.79,28.14,94.75,14.43,76.95,-7.07
MUNJALAU,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,123.0587,SUCCESS,133.7,115.0,2024-10-12,2025-01-20,68.0,145.7,2024-10-18,86.4,2025-01-13,18.4,-29.79,48.19,143.44,16.56,87.39,-28.99
MUNJALAU,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,69.138,SUCCESS,74.5,60.52,2025-04-12,2025-07-20,67.0,87.72,2025-05-28,66.97,2025-05-09,26.88,-3.14,30.01,86.14,24.59,69.03,-0.16
