Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NAGREEKEXP,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.3833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAGREEKEXP,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.3833,SUCCESS,15.6,10.5,2009-01-17,2009-01-20,2.0,11.65,2009-01-20,10.55,2009-01-20,-5.92,-14.8,8.88,11.65,-5.92,11.2,-9.56
NAGREEKEXP,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-17,15.0,10.7533,SUCCESS,13.0,9.6,2009-04-18,2009-07-20,54.0,21.9,2009-06-08,10.5,2009-04-21,103.66,-2.36,106.01,20.85,93.89,11.1,3.22
NAGREEKEXP,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,19.1533,SUCCESS,21.45,17.9,2009-10-16,2010-01-20,64.0,25.2,2009-12-11,14.9,2009-11-19,31.57,-22.21,53.78,23.9,24.78,15.2,-20.64
NAGREEKEXP,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-15,15.0,18.3933,SUCCESS,19.8,16.8,2010-04-16,2010-07-20,68.0,35.2,2010-07-12,15.5,2010-05-10,91.37,-15.73,107.1,34.35,86.75,17.65,-4.04
NAGREEKEXP,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,33.6867,SUCCESS,40.7,31.0,2010-10-09,2011-01-20,72.0,65.1,2010-11-11,32.55,2011-01-17,93.25,-3.37,96.63,60.15,78.56,34.7,3.01
NAGREEKEXP,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,30.2567,SUCCESS,40.0,24.1,2011-04-09,2011-07-20,70.0,35.6,2011-04-21,20.3,2011-06-28,17.66,-32.91,50.57,33.65,11.22,21.25,-29.77
NAGREEKEXP,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,23.4167,SUCCESS,26.4,21.0,2011-10-12,2012-01-20,68.0,25.75,2011-10-21,12.35,2011-12-23,9.96,-47.26,57.22,24.8,5.91,13.15,-43.84
NAGREEKEXP,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-13,15.0,16.1467,SUCCESS,17.95,14.7,2012-04-14,2012-07-20,67.0,20.85,2012-05-30,14.3,2012-05-09,29.13,-11.44,40.57,17.75,9.93,14.45,-10.51
NAGREEKEXP,2012,20-September,2012-09-20,2012-09-21,2012-09-21,2012-10-12,15.0,16.6133,SUCCESS,18.7,15.35,2012-10-13,2013-01-20,64.0,23.0,2013-01-15,15.4,2012-10-30,38.44,-7.3,45.75,22.4,34.83,15.4,-7.3
NAGREEKEXP,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-08-02,15.0,16.3433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
