Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NAHARPOLY,2007,20-March,2007-03-20,2007-03-23,2007-03-23,2007-04-16,15.0,33.7133,SUCCESS,65.0,28.05,2007-04-17,2007-07-20,42.0,29.7,2007-06-04,25.5,2007-06-13,-11.9,-24.36,12.46,29.0,-13.98,25.6,-24.07
NAHARPOLY,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-19,15.0,9.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARPOLY,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-19,15.0,9.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARPOLY,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-19,15.0,9.33,SUCCESS,11.85,8.2,2009-01-20,2009-01-20,1.0,8.4,2009-01-20,8.4,2009-01-20,-9.97,-9.97,0.0,8.4,-9.97,8.4,-9.97
NAHARPOLY,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-17,15.0,9.7833,SUCCESS,12.1,8.45,2009-04-18,2009-07-20,63.0,22.7,2009-07-08,10.1,2009-04-20,132.03,3.24,128.79,21.8,122.83,10.5,7.33
NAHARPOLY,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,24.1267,SUCCESS,26.0,21.6,2009-10-16,2010-01-20,65.0,32.5,2010-01-11,19.25,2009-12-16,34.71,-20.21,54.92,32.05,32.84,20.7,-14.2
NAHARPOLY,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,25.9567,SUCCESS,27.95,23.5,2010-04-14,2010-07-20,69.0,27.0,2010-04-16,20.2,2010-05-21,4.02,-22.18,26.2,27.0,4.02,21.2,-18.33
NAHARPOLY,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,48.44,SUCCESS,56.0,39.7,2010-10-09,2011-01-20,72.0,52.0,2010-10-15,36.35,2011-01-17,7.35,-24.96,32.31,50.05,3.32,38.1,-21.35
NAHARPOLY,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,32.0233,SUCCESS,36.0,28.1,2011-04-09,2011-07-20,69.0,38.0,2011-04-18,25.9,2011-06-23,18.66,-19.12,37.78,35.8,11.79,27.05,-15.53
NAHARPOLY,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,22.97,SUCCESS,26.9,21.3,2011-10-12,2012-01-20,68.0,25.8,2011-10-17,16.0,2011-12-30,12.32,-30.34,42.66,23.95,4.27,18.15,-20.98
NAHARPOLY,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-12,15.0,22.5233,SUCCESS,23.9,21.0,2012-04-13,2012-07-20,68.0,26.75,2012-07-18,20.5,2012-05-18,18.77,-8.98,27.75,25.65,13.88,21.2,-5.88
NAHARPOLY,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,22.4233,SUCCESS,23.3,21.6,2012-10-12,2013-01-20,67.0,23.3,2012-11-01,18.0,2012-12-26,3.91,-19.73,23.64,22.85,1.9,18.1,-19.28
NAHARPOLY,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-07-04,15.0,15.4733,SUCCESS,17.75,13.55,2013-07-05,2013-07-20,7.0,14.0,2013-07-10,13.05,2013-07-16,-9.52,-15.66,6.14,14.0,-9.52,13.05,-15.66
NAHARPOLY,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-30,15.0,11.44,SUCCESS,12.6,10.55,2013-10-31,2014-01-20,43.0,13.3,2013-11-06,11.4,2014-01-06,16.26,-0.35,16.61,13.25,15.82,11.65,1.84
NAHARPOLY,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-11,15.0,10.9933,SUCCESS,13.25,9.6,2014-04-12,2014-07-20,42.0,25.5,2014-06-16,10.8,2014-05-16,131.96,-1.76,133.72,24.3,121.04,11.0,0.06
NAHARPOLY,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.8,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARPOLY,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.8,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARPOLY,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.8,SUCCESS,65.0,49.8,2016-01-16,2016-01-20,3.0,58.0,2016-01-18,45.35,2016-01-20,2.11,-20.16,22.27,49.5,-12.85,46.2,-18.66
NAHARPOLY,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,36.2967,SUCCESS,51.5,29.3,2016-04-13,2016-07-20,67.0,55.95,2016-05-19,41.0,2016-05-09,54.15,12.96,41.19,52.25,43.95,41.9,15.44
NAHARPOLY,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,52.69,SUCCESS,61.0,49.1,2016-10-11,2017-01-20,71.0,75.45,2016-10-24,47.75,2016-11-22,43.2,-9.38,52.57,72.1,36.84,48.8,-7.38
NAHARPOLY,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,61.3167,SUCCESS,64.9,58.0,2017-04-11,2017-07-20,70.0,69.0,2017-04-25,52.0,2017-06-27,12.53,-15.19,27.72,65.95,7.56,53.95,-12.01
NAHARPOLY,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,53.27,SUCCESS,56.6,51.0,2017-10-12,2018-01-20,70.0,85.0,2018-01-18,52.3,2017-10-17,59.56,-1.82,61.39,82.95,55.72,53.0,-0.51
NAHARPOLY,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,56.31,SUCCESS,63.8,50.4,2018-04-12,2018-07-20,71.0,61.75,2018-04-18,39.0,2018-07-18,9.66,-30.74,40.4,59.45,5.58,39.55,-29.76
NAHARPOLY,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,39.7433,SUCCESS,49.4,34.7,2018-10-13,2019-01-20,66.0,46.4,2018-11-13,36.05,2018-10-23,16.75,-9.29,26.04,45.5,14.48,37.1,-6.65
NAHARPOLY,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,37.5767,SUCCESS,39.45,36.3,2019-04-11,2019-07-20,67.0,39.65,2019-06-12,27.5,2019-07-19,5.52,-26.82,32.33,38.65,2.86,29.15,-22.43
NAHARPOLY,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,34.0333,SUCCESS,36.4,32.1,2019-10-15,2020-01-20,67.0,42.95,2020-01-14,29.8,2019-12-11,26.2,-12.44,38.64,41.35,21.5,30.6,-10.09
