Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NAHARSPING,2007,20-March,2007-03-20,2007-03-23,2007-03-23,2007-04-16,15.0,115.98,SUCCESS,149.05,102.3,2007-04-17,2007-07-20,42.0,114.8,2007-04-17,87.1,2007-06-12,-1.02,-24.9,23.88,112.25,-3.22,88.3,-23.87
NAHARSPING,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.65,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARSPING,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.65,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARSPING,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.65,SUCCESS,27.5,20.25,2009-01-17,2009-01-20,2.0,22.35,2009-01-19,20.5,2009-01-20,-5.5,-13.32,7.82,22.1,-6.55,21.65,-8.46
NAHARSPING,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,24.97,SUCCESS,31.4,21.3,2009-04-16,2009-07-20,66.0,53.8,2009-05-29,22.0,2009-05-11,115.46,-11.89,127.35,51.65,106.85,24.35,-2.48
NAHARSPING,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,56.5967,SUCCESS,62.75,52.0,2009-10-16,2010-01-20,65.0,97.0,2010-01-18,50.05,2009-10-28,71.39,-11.57,82.96,95.05,67.94,52.0,-8.12
NAHARSPING,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,81.6733,SUCCESS,94.9,73.05,2010-04-14,2010-07-20,69.0,105.95,2010-07-08,72.0,2010-06-07,29.72,-11.84,41.57,103.65,26.91,74.9,-8.29
NAHARSPING,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,119.5233,SUCCESS,129.9,115.0,2010-10-09,2011-01-20,72.0,160.0,2010-11-15,96.0,2010-12-20,33.87,-19.68,53.55,147.25,23.2,106.1,-11.23
NAHARSPING,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,100.8267,SUCCESS,118.55,80.1,2011-04-09,2011-07-20,70.0,130.0,2011-04-27,74.0,2011-06-23,28.93,-26.61,55.54,112.0,11.08,74.7,-25.91
NAHARSPING,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,62.09,SUCCESS,67.55,58.1,2011-10-12,2012-01-20,70.0,67.0,2011-10-24,45.0,2011-12-20,7.91,-27.52,35.43,64.45,3.8,45.95,-25.99
NAHARSPING,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,50.1733,SUCCESS,55.7,48.05,2012-04-12,2012-07-20,72.0,65.0,2012-07-16,45.05,2012-06-06,29.55,-10.21,39.76,61.85,23.27,45.55,-9.21
NAHARSPING,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,66.3,SUCCESS,72.0,55.05,2012-10-12,2013-01-20,67.0,90.0,2013-01-17,64.05,2012-10-17,35.75,-3.39,39.14,84.05,26.77,64.55,-2.64
NAHARSPING,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,72.1267,SUCCESS,80.0,67.1,2013-04-12,2013-07-20,69.0,83.4,2013-05-09,65.65,2013-04-16,15.63,-8.98,24.61,82.25,14.04,67.7,-6.14
NAHARSPING,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,81.82,SUCCESS,87.45,78.0,2013-10-12,2014-01-20,68.0,129.2,2014-01-09,84.75,2013-10-14,57.91,3.58,54.33,127.4,55.71,88.45,8.1
NAHARSPING,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,100.53,SUCCESS,112.0,94.5,2014-04-10,2014-07-20,44.0,152.8,2014-06-11,99.0,2014-05-08,51.99,-1.52,53.52,144.9,44.14,99.2,-1.32
NAHARSPING,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,123.0267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARSPING,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,123.0267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAHARSPING,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,123.0267,SUCCESS,137.9,101.35,2016-01-16,2016-01-20,3.0,104.95,2016-01-18,97.0,2016-01-20,-14.69,-21.16,6.46,101.1,-17.82,97.95,-20.38
NAHARSPING,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,94.8667,SUCCESS,103.75,89.0,2016-04-13,2016-07-20,67.0,135.35,2016-07-18,99.5,2016-05-06,42.67,4.88,37.79,131.0,38.09,100.85,6.31
NAHARSPING,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,121.19,SUCCESS,132.45,109.3,2016-10-11,2017-01-20,71.0,156.65,2017-01-19,102.2,2016-11-22,29.26,-15.67,44.93,154.4,27.4,104.7,-13.61
NAHARSPING,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,137.79,SUCCESS,152.0,127.65,2017-04-11,2017-07-20,70.0,154.35,2017-04-25,118.25,2017-06-28,12.02,-14.18,26.2,150.65,9.33,120.05,-12.87
NAHARSPING,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,104.5733,SUCCESS,114.0,98.35,2017-10-12,2018-01-20,70.0,137.8,2018-01-09,104.3,2017-10-18,31.77,-0.26,32.03,133.65,27.81,106.4,1.75
NAHARSPING,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,91.86,SUCCESS,98.4,85.05,2018-04-12,2018-07-20,71.0,97.45,2018-04-23,75.8,2018-06-06,6.09,-17.48,23.57,96.6,5.16,79.0,-14.0
NAHARSPING,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,76.32,SUCCESS,94.65,70.0,2018-10-13,2019-01-20,66.0,106.0,2018-11-14,72.4,2018-10-29,38.89,-5.14,44.03,104.2,36.53,74.15,-2.84
NAHARSPING,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,89.8667,SUCCESS,95.7,84.15,2019-04-11,2019-07-20,67.0,93.7,2019-04-16,63.15,2019-07-19,4.27,-29.73,33.99,93.15,3.65,63.2,-29.67
