Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NAM-INDIA,2017,20-March,2017-03-20,2017-11-06,2017-11-06,2017-11-24,15.0,277.2633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAM-INDIA,2017,20-September,2017-09-20,2017-11-06,2017-11-06,2017-11-24,15.0,277.2633,SUCCESS,299.0,237.5,2017-11-25,2018-01-20,39.0,335.0,2018-01-16,248.0,2017-12-15,20.82,-10.55,31.38,326.1,17.61,250.75,-9.56
NAM-INDIA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,253.3067,SUCCESS,261.9,240.45,2018-04-12,2018-07-20,71.0,268.0,2018-04-23,205.35,2018-06-01,5.8,-18.93,24.73,259.5,2.44,208.3,-17.77
NAM-INDIA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,164.3133,SUCCESS,191.0,127.2,2018-10-13,2019-01-20,66.0,198.5,2018-12-04,151.85,2019-01-18,20.81,-7.59,28.39,182.2,10.89,152.25,-7.34
NAM-INDIA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,197.31,SUCCESS,213.7,185.1,2019-04-11,2019-07-20,67.0,239.5,2019-05-23,182.6,2019-04-22,21.38,-7.46,28.84,234.5,18.85,184.7,-6.39
NAM-INDIA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,265.4067,SUCCESS,284.9,230.3,2019-10-15,2020-01-20,67.0,386.4,2019-11-22,259.55,2019-10-15,45.59,-2.21,47.79,380.75,43.46,260.75,-1.75
NAM-INDIA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,254.2533,SUCCESS,301.95,207.7,2020-04-16,2020-07-20,66.0,326.7,2020-07-02,209.5,2020-04-27,28.49,-17.6,46.1,317.2,24.76,216.4,-14.89
NAM-INDIA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,265.3933,SUCCESS,279.95,249.0,2020-10-13,2021-01-20,69.0,343.55,2021-01-20,265.0,2020-10-13,29.45,-0.15,29.6,337.0,26.98,266.95,0.59
NAM-INDIA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,337.71,SUCCESS,362.35,319.8,2021-04-14,2021-07-20,66.0,439.35,2021-07-16,323.3,2021-04-19,30.1,-4.27,34.36,418.6,23.95,325.2,-3.7
NAM-INDIA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,438.6233,SUCCESS,464.5,420.05,2021-10-09,2022-01-20,71.0,476.45,2021-10-19,316.7,2021-12-20,8.62,-27.8,36.42,461.05,5.11,320.65,-26.9
NAM-INDIA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,342.2467,SUCCESS,357.1,330.1,2022-04-09,2022-07-20,70.0,337.25,2022-04-18,259.0,2022-05-19,-1.46,-24.32,22.86,332.0,-2.99,261.2,-23.68
NAM-INDIA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,272.2367,SUCCESS,288.85,260.5,2022-10-12,2023-01-20,71.0,279.4,2022-10-14,243.3,2022-12-26,2.63,-10.63,13.26,272.05,-0.07,245.35,-9.88
NAM-INDIA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,212.5733,SUCCESS,231.2,196.9,2023-04-13,2023-07-20,68.0,312.8,2023-07-20,229.45,2023-04-13,47.15,7.94,39.21,311.4,46.49,231.1,8.72
NAM-INDIA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,333.5,SUCCESS,354.5,318.0,2023-10-12,2024-01-20,70.0,520.45,2024-01-12,345.0,2023-10-26,56.06,3.45,52.61,514.6,54.3,357.75,7.27
NAM-INDIA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,492.5833,SUCCESS,561.6,430.0,2024-04-13,2024-07-20,66.0,685.9,2024-07-09,498.05,2024-06-05,39.25,1.11,38.14,672.4,36.5,535.5,8.71
NAM-INDIA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,664.6833,SUCCESS,708.45,625.0,2024-10-12,2025-01-20,68.0,816.25,2024-12-11,630.2,2025-01-13,22.8,-5.19,27.99,805.9,21.25,635.6,-4.38
NAM-INDIA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,569.61,SUCCESS,609.75,498.05,2025-04-12,2025-07-20,67.0,876.7,2025-07-17,556.9,2025-04-15,53.91,-2.23,56.14,869.4,52.63,581.0,2.0
NAM-INDIA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,864.6433,SUCCESS,907.0,833.05,2025-10-14,2026-01-20,67.0,987.35,2025-10-23,796.85,2025-12-09,14.19,-7.84,22.03,968.2,11.98,809.5,-6.38
NAM-INDIA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,867.1233,SUCCESS,974.0,796.3,2026-04-16,2026-07-20,65.0,1233.5,2026-07-02,954.65,2026-04-16,42.25,10.09,32.16,1218.2,40.49,964.85,11.27
NAM-INDIA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
