Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NAVNETEDUL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-16,15.0,13.984,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NAVNETEDUL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-16,15.0,13.984,SUCCESS,14.8,11.6,2002-01-17,2002-01-20,2.0,13.99,2002-01-17,13.17,2002-01-18,0.04,-5.82,5.86,13.61,-2.67,13.28,-5.03
NAVNETEDUL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,13.89,SUCCESS,17.2,12.68,2002-04-12,2002-07-20,70.0,16.88,2002-04-15,12.8,2002-05-21,21.53,-7.85,29.37,16.05,15.55,13.15,-5.33
NAVNETEDUL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,11.5853,SUCCESS,12.31,11.15,2002-10-12,2003-01-20,67.0,11.64,2003-01-03,10.0,2002-11-15,0.47,-13.68,14.16,11.48,-0.91,10.15,-12.39
NAVNETEDUL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,9.0047,SUCCESS,9.68,8.29,2003-04-10,2003-07-20,69.0,12.84,2003-07-08,8.0,2003-05-07,42.59,-11.16,53.75,12.32,36.82,8.48,-5.83
NAVNETEDUL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,11.7907,SUCCESS,13.28,10.92,2003-10-14,2004-01-20,71.0,20.63,2003-12-23,10.88,2003-10-17,74.97,-7.72,82.69,19.93,69.03,11.63,-1.36
NAVNETEDUL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,12.242,SUCCESS,13.92,10.8,2004-04-13,2004-07-20,70.0,15.2,2004-04-19,9.2,2004-05-18,24.16,-24.85,49.01,14.09,15.1,10.58,-13.58
NAVNETEDUL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,14.9733,SUCCESS,15.71,14.41,2004-10-09,2005-01-20,71.0,23.12,2005-01-10,14.29,2004-10-26,54.41,-4.56,58.97,21.65,44.59,14.4,-3.83
NAVNETEDUL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,19.6967,SUCCESS,21.28,18.56,2005-04-12,2005-07-20,72.0,21.64,2005-06-16,18.4,2005-06-20,9.87,-6.58,16.45,21.15,7.38,18.8,-4.55
NAVNETEDUL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,23.4287,SUCCESS,26.0,21.44,2005-10-11,2006-01-20,70.0,26.39,2005-12-30,20.24,2005-10-28,12.64,-13.61,26.25,25.63,9.4,20.49,-12.54
