Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NDGL,2016,20-March,2016-03-20,2016-08-30,2016-08-30,2016-09-21,15.0,536.7033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NDGL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,309.55,SUCCESS,353.25,280.75,2016-10-11,2017-01-20,66.0,450.5,2016-11-15,270.0,2016-10-17,45.53,-12.78,58.31,436.2,40.91,286.8,-7.35
NDGL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-13,15.0,395.5367,SUCCESS,438.8,375.0,2017-04-14,2017-07-20,67.0,883.0,2017-06-19,385.1,2017-04-18,123.24,-2.64,125.88,852.45,115.52,386.15,-2.37
NDGL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,721.63,SUCCESS,757.95,661.0,2017-10-12,2018-01-20,70.0,2365.0,2018-01-10,702.0,2017-10-12,227.73,-2.72,230.45,2270.9,214.69,724.4,0.38
NDGL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,1406.6067,SUCCESS,1690.0,1172.3,2018-04-12,2018-07-20,71.0,1678.9,2018-04-17,1081.25,2018-06-06,19.36,-23.13,42.49,1638.45,16.48,1157.9,-17.68
NDGL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,805.5667,SUCCESS,913.0,694.1,2018-10-13,2019-01-20,65.0,1103.0,2018-11-07,710.55,2018-12-11,36.92,-11.8,48.72,1074.05,33.33,744.7,-7.56
NDGL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,732.1167,SUCCESS,799.0,695.55,2019-04-11,2019-07-20,65.0,1054.0,2019-04-25,576.2,2019-06-20,43.97,-21.3,65.26,928.6,26.84,580.05,-20.77
NDGL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-15,15.0,568.36,SUCCESS,700.0,508.0,2019-10-16,2020-01-20,56.0,650.0,2019-12-16,505.5,2019-10-17,14.36,-11.06,25.42,600.0,5.57,522.55,-8.06
NDGL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,395.89,SUCCESS,490.5,300.0,2020-04-16,2020-07-20,64.0,644.95,2020-07-08,392.6,2020-06-01,62.91,-0.83,63.74,579.95,46.49,403.4,1.9
NDGL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-13,15.0,608.8333,SUCCESS,647.5,570.2,2020-10-14,2021-01-20,68.0,967.3,2021-01-04,560.0,2020-10-15,58.88,-8.02,66.9,944.55,55.14,584.05,-4.07
