Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NECLIFE,2005,20-March,2005-03-20,2005-07-18,2005-07-18,2005-08-08,15.0,24.7567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NECLIFE,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,22.8533,SUCCESS,26.41,21.1,2005-10-11,2006-01-20,70.0,24.59,2006-01-13,18.6,2005-10-28,7.6,-18.61,26.21,24.02,5.11,19.03,-16.73
NECLIFE,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,26.238,SUCCESS,27.9,23.58,2006-04-11,2006-07-20,72.0,28.3,2006-05-02,9.07,2006-06-14,7.86,-65.43,73.29,27.0,2.9,9.07,-65.43
NECLIFE,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,13.946,SUCCESS,16.61,13.0,2006-10-12,2007-01-20,69.0,20.8,2007-01-19,14.19,2006-11-16,49.15,1.75,47.4,20.25,45.2,14.87,6.63
NECLIFE,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,14.3007,SUCCESS,16.35,13.45,2007-04-12,2007-07-20,45.0,18.0,2007-04-24,13.99,2007-06-13,25.87,-2.17,28.04,17.61,23.14,14.06,-1.68
NECLIFE,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,17.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NECLIFE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,17.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NECLIFE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,17.67,SUCCESS,21.15,14.5,2009-01-17,2009-01-20,2.0,16.15,2009-01-19,15.3,2009-01-19,-8.6,-13.41,4.81,15.85,-10.3,15.5,-12.28
NECLIFE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,13.38,SUCCESS,17.7,10.2,2009-04-16,2009-07-20,66.0,28.0,2009-06-01,14.1,2009-04-23,109.27,5.38,103.89,26.8,100.3,14.35,7.25
NECLIFE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,24.09,SUCCESS,25.8,22.4,2009-10-16,2010-01-20,65.0,43.65,2010-01-14,23.85,2009-11-05,81.2,-1.0,82.19,42.1,74.76,24.3,0.87
NECLIFE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,38.21,SUCCESS,41.65,36.05,2010-04-14,2010-07-20,69.0,42.75,2010-05-03,35.9,2010-06-09,11.88,-6.05,17.93,41.6,8.87,36.15,-5.39
NECLIFE,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,32.1767,SUCCESS,34.2,31.05,2010-10-09,2011-01-20,72.0,33.95,2010-11-05,20.5,2010-12-14,5.51,-36.29,41.8,33.05,2.71,24.3,-24.48
NECLIFE,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,25.2,SUCCESS,29.7,22.5,2011-04-09,2011-07-20,70.0,29.9,2011-04-15,22.0,2011-05-19,18.65,-12.7,31.35,28.95,14.88,24.1,-4.37
NECLIFE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,20.9,SUCCESS,22.5,18.7,2011-10-12,2012-01-20,70.0,24.3,2011-10-14,14.8,2011-12-15,16.27,-29.19,45.45,23.95,14.59,15.9,-23.92
NECLIFE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,23.0533,SUCCESS,25.5,21.55,2012-04-12,2012-07-20,72.0,26.0,2012-04-20,17.9,2012-07-18,12.78,-22.35,35.14,25.3,9.75,19.05,-17.37
