Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NETWORK18,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,334.0807,SUCCESS,377.33,271.6,2007-04-12,2007-07-20,45.0,612.26,2007-05-23,339.5,2007-04-19,83.27,1.62,81.64,583.07,74.53,347.31,3.96
NETWORK18,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,97.0667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NETWORK18,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,97.0667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NETWORK18,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,97.0667,SUCCESS,119.02,87.3,2009-01-17,2009-01-20,2.0,99.91,2009-01-20,88.32,2009-01-20,2.93,-9.01,11.94,94.38,-2.77,92.39,-4.82
NETWORK18,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,71.6793,SUCCESS,93.51,61.79,2009-04-16,2009-07-20,66.0,161.7,2009-06-04,80.17,2009-04-29,125.59,11.85,113.74,155.64,117.13,81.77,14.08
NETWORK18,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,93.18,SUCCESS,100.98,88.37,2009-10-16,2010-01-20,65.0,102.82,2010-01-13,63.05,2009-11-03,10.35,-32.34,42.68,101.41,8.83,64.12,-31.19
NETWORK18,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,114.9067,SUCCESS,141.28,93.75,2010-04-14,2010-07-20,69.0,169.65,2010-07-08,115.04,2010-05-03,47.64,0.12,47.53,161.8,40.81,126.05,9.7
NETWORK18,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,145.4647,SUCCESS,164.9,139.24,2010-10-09,2011-01-20,72.0,185.27,2010-11-19,117.52,2011-01-11,27.36,-19.21,46.57,175.81,20.86,126.63,-12.95
NETWORK18,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,137.2333,SUCCESS,152.1,126.29,2011-04-09,2011-07-20,70.0,159.95,2011-05-05,119.89,2011-07-12,16.55,-12.64,29.19,156.99,14.4,120.72,-12.03
NETWORK18,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,78.834,SUCCESS,93.51,57.23,2011-10-12,2012-01-20,70.0,63.87,2011-10-28,34.0,2011-12-21,-18.98,-56.87,37.89,62.47,-20.76,35.02,-55.58
NETWORK18,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,36.9547,SUCCESS,40.74,34.68,2012-04-12,2012-07-20,72.0,39.48,2012-05-03,27.89,2012-06-01,6.83,-24.53,31.36,38.46,4.07,28.52,-22.82
NETWORK18,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,31.1367,SUCCESS,33.9,30.0,2012-10-12,2013-01-20,67.0,47.8,2012-12-03,30.75,2012-10-12,53.52,-1.24,54.76,46.7,49.98,31.05,-0.28
